,start_date_index,cut_off_date_index,total_spread,draw_down,maximal_draw_down,profit,profit_ratio
0,1,1,-200,-100,-300,5323.999999999802,1.7746666666666007
1,1,1,-200,-200,-400,3079.999999999771,0.7699999999999427
2,1,1,-200,-300,-500,1353.9999999997824,0.27079999999995646
3,1,1,-200,-400,-600,-44.00000000025648,-0.007333333333376079
4,1,1,-200,-500,-700,-1127.0000000002956,-0.16100000000004222
5,1,1,-200,-600,-800,-1951.00000000029,-0.24387500000003623
6,1,1,-200,-700,-900,-2742.000000000332,-0.30466666666670356
7,1,1,-200,-800,-1000,-3373.0000000003133,-0.33730000000003135
8,1,1,-200,-900,-1100,-3973.0000000003133,-0.3611818181818467
9,1,1,-200,-1000,-1200,-4558.000000000371,-0.3798333333333643
10,1,1,-200,-1100,-1300,-4914.000000000438,-0.3780000000000337
11,1,1,-200,-1200,-1400,-5214.000000000438,-0.37242857142860275
12,1,1,-200,-1300,-1500,-5514.000000000438,-0.36760000000002924
13,1,1,-200,-1400,-1600,-5814.000000000438,-0.3633750000000274
14,1,1,-200,-1500,-1700,-6114.00000000044,-0.3596470588235553
15,1,1,-200,-1600,-1800,-6414.00000000044,-0.3563333333333578
16,1,1,-200,-1700,-1900,-6714.000000000438,-0.35336842105265465
17,1,1,-200,-1800,-2000,-7014.000000000438,-0.35070000000002194
18,1,1,-200,-1900,-2100,-7314.000000000438,-0.3482857142857352
19,1,1,-200,-2000,-2200,-7614.000000000438,-0.34609090909092904
20,1,1,-200,-2100,-2300,-7914.000000000438,-0.3440869565217582
21,1,1,-200,-2200,-2400,-8214.000000000438,-0.34225000000001826
22,1,1,-200,-2300,-2500,-8514.00000000044,-0.3405600000000176
23,1,1,-200,-2400,-2600,-8814.00000000044,-0.33900000000001695
24,1,1,-200,-2500,-2700,-9114.00000000044,-0.3375555555555719
25,1,1,-200,-2600,-2800,-9414.000000000442,-0.3362142857143015
26,1,1,-200,-2700,-2900,-9714.000000000442,-0.33496551724139456
27,1,1,-200,-2800,-3000,-10014.000000000442,-0.33380000000001475
28,1,1,-200,-2900,-3100,-10314.000000000442,-0.3327096774193691
29,1,2,-200,-100,-300,5052.999999999598,1.6843333333331993
30,1,2,-200,-200,-400,2883.9999999995425,0.7209999999998856
31,1,2,-200,-300,-500,988.999999999485,0.197799999999897
32,1,2,-200,-400,-600,-814.0000000003984,-0.13566666666673305
33,1,2,-200,-500,-700,1580.9999999996835,0.22585714285709765
34,1,2,-200,-600,-800,700.9999999997137,0.08762499999996422
35,1,2,-200,-700,-900,-75.00000000024738,-0.00833333333336082
36,1,2,-200,-800,-1000,-775.0000000002469,-0.07750000000002469
37,1,2,-200,-900,-1100,-1475.0000000002478,-0.13409090909093163
38,1,2,-200,-1000,-1200,-1738.0000000002315,-0.14483333333335263
39,1,2,-200,-1100,-1300,-2083.0000000002533,-0.16023076923078872
40,1,2,-200,-1200,-1400,-2583.0000000002537,-0.18450000000001812
41,1,2,-200,-1300,-1500,-3056.000000000251,-0.20373333333335006
42,1,2,-200,-1400,-1600,-3456.00000000025,-0.21600000000001562
43,1,2,-200,-1500,-1700,-3856.00000000025,-0.2268235294117794
44,1,2,-200,-1600,-1800,-4256.00000000025,-0.23644444444445833
45,1,2,-200,-1700,-1900,-4656.00000000025,-0.24505263157896054
46,1,2,-200,-1800,-2000,-5056.000000000249,-0.25280000000001246
47,1,2,-200,-1900,-2100,-5456.000000000249,-0.2598095238095357
48,1,2,-200,-2000,-2200,-5795.000000000313,-0.26340909090910514
49,1,2,-200,-2100,-2300,-6095.000000000313,-0.2650000000000136
50,1,2,-200,-2200,-2400,-6395.000000000313,-0.26645833333334634
51,1,2,-200,-2300,-2500,-6695.000000000313,-0.26780000000001253
52,1,2,-200,-2400,-2600,-6995.000000000313,-0.26903846153847355
53,1,2,-200,-2500,-2700,-7295.000000000313,-0.2701851851851968
54,1,2,-200,-2600,-2800,-7595.000000000313,-0.27125000000001115
55,1,2,-200,-2700,-2900,-7895.000000000313,-0.27224137931035564
56,1,2,-200,-2800,-3000,-8195.000000000313,-0.2731666666666771
57,1,2,-200,-2900,-3100,-8495.000000000311,-0.27403225806452614
58,2,1,-200,-100,-300,7095.000000000049,2.365000000000016
59,2,1,-200,-200,-400,6031.000000000109,1.5077500000000272
60,2,1,-200,-300,-500,5115.000000000187,1.0230000000000374
61,2,1,-200,-400,-600,4606.000000000113,0.7676666666666855
62,2,1,-200,-500,-700,4294.0000000001055,0.6134285714285865
63,2,1,-200,-600,-800,4029.000000000071,0.5036250000000089
64,2,1,-200,-700,-900,3829.000000000071,0.42544444444445234
65,2,1,-200,-800,-1000,3685.0000000000437,0.3685000000000044
66,2,1,-200,-900,-1100,3637.0000000000646,0.3306363636363695
67,2,1,-200,-1000,-1200,3637.0000000000646,0.3030833333333387
68,2,1,-200,-1100,-1300,3637.0000000000646,0.2797692307692357
69,2,1,-200,-1200,-1400,3637.0000000000646,0.2597857142857189
70,2,1,-200,-1300,-1500,3637.0000000000646,0.24246666666667097
71,2,1,-200,-1400,-1600,3637.0000000000646,0.22731250000000403
72,2,1,-200,-1500,-1700,3637.0000000000646,0.21394117647059202
73,2,1,-200,-1600,-1800,3637.0000000000646,0.20205555555555915
74,2,1,-200,-1700,-1900,3637.0000000000646,0.19142105263158235
75,2,1,-200,-1800,-2000,3637.0000000000646,0.18185000000000323
76,2,1,-200,-1900,-2100,3637.0000000000646,0.17319047619047925
77,2,1,-200,-2000,-2200,3637.0000000000646,0.16531818181818475
78,2,1,-200,-2100,-2300,3637.0000000000646,0.1581304347826115
79,2,1,-200,-2200,-2400,3637.0000000000646,0.15154166666666935
80,2,1,-200,-2300,-2500,3637.0000000000646,0.14548000000000258
81,2,1,-200,-2400,-2600,3637.0000000000646,0.13988461538461786
82,2,1,-200,-2500,-2700,3637.0000000000646,0.1347037037037061
83,2,1,-200,-2600,-2800,3637.0000000000646,0.12989285714285945
84,2,1,-200,-2700,-2900,3637.0000000000646,0.1254137931034505
85,2,1,-200,-2800,-3000,3637.0000000000646,0.12123333333333548
86,2,1,-200,-2900,-3100,3637.0000000000646,0.11732258064516338
87,2,2,-200,-100,-300,10052.000000000076,3.350666666666692
88,2,2,-200,-200,-400,8590.000000000036,2.1475000000000093
89,2,2,-200,-300,-500,7831.000000000158,1.5662000000000316
90,2,2,-200,-400,-600,9133.000000000093,1.5221666666666822
91,2,2,-200,-500,-700,8514.00000000005,1.2162857142857213
92,2,2,-200,-600,-800,9555.999999999995,1.1944999999999992
93,2,2,-200,-700,-900,9055.999999999995,1.0062222222222217
94,2,2,-200,-800,-1000,8610.000000000031,0.8610000000000031
95,2,2,-200,-900,-1100,8210.000000000033,0.7463636363636393
96,2,2,-200,-1000,-1200,7810.000000000033,0.650833333333336
97,2,2,-200,-1100,-1300,7454.0000000000655,0.5733846153846204
98,2,2,-200,-1200,-1400,7244.000000000044,0.5174285714285746
99,2,2,-200,-1300,-1500,7044.000000000044,0.4696000000000029
100,2,2,-200,-1400,-1600,6844.000000000044,0.42775000000000274
101,2,2,-200,-1500,-1700,6717.000000000027,0.3951176470588251
102,2,2,-200,-1600,-1800,6617.000000000027,0.3676111111111126
103,2,2,-200,-1700,-1900,6517.000000000027,0.3430000000000014
104,2,2,-200,-1800,-2000,6417.000000000027,0.32085000000000136
105,2,2,-200,-1900,-2100,6317.000000000027,0.3008095238095251
106,2,2,-200,-2000,-2200,6217.000000000027,0.28259090909091034
107,2,2,-200,-2100,-2300,6148.000000000062,0.26730434782608964
108,2,2,-200,-2200,-2400,6148.000000000062,0.25616666666666926
109,2,2,-200,-2300,-2500,6148.000000000062,0.24592000000000247
110,2,2,-200,-2400,-2600,6148.000000000062,0.23646153846154083
111,2,2,-200,-2500,-2700,6148.000000000062,0.227703703703706
112,2,2,-200,-2600,-2800,6148.000000000062,0.21957142857143078
113,2,2,-200,-2700,-2900,6148.000000000062,0.21200000000000213
114,2,2,-200,-2800,-3000,6148.000000000062,0.20493333333333538
115,2,2,-200,-2900,-3100,6148.000000000062,0.19832258064516328
