date,GBPUSD,USDJPY,AUDUSD,NZDUSD,EURCHF,CADCHF,NZDCHF,GBPAUD,EURAUD,EURNZD,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.11.30,-15.999999999993797,-21.000000000000796,-75.00000000000284,-117.00000000000044,-97.9999999999981,-173.00000000000094,-167.00000000000603,-82.99999999998863,-9.999999999998899,-93.99999999999409,-177.99999999999727,-78.00000000000028,-119.99999999999788,-25.00000000000835,,-1254.9999999999884
2020.11.30,-35.00000000000725,-12.000000000000455,-65.99999999999939,-133.00000000000534,-99.99999999998899,-158.0000000000026,-168.00000000000148,-62.99999999999084,-2.0000000000131024,-96.99999999999153,-185.00000000000227,-9.00000000000345,-69.00000000000794,-15.00000000000945,,-1112.000000000024
2020.11.30,-65.00000000000395,24.00000000000091,-166.99999999999494,-199.00000000000472,-146.99999999998602,-218.00000000000708,-240.00000000000688,-2.999999999997449,-161.99999999999548,-117.00000000001154,-296.0000000000065,-100.00000000000009,-118.00000000000699,45.99999999999049,,-1762.0000000000302
2020.11.30,-83.9999999999952,85.99999999999852,-215.99999999999397,-206.00000000000617,-156.00000000000057,-218.00000000000708,-242.00000000000887,154.99999999999403,-222.00000000001108,-113.99999999999189,-320.0000000000074,-170.99999999999892,-131.00000000000333,92.99999999998754,,-1746.0000000000443
2020.11.30,-56.000000000011596,22.999999999996135,-204.99999999999963,-170.00000000000347,-153.9999999999875,-182.00000000000438,-214.00000000000307,177.00000000000495,-215.00000000000963,-49.00000000001015,-219.99999999999886,-199.00000000000472,-153.99999999999858,136.99999999998712,,-1481.0000000000437
2020.11.30,-100.0000000000112,-150.00000000000568,-214.99999999999852,-197.99999999999818,-135.9999999999806,-163.00000000000205,-213.00000000000762,121.99999999999989,-200.00000000000017,-45.99999999999049,-183.00000000000693,-251.00000000000122,-200.00000000000017,109.99999999998789,,-1823.0000000000152
2020.11.30,-90.99999999999665,-168.00000000000637,-248.00000000000378,-239.0000000000003,-95.999999999985,-129.00000000000134,-213.00000000000762,160.00000000000458,-243.99999999999977,-124.99999999999733,-152.00000000000102,-248.00000000000378,-219.00000000000253,78.00000000000028,,-1934.0000000000007
2020.11.30,-137.00000000000932,-139.00000000001,-205.99999999999508,-224.000000000002,-110.99999999999443,-139.00000000000023,-217.0000000000005,123.00000000000644,-161.99999999999548,-112.000000000001,-158.00000000000125,-185.99999999999727,-200.00000000000017,78.00000000000028,,-1790.0
2020.11.30,-157.00000000000713,-142.00000000001012,-204.00000000000418,-218.00000000000708,-95.00000000000064,-140.0000000000068,-198.00000000000927,-43.999999999999595,-141.99999999999767,-63.99999999999739,-137.00000000000045,-180.99999999999784,-177.00000000000495,109.00000000000354,,-1790.0000000000396
2020.11.30,-131.00000000001444,-133.00000000000978,-156.00000000000057,-146.99999999999713,-70.99999999999883,-125.00000000000844,-129.00000000000134,-107.99999999999699,-70.0000000000145,72.0000000000054,-82.00000000000784,-119.99999999999788,-85.99999999999719,112.000000000001,,-1174.0000000000389
2020.11.30,-171.99999999999437,-114.00000000000432,-110.99999999999443,-128.00000000000588,-96.99999999999153,-131.99999999999878,-104.99999999999955,-224.99999999998633,21.999999999988695,116.00000000000499,-78.00000000000296,-78.00000000000028,-74.00000000000739,97.9999999999981,,-1077.9999999999936
2020.11.30,-114.0000000000141,-99.00000000000375,-65.00000000000395,-90.0000000000012,-98.99999999998244,-133.00000000000534,-102.00000000000209,-202.9999999999976,92.00000000000318,181.00000000000892,-34.99999999999659,-36.0000000000027,-46.999999999997044,85.00000000000173,,-664.9999999999931
2020.11.30,-140.0000000000068,-111.0000000000042,-58.000000000002494,-75.9999999999983,-66.99999999999484,-117.00000000000044,-82.99999999999974,-225.99999999999287,95.999999999985,194.99999999998963,-28.000000000005798,-48.99999999999905,-38.0000000000047,102.99999999998644,,-599.0000000000481
2020.11.30,-134.99999999999625,-133.00000000000978,-119.99999999999788,-119.99999999999788,-64.99999999998174,-112.000000000001,-104.00000000000409,-167.9999999999904,-4.000000000004,120.00000000000898,-40.00000000000625,-95.00000000000064,-82.99999999999974,114.99999999999844,,-943.9999999999823
2020.11.30,-131.99999999999878,-137.00000000000045,-93.99999999999409,-116.00000000000499,-67.9999999999792,-99.00000000000463,-103.00000000000864,-235.99999999999176,43.999999999999595,129.00000000000134,-37.9999999999967,-85.99999999999719,-94.00000000000519,93.99999999999409,,-935.9999999999866
2020.11.30,-161.00000000001114,-149.0000000000009,-78.99999999999574,-97.00000000000264,-27.999999999983594,-79.00000000000685,-48.000000000003595,-221.99999999998886,119.00000000000244,202.9999999999976,-16.000000000005343,-31.999999999998696,-51.000000000001044,90.99999999999665,,-549.0000000000018
2020.11.30,-202.00000000001327,-160.0000000000108,-88.99999999999464,-97.9999999999981,-24.999999999986144,-79.00000000000685,-43.00000000000415,-286.99999999999284,99.99999999998899,224.000000000002,0.0,-34.99999999999615,-28.000000000005798,109.99999999998789,,-612.0000000000298
2020.11.30,-221.00000000000452,-117.00000000000443,-78.00000000000028,-60.00000000000449,-22.999999999995246,-75.00000000000284,-2.000000000002,-448.9999999999883,121.99999999999989,289.9999999999903,-3.0000000000001137,-19.999999999997797,-7.0000000000014495,102.99999999998644,,-540.000000000025
2020.11.30,-307.00000000001285,-51.00000000000193,9.00000000000345,-6.0000000000060005,12.000000000012001,-64.0000000000085,23.999999999990695,-625.9999999999932,197.99999999998707,323.99999999999096,18.000000000000682,43.00000000000415,32.999999999994145,105.99999999998388,,-287.0000000000555
2020.11.30,-263.99999999999756,-31.00000000000591,-41.000000000002146,-56.0000000000005,-7.999999999985796,-58.99999999999794,8.999999999992347,-543.999999999989,215.99999999999397,324.9999999999975,-82.99999999999841,-7.9999999999968985,0.999999999995449,103.99999999999298,,-439.00000000000205
2020.11.30,-248.00000000000378,33.00000000000125,-41.000000000002146,-85.99999999999719,6.000000000017103,-53.00000000000304,0.0,-436.9999999999985,197.00000000000273,286.99999999999284,-219.99999999999886,-2.000000000002,-2.000000000002,34.99999999998504,,-531.0000000000086
2020.11.30,-214.00000000000307,161.00000000000136,-38.0000000000047,-136.00000000000279,-15.999999999993797,-73.00000000000084,-23.00000000000635,-438.9999999999894,302.0000000000023,258.0000000000027,-269.00000000000546,73.99999999999629,-14.000000000002899,-63.99999999999739,,-491.00000000000404
2020.11.30,-107.99999999999699,218.9999999999941,53.00000000000304,-67.00000000000594,-51.99999999998539,-109.99999999999899,20.999999999993246,-441.0000000000025,495.000000000001,391.9999999999924,-263.00000000000523,173.9999999999964,30.999999999992145,-46.0000000000127,,297.9999999999646
2020.11.30,-56.000000000011596,28.999999999996362,-53.00000000000304,-201.00000000000674,-162.99999999997982,-155.00000000000514,-151.00000000000114,-212.99999999999653,333.0000000000055,133.99999999998968,-278.0000000000058,85.00000000000173,-92.00000000000318,-107.99999999999699,,-889.0000000000168
2020.11.30,-36.999999999998145,-43.00000000000637,-41.9999999999976,-209.9999999999991,-194.99999999998963,-209.00000000000364,-191.00000000000784,-154.99999999999403,343.99999999998875,96.00000000000719,-222.0000000000084,102.00000000000209,-87.99999999999919,-154.0000000000097,,-1004.0000000000157
2020.11.30,-34.000000000000696,-11.00000000000989,-7.9999999999968985,-226.99999999999943,-194.99999999998963,-247.00000000000833,-184.00000000000637,-198.99999999999363,411.99999999999017,68.00000000000139,-249.00000000000944,178.99999999999582,-55.000000000005045,-174.00000000000747,,-924.0000000000396
2020.11.30,-286.00000000000847,-87.0000000000033,-41.9999999999976,-285.00000000000193,-252.99999999999213,-297.00000000000284,-268.0000000000016,-452.99999999999227,387.000000000004,-60.99999999999994,-284.9999999999966,221.99999999999997,-77.00000000000485,-234.00000000000088,,-2018.9999999999986
2020.11.30,-373.00000000000114,-82.00000000000784,-32.999999999994145,-270.0000000000036,-250.99999999997902,-300.0000000000003,-248.00000000000378,-618.9999999999918,445.99999999999085,43.999999999999595,-251.00000000000477,261.99999999999557,-36.999999999998145,-226.00000000001506,,-1938.0000000000136
