date,EURCHF,EURCAD,empty,sum
2020.01.27,-9.999999999998899,-9.999999999998899,,-19.999999999997797
2020.01.27,5.000000000010552,0.9999999999843467,,5.999999999994898
2020.01.27,-82.99999999998863,96.99999999999153,,14.000000000002899
2020.01.27,-82.99999999998863,53.999999999998494,,-28.999999999990138
2020.01.27,50.0000000000167,36.999999999998145,,87.00000000001484
2020.01.27,21.00000000000435,26.999999999999247,,48.000000000003595
2020.01.27,19.999999999997797,55.99999999998939,,75.99999999998718
2020.01.27,49.00000000001015,129.00000000000134,,178.00000000001148
2020.01.27,11.00000000000545,156.00000000000057,,167.00000000000603
2020.01.27,6.000000000017103,130.99999999999224,,137.00000000000935
2020.01.27,50.0000000000167,106.99999999999044,,157.00000000000713
2020.01.27,46.999999999997044,72.99999999998974,,119.99999999998678
2020.01.27,22.0000000000109,66.99999999999484,,89.00000000000574
2020.01.27,36.0000000000138,71.99999999998319,,107.99999999999699
2020.01.27,32.0000000000098,82.00000000000429,,114.0000000000141
2020.01.27,36.999999999998145,104.99999999999955,,141.9999999999977
2020.01.27,43.999999999999595,126.0000000000039,,170.0000000000035
2020.01.27,63.99999999999739,115.99999999998278,,179.99999999998016
2020.01.27,107.99999999999699,243.99999999999977,,351.99999999999676
2020.01.27,53.999999999998494,306.9999999999906,,360.9999999999891
2020.01.27,116.00000000000499,261.0000000000001,,377.0000000000051
2020.01.27,89.00000000000574,281.99999999998226,,370.999999999988
2020.01.27,-29.999999999996696,185.99999999999727,,156.00000000000057
2020.01.27,-104.99999999999955,244.9999999999841,,139.99999999998457
2020.01.27,-121.99999999999989,332.9999999999833,,210.9999999999834
2020.01.27,-146.00000000000168,346.0000000000019,,200.0000000000002
2020.01.27,-141.99999999999767,270.99999999999903,,129.00000000000136
2020.01.27,-164.99999999999292,227.99999999998377,,62.99999999999085
2020.01.27,-120.99999999999334,258.99999999998704,,137.9999999999937
2020.01.27,-133.99999999998968,289.9999999999903,,156.0000000000006
2020.01.27,-159.99999999998238,304.9999999999997,,145.00000000001734
2020.01.27,-188.9999999999947,295.99999999998516,,106.99999999999045
2020.01.27,-249.99999999999466,426.9999999999996,,177.00000000000495
2020.01.27,-188.9999999999947,221.99999999998886,,32.999999999994145
2020.01.27,-225.99999999999287,220.99999999998232,,-5.0000000000105445
2020.01.27,-239.99999999999577,82.99999999998863,,-157.00000000000713
2020.01.27,-207.99999999998596,210.99999999998343,,2.9999999999974705
2020.01.27,-197.00000000000273,154.99999999999403,,-42.0000000000087
2020.01.27,-143.99999999998857,120.99999999999334,,-22.99999999999524
2020.01.27,-144.99999999999514,107.99999999999699,,-36.99999999999815
2020.01.27,-122.99999999998423,92.00000000000318,,-30.999999999981043
2020.01.27,-154.99999999999403,102.00000000000209,,-52.99999999999194
2020.01.27,-163.00000000000205,131.99999999999878,,-31.00000000000327
2020.01.27,-215.99999999999397,167.9999999999904,,-48.00000000000358
2020.01.27,-234.99999999998522,193.99999999998306,,-41.00000000000216
2020.01.27,-224.99999999998633,236.99999999999832,,12.000000000011994
2020.01.27,-201.99999999999108,263.99999999999756,,62.00000000000648
2020.01.27,-235.99999999999176,322.9999999999844,,86.99999999999267
2020.01.28,-208.99999999999253,295.0000000000008,,86.00000000000827
2020.01.28,-234.00000000000088,302.9999999999866,,68.9999999999857
2020.01.28,-160.99999999998892,293.99999999999426,,133.00000000000534
2020.01.28,-154.99999999999403,278.00000000000045,,123.00000000000642
2020.01.28,-136.00000000000279,271.99999999998334,,135.99999999998056
2020.01.28,-160.99999999998892,286.99999999999284,,126.00000000000392
2020.01.28,-95.00000000000064,330.9999999999924,,235.99999999999176
2020.01.28,-103.99999999999298,302.0000000000023,,198.0000000000093
2020.01.28,-120.99999999999334,302.9999999999866,,181.99999999999324
2020.01.28,-95.999999999985,307.99999999999716,,212.00000000001216
2020.01.28,-89.99999999999008,309.0000000000037,,219.0000000000136
2020.01.28,-79.99999999999119,304.9999999999997,,225.00000000000853
2020.01.28,-78.00000000000028,287.9999999999994,,209.9999999999991
2020.01.28,-70.99999999999883,292.9999999999877,,221.9999999999889
2020.01.28,-72.99999999998974,304.9999999999997,,232.00000000000998
2020.01.28,-61.99999999998429,242.99999999999324,,181.00000000000895
2020.01.28,-41.99999999998649,261.9999999999845,,219.99999999999798
2020.01.28,-48.99999999998794,226.99999999999943,,178.00000000001148
2020.01.28,-92.99999999998754,194.99999999998963,,102.00000000000209
2020.01.28,-51.99999999998539,239.99999999999577,,188.00000000001037
2020.01.28,-182.99999999999983,350.9999999999902,,167.9999999999904
2020.01.28,-197.00000000000273,394.9999999999898,,197.9999999999871
2020.01.28,-370.999999999988,357.99999999999164,,-12.999999999996362
2020.01.28,-300.99999999999574,356.9999999999851,,55.99999999998937
2020.01.28,-300.99999999999574,436.9999999999985,,136.00000000000279
2020.01.28,-280.9999999999979,420.9999999999825,,139.9999999999846
2020.01.28,-244.9999999999841,363.0000000000022,,118.0000000000181
2020.01.28,-126.99999999998823,231.0000000000034,,104.00000000001518
2020.01.28,-117.99999999999588,159.99999999998238,,41.9999999999865
2020.01.28,-60.99999999999994,119.99999999998678,,58.99999999998684
2020.01.28,-14.000000000002899,144.99999999999514,,130.99999999999224
2020.01.28,43.999999999999595,119.99999999998678,,163.9999999999864
2020.01.28,-29.999999999996696,163.00000000000205,,133.00000000000534
2020.01.28,-31.999999999987594,22.999999999995246,,-8.999999999992347
2020.01.28,67.00000000001705,-94.00000000001629,,-26.999999999999233
2020.01.28,83.00000000001084,-39.00000000001125,,43.999999999999595
