date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,empty,sum
2019.02.18,-34.000000000000696,-36.0000000000138,-15.999999999993797,0.0,-2.999999999997449,-53.00000000000304,-50.0000000000167,-0.999999999995449,-15.999999999993797,-73.0000000000075,0.0,,-282.0000000000222
2019.02.18,-52.99999999999194,-1.0000000000065512,-11.00000000000545,16.999999999995907,-2.0000000000131024,-68.00000000000139,-26.999999999999247,19.999999999997797,41.9999999999976,-88.99999999999864,29.999999999996696,,-142.0000000000283
2019.02.18,-28.999999999990145,0.0,-7.0000000000014495,45.000000000001705,-70.99999999999883,-97.00000000000264,7.999999999985796,43.00000000000415,53.00000000000304,-98.99999999998954,25.00000000000835,,-128.99999999997956
2019.02.18,-8.000000000008,-24.000000000001798,-38.0000000000047,45.000000000001705,-104.99999999999955,-146.99999999999713,-1.0000000000065512,82.00000000000429,67.00000000000594,-213.99999999999864,140.0000000000068,,-202.99999999999758
2019.02.18,-58.000000000002494,-23.00000000001745,-99.99999999998899,22.999999999996135,-146.00000000000168,-146.00000000000168,12.999999999996348,114.00000000000298,82.99999999999974,-193.9999999999884,148.99999999999915,,-285.0000000000063
2019.02.18,-93.00000000000975,-62.000000000006494,-129.00000000000134,18.999999999991246,-171.99999999999437,-173.9999999999964,75.99999999998718,139.00000000000023,112.99999999999643,-182.99999999999272,168.0000000000126,,-298.00000000001353
2019.02.18,-103.99999999999298,-83.00000000001084,-170.00000000000347,51.9999999999925,-246.00000000001288,-210.99999999999451,58.99999999998684,202.9999999999976,106.00000000000608,-223.99999999998954,147.00000000000824,,-471.0000000000129
2019.02.18,-114.99999999999844,-87.99999999999919,-194.99999999998963,75.9999999999934,-221.00000000000452,-193.99999999999417,81.9999999999821,226.99999999999943,145.00000000000622,-235.99999999999,177.00000000000495,,-341.9999999999898
2019.02.18,-154.0000000000097,-168.99999999999693,-283.99999999999534,66.99999999999307,-249.00000000001032,-261.0000000000001,51.000000000001044,256.0000000000007,150.00000000000568,-324.99999999998863,97.00000000001374,,-820.9999999999868
2019.02.18,-174.00000000000747,-175.00000000001404,-327.99999999999494,75.00000000000284,-239.99999999999577,-253.99999999999866,62.99999999999084,246.99999999999721,168.99999999999693,-312.9999999999882,93.00000000000975,,-837.0000000000013
2019.02.18,-163.00000000000205,-146.00000000000168,-292.00000000000335,75.00000000000284,-236.99999999999832,-219.00000000000253,73.99999999999629,226.00000000000398,185.00000000000182,-283.9999999999918,147.00000000000824,,-633.9999999999866
2019.02.18,-158.99999999999804,-151.00000000001222,-296.0000000000074,61.99999999999761,-231.0000000000034,-226.99999999999943,63.99999999999739,227.99999999999488,180.0000000000024,-264.00000000001,141.00000000001333,,-653.0000000000249
2019.02.18,-124.99999999999733,-135.00000000001845,-261.0000000000001,49.99999999999716,-212.00000000001216,-217.0000000000005,47.99999999998139,236.99999999999832,175.99999999999838,-234.00000000000887,137.9999999999937,,-535.0000000000684
2019.02.18,-117.99999999999588,-121.00000000001555,-242.00000000000887,57.999999999992724,-188.9999999999947,-200.00000000000017,20.999999999982144,231.0000000000034,143.00000000000423,-266.9999999999959,117.00000000001154,,-567.000000000017
2019.02.18,-92.00000000000318,-119.00000000000244,-212.99999999999653,84.99999999999375,-188.9999999999947,-192.00000000000327,17.000000000000348,239.0000000000003,148.99999999999915,-275.0000000000057,126.0000000000039,,-464.0000000000084
2019.02.18,-87.99999999999919,-68.00000000000139,-190.00000000000128,76.99999999999818,-181.00000000000892,-180.99999999999784,49.99999999999449,185.00000000000182,153.99999999999858,-198.99999999998386,165.9999999999995,,-274.9999999999999
2019.02.18,-78.00000000000028,-113.00000000000753,-181.00000000000892,90.99999999999397,-202.00000000001327,-192.00000000000327,0.0,182.00000000000438,123.00000000000644,-269.00000000000546,103.00000000000864,,-536.0000000000254
2019.02.18,-89.00000000000574,-107.00000000001265,-194.99999999998963,96.9999999999942,-205.99999999999508,-192.00000000000327,7.999999999985796,173.9999999999964,118.00000000000699,-275.0000000000057,144.0000000000108,,-523.0000000000178
2019.02.18,-126.99999999998823,-140.0000000000068,-235.99999999999176,106.99999999999932,-224.000000000002,-239.99999999999577,-2.999999999997449,124.00000000000189,129.9999999999968,-329.9999999999841,139.00000000000023,,-799.9999999999678
2019.02.18,-124.99999999999733,-133.00000000000534,-222.99999999999542,103.9999999999992,-205.99999999999508,-220.99999999999343,29.999999999996696,66.99999999999484,131.00000000000333,-293.9999999999827,114.99999999999844,,-754.9999999999768
2019.02.18,-83.9999999999952,-57.00000000001815,-156.00000000000057,108.99999999999466,-231.0000000000034,-182.99999999999983,-23.00000000001745,66.99999999999484,104.00000000000409,-234.99999999998522,178.99999999999582,,-510.00000000003047
2019.02.18,-89.00000000000574,-120.00000000000898,-165.9999999999995,134.00000000000034,-221.00000000000452,-197.99999999999818,3.999999999981796,85.99999999999719,99.00000000000463,-320.99999999999795,171.00000000001003,,-621.0000000000209
2019.02.18,-110.99999999999443,-235.00000000000742,-194.99999999998963,117.00000000000443,-226.99999999999943,-210.99999999999451,-121.00000000001555,65.00000000000395,41.9999999999976,-465.0000000000034,5.000000000010552,,-1335.999999999988
2019.02.18,-157.00000000000713,-189.00000000001694,-269.00000000000813,90.99999999999397,-151.9999999999966,-190.99999999999673,8.999999999992347,53.999999999998494,102.99999999999754,-378.9999999999907,-25.999999999992696,,-1106.0000000000266
