date,EURUSD,USDJPY,USDCAD,CHFJPY,EURJPY,empty,sum
2019.09.09,-1.999999999990898,-58.9999999999975,-4.000000000004,-12.000000000000455,-51.00000000000193,,-127.99999999999478
2019.09.09,-4.000000000004,-45.99999999999227,-17.000000000000348,-82.00000000000784,-51.9999999999925,,-200.99999999999696
2019.09.09,8.000000000008,-102.99999999999443,-17.000000000000348,-121.99999999999989,-110.99999999999,,-344.9999999999767
2019.09.09,8.999999999992347,-98.99999999998954,-36.999999999998145,-114.00000000000432,-105.99999999999454,,-346.9999999999942
2019.09.09,25.999999999992696,-143.99999999999125,-32.999999999994145,-134.00000000000034,-138.9999999999958,,-423.99999999998886
2019.09.09,53.999999999998494,-145.99999999998658,-55.000000000005045,-118.99999999999977,-110.99999999999,,-376.9999999999829
2019.09.09,36.999999999998145,-161.99999999999193,-38.0000000000047,-147.00000000000557,-144.99999999999602,,-455.00000000000006
2019.09.09,82.00000000000429,-151.9999999999868,-12.999999999996348,-30.000000000001137,-89.9999999999892,,-202.9999999999692
2019.09.09,39.999999999995595,-137.00000000000045,-73.99999999999629,-22.999999999996135,-115.99999999999966,,-309.99999999999693
2019.09.09,-12.000000000012001,-52.99999999999727,-26.999999999999247,18.999999999991246,-79.9999999999983,,-153.00000000001558
2019.09.09,-5.999999999994898,-92.99999999998931,-38.99999999998904,-7.000000000005002,-116.99999999999022,,-261.9999999999685
2019.09.09,11.999999999989797,-108.99999999999466,-29.999999999996696,1.0000000000047748,-115.99999999999966,,-241.99999999999645
2019.09.09,-1.999999999990898,-108.99999999999466,-58.99999999998684,-10.99999999999568,-129.99999999999545,,-310.9999999999635
2019.09.09,-15.00000000000945,-72.99999999999329,-68.00000000000139,24.999999999991473,-103.9999999999992,,-235.00000000001188
2019.09.09,-35.00000000000725,-95.99999999998943,-92.00000000000318,0.0,-150.99999999999625,,-373.99999999999613
2019.09.09,-15.999999999993797,-98.99999999998954,-68.00000000000139,18.000000000000682,-135.99999999999568,,-300.99999999997976
2019.09.09,-8.000000000008,-88.99999999999864,-82.99999999998863,19.99999999999602,-114.99999999999488,,-274.99999999999415
2019.09.09,4.000000000004,-75.9999999999934,-55.99999999998939,12.000000000000455,-86.99999999998909,,-202.99999999996743
2019.09.09,19.999999999997797,-112.99999999999955,-51.000000000001044,-18.000000000000682,-111.99999999999477,,-273.99999999999824
2019.09.09,-35.00000000000725,-125.0,-48.000000000003595,-21.000000000000796,-185.00000000000227,,-414.0000000000139
2019.09.09,-39.999999999995595,-125.99999999999056,-85.99999999998609,48.00000000000182,-189.99999999999773,,-393.99999999996817
2019.09.09,-56.99999999999594,-165.99999999999682,-75.00000000000284,27.999999999991587,-251.99999999999534,,-521.9999999999993
2019.09.09,-103.99999999999298,-171.99999999999704,-99.99999999998899,18.000000000000682,-308.9999999999975,,-666.9999999999758
2019.09.09,-80.99999999999774,-179.9999999999926,-153.9999999999875,81.00000000000307,-292.99999999999216,,-626.9999999999669
2019.09.09,-78.00000000000028,-192.99999999999784,-117.99999999999588,67.99999999999784,-304.00000000000205,,-624.9999999999982
2019.09.09,-124.99999999999733,-248.99999999999523,-136.00000000000279,-48.00000000000182,-414.99999999999204,,-972.9999999999892
2019.09.09,-58.000000000002494,-236.99999999999477,-151.9999999999966,43.99999999999693,-329.9999999999983,,-732.9999999999952
2019.09.09,1.999999999990898,-179.9999999999926,-143.99999999998857,152.00000000000102,-205.99999999998886,,-375.9999999999781
2019.09.09,-56.000000000011596,-209.99999999999375,-175.99999999999838,84.00000000000318,-295.99999999999227,,-653.9999999999928
2019.09.09,-109.00000000000354,-164.99999999999204,-182.99999999999983,51.00000000000193,-304.9999999999926,,-710.9999999999861
2019.09.09,-70.99999999999883,-141.9999999999959,-188.9999999999947,45.000000000001705,-240.99999999999966,,-597.9999999999874
2019.09.09,-175.99999999999838,-204.9999999999983,-235.00000000000742,111.99999999999477,-423.9999999999924,,-928.0000000000017
2019.09.09,-236.99999999999832,-243.99999999999977,-157.99999999999147,87.0000000000033,-527.9999999999916,,-1079.9999999999777
2019.09.09,-300.00000000001137,-198.99999999999807,-123.00000000000644,36.99999999999193,-546.999999999997,,-1132.000000000021
2019.09.09,-304.9999999999997,-265.99999999999113,-201.00000000000674,-51.00000000000193,-625.0,,-1447.9999999999995
2019.09.09,-320.00000000000915,-361.99999999999477,-165.9999999999995,-121.99999999999989,-746.9999999999999,,-1717.0000000000032
2019.09.09,-330.9999999999924,-338.99999999999864,-231.0000000000034,-75.00000000000284,-734.9999999999994,,-1710.9999999999968
2019.09.09,-302.0000000000023,-348.99999999998954,-339.0000000000004,-30.000000000001137,-717.9999999999893,,-1737.9999999999827
2019.09.09,-361.9999999999957,-268.99999999999125,-280.9999999999979,-10.000000000005116,-689.9999999999977,,-1611.9999999999877
2019.09.09,-340.00000000000693,-254.99999999999545,-239.99999999999577,15.000000000000568,-652.000000000001,,-1471.9999999999986
2019.09.09,-309.0000000000037,-267.99999999998647,-191.99999999999218,51.00000000000193,-634.9999999999909,,-1352.9999999999714
