date,USDCAD,empty,sum
2015.09.21,-125.99999999998168,,-125.99999999998168
2015.09.21,-105.99999999998388,,-105.99999999998388
2015.09.21,-95.00000000000064,,-95.00000000000064
2015.09.21,-21.999999999988695,,-21.999999999988695
2015.09.21,-3.999999999981796,,-3.999999999981796
2015.09.21,-24.999999999986144,,-24.999999999986144
2015.09.21,-27.999999999983594,,-27.999999999983594
2015.09.21,-35.999999999991594,,-35.999999999991594
2015.09.21,-3.999999999981796,,-3.999999999981796
2015.09.21,7.0000000000014495,,7.0000000000014495
2015.09.21,2.0000000000131024,,2.0000000000131024
2015.09.21,-2.999999999997449,,-2.999999999997449
2015.09.21,6.000000000017103,,6.000000000017103
2015.09.21,18.0000000000069,,18.0000000000069
2015.09.21,48.000000000003595,,48.000000000003595
2015.09.21,45.000000000006146,,45.000000000006146
2015.09.21,29.00000000001235,,29.00000000001235
2015.09.21,46.0000000000127,,46.0000000000127
2015.09.21,52.000000000007596,,52.000000000007596
2015.09.21,69.00000000000794,,69.00000000000794
2015.09.21,202.00000000001327,,202.00000000001327
2015.09.21,121.99999999999989,,121.99999999999989
2015.09.21,-2.999999999997449,,-2.999999999997449
2015.09.21,-64.99999999998174,,-64.99999999998174
2015.09.21,17.000000000000348,,17.000000000000348
2015.09.21,38.0000000000047,,38.0000000000047
2015.09.21,133.00000000000534,,133.00000000000534
2015.09.21,148.99999999999915,,148.99999999999915
2015.09.21,187.00000000000384,,187.00000000000384
2015.09.21,153.00000000000313,,153.00000000000313
2015.09.21,103.00000000000864,,103.00000000000864
2015.09.21,-4.999999999988347,,-4.999999999988347
2015.09.21,-141.99999999999767,,-141.99999999999767
2015.09.21,-173.99999999998528,,-173.99999999998528
2015.09.21,-224.000000000002,,-224.000000000002
2015.09.21,-384.9999999999909,,-384.9999999999909
2015.09.21,-381.99999999999346,,-381.99999999999346
2015.09.21,-363.9999999999866,,-363.9999999999866
2015.09.21,-351.99999999999676,,-351.99999999999676
2015.09.21,-359.99999999998255,,-359.99999999998255
2015.09.21,-359.99999999998255,,-359.99999999998255
2015.09.21,-468.00000000000176,,-468.00000000000176
2015.09.21,-455.99999999998977,,-455.99999999998977
2015.09.21,-390.0000000000015,,-390.0000000000015
2015.09.21,-229.99999999999687,,-229.99999999999687
2015.09.21,-278.9999999999848,,-278.9999999999848
2015.09.21,-337.99999999999386,,-337.99999999999386
2015.09.21,-357.99999999999164,,-357.99999999999164
2015.09.22,-377.9999999999894,,-377.9999999999894
2015.09.22,-348.9999999999993,,-348.9999999999993
2015.09.22,-329.00000000000153,,-329.00000000000153
2015.09.22,-312.9999999999855,,-312.9999999999855
2015.09.22,-306.9999999999906,,-306.9999999999906
2015.09.22,-322.00000000000006,,-322.00000000000006
2015.09.22,-317.9999999999961,,-317.9999999999961
2015.09.22,-312.00000000000114,,-312.00000000000114
2015.09.22,-302.9999999999866,,-302.9999999999866
2015.09.22,-302.9999999999866,,-302.9999999999866
2015.09.22,-226.99999999999943,,-226.99999999999943
2015.09.22,-268.0000000000016,,-268.0000000000016
2015.09.22,-211.99999999998997,,-211.99999999998997
2015.09.22,-197.99999999998707,,-197.99999999998707
2015.09.22,-193.99999999998306,,-193.99999999998306
2015.09.22,-192.99999999999872,,-192.99999999999872
2015.09.22,-214.99999999998744,,-214.99999999998744
2015.09.22,-213.99999999998087,,-213.99999999998087
2015.09.22,-257.99999999998045,,-257.99999999998045
2015.09.22,-261.9999999999845,,-261.9999999999845
2015.09.22,-135.9999999999806,,-135.9999999999806
2015.09.22,-158.99999999999804,,-158.99999999999804
2015.09.22,-331.999999999999,,-331.999999999999
2015.09.22,-364.9999999999931,,-364.9999999999931
2015.09.22,-404.9999999999887,,-404.9999999999887
2015.09.22,-329.99999999998585,,-329.99999999998585
2015.09.22,-401.99999999999125,,-401.99999999999125
2015.09.22,-409.99999999999926,,-409.99999999999926
2015.09.22,-578.9999999999961,,-578.9999999999961
2015.09.22,-489.99999999999045,,-489.99999999999045
2015.09.22,-648.9999999999885,,-648.9999999999885
2015.09.22,-722.0000000000005,,-722.0000000000005
2015.09.22,-645.999999999991,,-645.999999999991
2015.09.22,-578.9999999999961,,-578.9999999999961
2015.09.22,-680.9999999999983,,-680.9999999999983
2015.09.22,-795.9999999999967,,-795.9999999999967
2015.09.22,-715.9999999999833,,-715.9999999999833
2015.09.22,-661.0000000000005,,-661.0000000000005
2015.09.22,-659.999999999994,,-659.999999999994
2015.09.22,-600.0000000000006,,-600.0000000000006
2015.09.22,-649.999999999995,,-649.999999999995
2015.09.22,-626.9999999999998,,-626.9999999999998
2015.09.22,-566.9999999999842,,-566.9999999999842
2015.09.22,-458.9999999999872,,-458.9999999999872
2015.09.22,-448.9999999999883,,-448.9999999999883
2015.09.22,-405.9999999999952,,-405.9999999999952
2015.09.22,-498.9999999999828,,-498.9999999999828
2015.09.22,-536.9999999999875,,-536.9999999999875
2015.09.23,-523.9999999999911,,-523.9999999999911
2015.09.23,-567.9999999999907,,-567.9999999999907
2015.09.23,-543.999999999989,,-543.999999999989
2015.09.23,-540.9999999999915,,-540.9999999999915
2015.09.23,-577.9999999999897,,-577.9999999999897
2015.09.23,-577.9999999999897,,-577.9999999999897
2015.09.23,-612.9999999999969,,-612.9999999999969
2015.09.23,-638.9999999999895,,-638.9999999999895
2015.09.23,-614.9999999999877,,-614.9999999999877
2015.09.23,-737.9999999999942,,-737.9999999999942
2015.09.23,-757.999999999992,,-757.999999999992
2015.09.23,-714.999999999999,,-714.999999999999
2015.09.23,-712.0000000000015,,-712.0000000000015
