date,USDCHF,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2015.06.22,-14.000000000002899,-2.999999999997449,-70.99999999999883,-14.999999999998348,-22.999999999995246,-127.99999999999478,-106.00000000000608,-51.000000000001044,-43.00000000000637,-157.00000000000713,0.0,-70.99999999999883,-21.00000000000435,-19.999999999997797,-76.99999999999818,-40.99999999999682,-45.99999999999227,-29.000000000001247,-58.000000000002494,,-974.0000000000002
2015.06.22,-46.00000000000159,14.999999999987246,-19.999999999997797,-34.000000000000696,-12.999999999996348,-29.999999999996696,-57.00000000000705,-29.000000000001247,-27.999999999991587,-157.00000000000713,18.000000000000682,-99.99999999998899,-2.0000000000131024,19.999999999997797,-60.99999999999284,-52.99999999999727,-22.999999999996135,35.00000000000725,-29.00000000001235,,-594.0000000000078
2015.06.22,-19.999999999997797,65.00000000000395,17.000000000000348,-14.999999999998348,-49.99999999999449,-158.99999999999804,-35.00000000000725,-65.99999999999939,60.000000000002274,-200.99999999998454,94.99999999999886,-51.000000000001044,22.999999999995246,53.999999999998494,28.000000000005798,4.9999999999954525,-158.00000000000125,65.00000000000395,-42.999999999993044,,-385.9999999999708
2015.06.22,68.00000000000139,113.00000000000753,42.0000000000087,-77.00000000000485,-33.9999999999896,-197.00000000000273,17.000000000000348,-81.9999999999932,174.0000000000066,-168.99999999999693,305.9999999999832,-19.999999999997797,83.9999999999952,93.99999999999409,85.00000000000796,13.999999999995794,-152.00000000000102,85.99999999999719,-117.00000000001154,,235.00000000000028
2015.06.22,55.000000000005045,41.000000000002146,52.000000000007596,-87.99999999999919,-42.999999999993044,-214.99999999998744,9.999999999998899,-73.99999999999629,192.00000000000728,-195.9999999999962,269.00000000000546,-49.99999999999449,72.99999999998974,-17.000000000000348,100.00000000000853,52.99999999999727,-188.99999999999295,65.99999999999939,-147.00000000000824,,-107.9999999999469
2015.06.22,41.9999999999976,7.999999999985796,51.000000000001044,-87.00000000000374,-64.99999999999284,-262.999999999991,3.999999999992898,-46.00000000000159,203.00000000000296,-195.9999999999962,233.0000000000041,-140.99999999999113,11.00000000000545,-100.0000000000112,112.00000000000898,45.99999999999227,-198.99999999999807,79.00000000000685,-164.99999999999292,,-472.9999999999808
2015.06.22,97.9999999999981,58.99999999998684,114.99999999999844,-60.00000000000449,-70.99999999999883,-272.99999999998994,1.999999999990898,-60.99999999999994,200.9999999999934,-146.99999999998602,247.99999999999045,-99.00000000000463,42.999999999993044,-94.00000000001629,120.00000000000455,69.99999999999318,-191.99999999999307,69.00000000000794,-147.00000000000824,,-119.00000000004458
2015.06.22,56.0000000000005,19.999999999997797,92.00000000000318,-102.00000000000209,-80.99999999999774,-245.0000000000063,-9.00000000000345,-46.00000000000159,182.99999999999272,-134.99999999999625,205.99999999998886,-117.99999999999588,29.999999999996696,-110.00000000001009,109.00000000000887,46.999999999997044,-229.99999999998977,63.00000000000195,-192.99999999999872,,-463.0000000000143
2015.06.22,-61.999999999995396,-110.99999999999443,-22.999999999995246,-230.000000000008,-17.999999999995797,-191.99999999999218,-16.0000000000049,-31.999999999998696,268.0000000000007,-37.99999999998249,227.99999999998022,-168.99999999999693,127.99999999999478,-35.00000000000725,143.00000000000068,-13.00000000000523,-192.99999999999784,114.00000000000298,-222.00000000001108,,-473.00000000000614
2015.06.22,-58.000000000002494,-86.99999999999264,-14.999999999987246,-175.00000000000293,77.00000000000485,-168.99999999999693,52.99999999999194,-15.999999999993797,228.00000000000864,68.00000000000139,221.99999999998,-170.99999999998784,133.99999999998968,78.00000000000028,107.00000000001353,-4.9999999999954525,-90.99999999999397,158.0000000000026,-129.00000000000134,,209.00000000003823
2015.06.22,1.0000000000065512,-39.00000000001125,21.00000000000435,-173.00000000000094,47.00000000000814,-197.99999999998707,41.9999999999976,-32.999999999994145,189.99999999999773,41.000000000002146,207.9999999999984,-116.99999999998934,153.9999999999875,15.999999999993797,95.00000000001307,-30.000000000001137,-110.99999999999,143.00000000000423,-173.00000000000094,,84.00000000003874
2015.06.22,21.999999999999797,-69.00000000000794,-4.999999999988347,-158.99999999999804,44.0000000000107,-276.9999999999939,63.99999999999739,-29.000000000001247,64.99999999999773,-87.99999999999919,138.00000000000523,-144.99999999999514,62.99999999999084,-12.000000000012001,34.000000000006025,-28.000000000005798,-74.99999999998863,119.99999999999788,-134.00000000001188,,-470.9999999999966
2015.06.22,12.000000000000899,-90.00000000001229,-20.999999999982144,-134.0000000000008,42.0000000000087,-290.9999999999968,53.999999999998494,-29.000000000001247,22.00000000001978,-160.99999999998892,92.99999999998931,-130.99999999999224,4.999999999988347,-33.00000000001635,19.000000000005457,-39.00000000000148,-51.9999999999925,113.00000000000753,-97.9999999999981,,-718.9999999999643
2015.06.22,36.0000000000027,-97.00000000001374,-59.99999999999339,-170.99999999999892,57.00000000000705,-296.9999999999917,82.99999999999974,-20.999999999993246,63.0000000000166,-173.99999999998528,114.99999999998067,-110.99999999999443,-15.00000000000945,0.9999999999843467,17.000000000010118,-46.00000000000648,-54.99999999999261,124.00000000000189,-78.00000000000028,,-628.9999999999764
