date,GBPUSD,USDJPY,AUDUSD,EURCHF,GBPAUD,EURAUD,EURNZD,NZDJPY,empty,sum
2017.01.30,-173.00000000000094,-21.000000000000796,-37.99999999999359,-78.00000000000028,-173.00000000000094,-134.99999999999625,-234.00000000000088,-159.9999999999966,,-1011.9999999999903
2017.01.30,-152.99999999998093,24.00000000000091,-61.999999999995396,-2.0000000000131024,-113.99999999999189,43.999999999999595,-113.99999999999189,-149.99999999999147,,-526.9999999999641
2017.01.30,-191.99999999999218,-75.9999999999934,-47.9999999999925,17.999999999984695,-42.999999999993044,114.99999999999844,-42.0000000000087,-153.99999999999636,,-421.99999999999307
2017.01.30,130.0000000000079,-191.99999999999307,-20.999999999993246,2.999999999997449,377.9999999999894,140.99999999999113,-25.999999999992696,-21.99999999999136,,391.0000000000156
2017.01.30,92.00000000000318,-182.00000000000216,-19.999999999997797,8.999999999992347,421.0000000000047,265.99999999998846,78.00000000000028,13.00000000000523,,676.9999999999943
2017.01.30,39.00000000001125,-171.99999999999704,-9.999999999998899,36.999999999998145,319.0000000000026,268.0000000000016,181.00000000000892,58.000000000006935,,720.0000000000335
2017.01.30,76.0000000000094,-313.99999999999295,-52.99999999999194,50.99999999997884,279.00000000000705,358.9999999999982,221.99999999998886,95.00000000001307,,715.0000000000106
2017.01.30,97.00000000001374,-411.9999999999919,-51.99999999999649,79.99999999999119,286.99999999999284,356.00000000000074,232.99999999999432,165.00000000000625,,754.0000000000107
2017.01.30,113.00000000000753,-376.99999999999534,-31.999999999998696,95.999999999985,340.00000000000693,408.9999999999927,278.00000000000045,192.00000000000728,,1019.0000000000059
2017.01.30,66.00000000001049,-435.99999999999284,-39.999999999995595,93.99999999999409,323.0000000000066,397.99999999998727,273.9999999999965,197.00000000000273,,876.0000000000092
2017.01.30,26.999999999999247,-497.99999999999045,-9.999999999998899,92.99999999998754,319.999999999987,472.9999999999901,259.9999999999936,260.0000000000051,,924.9999999999733
2017.01.30,20.000000000020002,-447.9999999999933,20.0000000000089,84.99999999997954,333.9999999999899,486.999999999993,358.9999999999982,286.00000000000136,,1142.9999999999977
2017.01.30,-10.999999999983245,-384.00000000000034,-23.999999999990695,87.99999999999919,224.000000000002,414.00000000000324,340.9999999999913,221.00000000000364,,869.0000000000251
2017.01.30,-39.999999999995595,-310.99999999999284,7.0000000000014495,101.99999999997988,278.00000000000045,475.0000000000032,384.9999999999909,219.0000000000083,,1114.999999999996
2017.01.30,-56.99999999999594,-353.9999999999992,20.0000000000089,103.99999999999298,255.00000000000523,456.9999999999963,385.99999999999744,226.0000000000133,,1037.000000000019
2017.01.30,-87.99999999999919,-311.9999999999976,37.00000000000925,103.99999999999298,262.999999999991,453.99999999999886,476.9999999999941,273.00000000001035,,1207.9999999999998
2017.01.30,-131.99999999999878,-192.99999999999784,59.000000000009045,108.99999999998133,242.99999999999324,453.99999999999886,458.9999999999872,248.00000000000466,,1246.9999999999777
2017.01.30,-152.99999999998093,-245.9999999999951,39.00000000000014,76.99999999999375,167.00000000000603,391.9999999999924,361.9999999999957,225.00000000000853,,863.0000000000205
2017.01.30,-171.99999999999437,-182.00000000000216,58.000000000002494,51.99999999998539,158.99999999999804,365.99999999999966,313.99999999999204,179.00000000000205,,773.9999999999832
2017.01.30,-255.99999999998957,-84.99999999999375,59.000000000009045,-3.0000000000196536,56.99999999999594,139.00000000000023,296.0000000000074,179.00000000000205,,386.0000000000117
2017.01.30,-351.99999999999676,-70.99999999999795,60.00000000000449,-10.000000000021103,-7.0000000000014495,139.00000000000023,309.0000000000037,176.00000000000193,,243.99999999999312
2017.01.30,-674.9999999999811,34.000000000006025,84.0000000000063,-76.0000000000094,-449.9999999999948,141.99999999999767,221.99999999998886,151.00000000001046,,-567.9999999999761
2017.01.30,-674.9999999999811,-81.99999999999363,58.000000000002494,-123.00000000000644,-473.0000000000123,15.999999999993797,133.99999999998968,182.00000000000216,,-963.0000000000051
2017.01.30,-571.9999999999948,-128.99999999999068,-1.999999999990898,-114.0000000000141,-415.99999999999415,-31.000000000003247,65.99999999998829,197.00000000000273,,-1000.9999999999968
2017.01.30,-539.0000000000006,-119.99999999999034,19.00000000000235,-65.00000000000395,-322.00000000000006,2.999999999997449,28.000000000005798,188.0000000000024,,-807.9999999999868
2017.01.30,-461.99999999998465,-251.99999999999534,-18.999999999991246,-52.000000000007596,-312.00000000000114,-82.00000000000429,-49.99999999999449,177.0000000000067,,-1051.9999999999723
2017.01.30,-513.9999999999923,-179.00000000000205,-7.9999999999968985,-82.00000000000429,-313.00000000000773,-97.00000000001374,1.999999999990898,234.00000000000887,,-957.000000000017
2017.01.30,-671.9999999999837,-137.00000000000045,81.00000000000884,-99.00000000000463,-360.0000000000048,-261.0000000000001,-188.00000000001037,246.9999999999999,,-1388.9999999999955
2017.01.30,-867.9999999999799,-134.9999999999909,162.0000000000066,-255.00000000000523,-341.00000000001353,-475.0000000000032,-451.0000000000014,336.00000000001273,,-2026.999999999975
2017.01.30,-783.0000000000003,-176.00000000000193,162.0000000000066,-238.0000000000049,-387.000000000004,-544.0000000000111,-548.9999999999995,302.0000000000067,,-2213.0000000000086
2017.01.30,-776.9999999999833,-385.9999999999957,187.9999999999993,-251.00000000000122,-232.00000000000998,-605.0000000000111,-690.0000000000128,406.0000000000059,,-2347.0000000000086
2017.01.30,-613.9999999999812,-414.0000000000015,72.0000000000054,-291.00000000001904,-273.9999999999965,-631.0000000000038,-767.9999999999909,323.0000000000075,,-2596.99999999998
