date,GBPUSD,EURUSD,USDJPY,USDCAD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,NZDJPY,empty,sum
2021.06.07,-34.99999999998504,-41.000000000002146,137.99999999999102,-38.0000000000047,-41.000000000002146,-39.999999999995595,33.00000000000125,-180.99999999999784,-212.99999999999653,6.0000000000060005,152.9999999999916,-95.00000000000064,147.99999999999258,42.00000000000159,117.00000000001154,83.00000000001262,75.00000000000284,,111.00000000002646
2021.06.07,-31.000000000003247,-43.999999999999595,92.99999999998931,-28.000000000005798,21.999999999988695,-35.999999999991594,-64.99999999999773,-109.00000000000354,-197.00000000000273,28.000000000005798,57.999999999992724,-82.00000000000429,236.99999999999832,20.000000000010232,165.9999999999995,22.00000000000557,-103.9999999999992,,-50.000000000017536
2021.06.07,-73.99999999999629,-54.99999999998284,22.999999999996135,-93.00000000000975,-45.000000000006146,-36.999999999998145,-170.0000000000017,-197.00000000000273,-253.99999999999866,45.000000000006146,-85.00000000000796,-248.00000000000378,309.0000000000037,-56.99999999998795,222.99999999999542,-38.99999999998727,-243.99999999999977,,-997.9999999999816
2021.06.07,-38.99999999998904,-35.999999999991594,-12.000000000000455,-90.99999999999665,-26.999999999999247,-35.999999999991594,-192.99999999999784,-207.99999999999707,-253.0000000000032,56.0000000000005,-94.99999999999886,-197.00000000000273,280.9999999999979,-86.99999999998909,218.99999999999142,-68.9999999999884,-277.9999999999916,,-1064.9999999999475
2021.06.07,-69.9999999999923,-56.99999999999594,-11.00000000000989,-97.00000000001374,-52.000000000007596,-48.000000000003595,-203.99999999999352,-201.00000000000674,-251.99999999999667,52.000000000007596,-128.99999999999068,-243.99999999999977,323.0000000000066,-109.00000000000887,242.00000000000887,-65.99999999998829,-226.99999999998965,,-1149.9999999999743
2021.06.07,-106.00000000000608,-70.99999999999883,-42.00000000000159,-66.00000000001049,-95.00000000000064,-69.9999999999923,-227.99999999999443,-224.9999999999974,-285.00000000000193,36.999999999998145,-222.0000000000084,-249.00000000001032,309.0000000000037,-158.99999999999181,204.00000000000418,-115.99999999999966,-257.99999999999557,,-1642.0000000000032
2021.06.07,-146.00000000000168,-99.99999999998899,31.999999999996476,-73.00000000001194,-67.00000000001705,-43.999999999999595,-206.00000000000307,-185.00000000000182,-265.99999999999955,36.0000000000027,-153.99999999999636,-306.00000000000625,303.9999999999932,-99.99999999999432,195.00000000001182,-48.99999999999238,-223.99999999998954,,-1352.9999999999986
2021.06.07,-78.00000000000028,-78.00000000000028,0.999999999990564,-123.00000000000644,-60.99999999999994,-70.99999999999883,-185.00000000000227,-184.00000000000637,-253.99999999999866,64.0000000000085,-121.99999999998568,-296.0000000000074,334.9999999999964,-115.0000000000091,269.9999999999925,-35.99999999998715,-215.99999999999397,,-1149.0000000000082
2021.06.07,-15.999999999993797,-43.999999999999595,-27.000000000001023,-119.00000000000244,-36.999999999998145,-68.00000000000139,-185.00000000000227,-207.00000000000162,-261.99999999999557,77.00000000000485,-90.00000000000341,-212.99999999999653,279.00000000000705,-109.00000000000887,246.99999999999721,-61.99999999999761,-247.99999999999045,,-1083.9999999999836
2021.06.07,107.00000000001265,-17.000000000000348,0.0,-236.99999999999832,82.99999999998863,-42.0000000000087,-161.99999999999193,-131.00000000000333,-211.00000000000563,131.00000000000333,82.99999999999841,-229.99999999999687,239.00000000001143,-46.999999999997044,314.99999999999864,51.00000000000193,-159.9999999999966,,-227.9999999999839
