date,GBPUSD,AUDUSD,NZDCHF,EURNZD,CADJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2018.06.25,-201.00000000000674,-32.0000000000098,-75.00000000000284,0.0,-147.99999999999613,-129.0000000000049,-39.00000000000014,0.0,,-624.0000000000206
2018.06.25,-198.99999999999363,-25.00000000000835,-73.99999999999629,46.999999999997044,-128.99999999999068,-118.00000000000921,-36.0000000000027,39.00000000001125,,-494.9999999999926
2018.06.25,-219.99999999999798,-25.00000000000835,-70.99999999999883,112.000000000001,-115.99999999999966,-109.00000000000887,-53.999999999998494,21.00000000000435,,-462.00000000000693
2018.06.25,-195.9999999999962,-7.0000000000014495,-82.99999999999974,106.00000000000608,-98.99999999998954,-124.00000000000944,-53.00000000000304,-4.999999999988347,,-460.99999999998164
2018.06.25,-219.99999999999798,-41.000000000002146,-92.99999999999864,87.99999999999919,-85.99999999999852,-133.00000000000978,-102.00000000000209,-7.0000000000014495,,-594.0000000000114
2018.06.25,-198.99999999999363,-20.0000000000089,-53.999999999998494,110.99999999999443,-58.9999999999975,-100.99999999999909,-103.99999999999298,45.000000000006146,,-380.99999999999
2018.06.25,-143.99999999998857,-8.000000000008,-49.99999999999449,93.99999999999409,-54.99999999999261,-90.00000000000341,-109.99999999999899,-4.000000000004,,-366.99999999999596
2018.06.25,-119.99999999998678,74.99999999999174,-34.000000000000696,78.00000000000028,177.99999999999727,81.00000000000307,-44.99999999999504,-69.9999999999923,,143.00000000001754
2018.06.25,-117.99999999999588,98.99999999999353,8.000000000008,158.0000000000137,191.0000000000025,146.0000000000008,-9.00000000000345,-69.9999999999923,,405.00000000002683
2018.06.25,-131.99999999999878,79.99999999999119,46.999999999997044,201.00000000000674,274.0000000000009,265.00000000000057,-21.999999999999797,-21.00000000000435,,691.9999999999936
2018.06.25,-124.99999999999733,104.99999999999955,70.0000000000034,293.99999999999426,329.00000000000773,304.00000000000205,-36.999999999998145,48.000000000003595,,988.0000000000151
2018.06.25,-89.00000000000574,130.99999999999224,70.0000000000034,303.9999999999932,341.0000000000082,319.9999999999932,-9.00000000000345,53.999999999998494,,1121.9999999999795
2018.06.25,-85.99999999998609,153.99999999999858,85.00000000000173,353.0000000000033,349.00000000000375,359.99999999999943,-3.999999999992898,41.000000000002146,,1252.0000000000298
2018.06.25,-146.00000000000168,124.99999999999733,70.99999999999883,312.00000000000114,283.00000000000125,283.00000000000125,-9.00000000000345,58.000000000002494,,976.9999999999972
2018.06.25,-150.99999999999002,131.99999999999878,85.99999999999719,337.99999999999386,320.0000000000074,317.99999999999784,7.0000000000014495,43.999999999999595,,1094.000000000006
2018.06.25,-146.00000000000168,141.99999999999767,126.0000000000039,361.9999999999957,350.9999999999991,363.9999999999901,13.00000000000745,79.00000000000685,,1290.999999999999
2018.06.25,-153.00000000000313,111.99999999998988,104.00000000000409,275.000000000003,359.00000000000887,347.999999999999,-17.999999999995797,11.999999999989797,,1038.9999999999957
2018.06.25,-72.0000000000054,191.99999999999218,109.99999999999899,269.9999999999925,425.00000000001137,432.9999999999927,41.9999999999976,-5.999999999994898,,1393.9999999999848
2018.06.25,-80.99999999999774,121.99999999999989,70.99999999999883,273.0000000000121,311.00000000000705,356.9999999999993,-17.000000000000348,76.0000000000094,,1112.0000000000284
2018.06.25,-52.000000000007596,120.99999999999334,75.00000000000284,224.000000000002,337.0000000000033,367.999999999995,-46.00000000000159,110.99999999999443,,1137.9999999999818
2018.06.25,72.0000000000054,115.99999999999389,70.0000000000034,49.00000000001015,422.00000000001125,384.9999999999909,-95.00000000000064,69.9999999999923,,1089.0000000000066
2018.06.25,19.999999999997797,49.99999999999449,14.000000000002899,-9.999999999998899,287.00000000000614,308.9999999999975,-102.99999999999754,89.99999999999008,,656.9999999999926
2018.06.25,-178.99999999999582,11.999999999989797,4.999999999999449,68.00000000000139,177.99999999999727,191.0000000000025,-63.00000000000195,55.000000000005045,,266.9999999999977
2018.06.25,-116.99999999998934,42.999999999993044,38.0000000000047,245.0000000000063,282.0000000000107,246.9999999999999,-36.999999999998145,35.999999999991594,,737.0000000000186
2018.06.25,21.00000000000435,112.99999999999643,129.00000000000134,344.00000000001097,310.0000000000023,381.0000000000002,36.999999999998145,96.00000000000719,,1431.0000000000211
2018.06.25,83.9999999999952,116.99999999998934,97.00000000000264,347.9999999999928,274.0000000000009,384.00000000000034,38.0000000000047,113.00000000000753,,1454.9999999999936
2018.06.25,48.000000000003595,129.9999999999968,97.00000000000264,312.00000000000114,304.00000000000205,366.9999999999902,-60.99999999999994,103.00000000000864,,1300.000000000005
2018.06.25,-73.99999999999629,157.99999999999147,78.00000000000028,356.00000000000074,436.9999999999976,371.9999999999999,-102.99999999999754,100.99999999999554,,1324.9999999999916
2018.06.25,-190.00000000000128,92.99999999999864,84.0000000000063,428.00000000000614,279.0000000000106,265.99999999999113,-136.00000000000279,66.99999999999484,,891.0000000000035
2018.06.25,-340.00000000000693,101.99999999999099,87.00000000000374,791.0000000000084,288.0000000000109,299.99999999999716,-48.000000000003595,78.00000000000028,,1258.0000000000007
2018.06.25,-401.99999999999125,56.99999999999594,109.99999999999899,851.0000000000017,231.99999999999932,268.0000000000007,-73.00000000000084,137.00000000000932,,1180.0000000000139
2018.06.25,-380.00000000000256,88.99999999999464,140.0000000000068,869.0000000000086,188.0000000000024,268.99999999999125,7.0000000000014495,68.00000000000139,,1250.0000000000039
2018.06.25,-329.00000000000153,170.99999999999892,150.00000000000568,929.000000000002,216.00000000000819,326.9999999999982,60.99999999999994,89.99999999999008,,1615.0000000000014
