date,USDCHF,EURUSD,NZDUSD,GBPCHF,EURCHF,EURGBP,GBPJPY,empty,sum
2015.01.26,-15.00000000000945,-66.00000000001049,0.0,-129.00000000000134,-51.000000000001044,-0.999999999995449,-169.9999999999875,,-432.00000000000523
2015.01.26,28.999999999990145,7.999999999985796,148.0000000000037,-58.000000000002494,-83.9999999999952,23.00000000000635,56.000000000011596,,121.9999999999999
2015.01.26,-12.000000000000899,8.999999999992347,116.00000000000499,-147.00000000000824,-0.999999999995449,75.9999999999983,-359.9999999999852,,-318.9999999999942
2015.01.26,-8.000000000008,68.00000000000139,204.99999999999963,-121.99999999999989,48.000000000003595,41.000000000002146,-632.000000000005,,-400.00000000000614
2015.01.26,-176.0000000000095,-512.0000000000014,38.0000000000047,-346.0000000000019,-182.99999999999983,-209.00000000000364,-383.99999999998613,,-1771.9999999999977
2015.01.26,-250.00000000000577,-339.0000000000004,46.00000000000159,-405.9999999999952,-26.000000000003798,-126.0000000000039,46.999999999997044,,-1054.0000000000105
2015.01.26,-341.0000000000024,-402.9999999999978,-42.999999999993044,-590.0000000000016,95.99999999999609,-219.00000000000253,-7.000000000005002,,-1507.0000000000064
2015.01.26,-330.0000000000081,-296.0000000000074,-34.000000000000696,-605.0000000000111,97.9999999999981,-143.00000000000423,145.99999999998658,,-1164.0000000000468
2015.01.26,-332.00000000001006,-238.0000000000049,-25.999999999992696,-594.0000000000057,168.00000000000148,-117.00000000000044,157.0000000000107,,-982.0000000000016
2015.01.26,-204.99999999999963,-217.0000000000005,-32.999999999994145,-405.0000000000109,-192.99999999999872,-107.00000000000153,-102.00000000000387,,-1262.0000000000093
2015.01.26,-68.00000000000139,-214.00000000000307,7.0000000000014495,-255.99999999998957,-119.99999999999788,-132.99999999999423,-194.99999999999318,,-978.9999999999777
2015.01.26,-82.99999999999974,-280.0000000000136,-31.999999999998696,-269.9999999999925,-170.99999999999892,-178.99999999999582,-126.00000000000477,,-1141.000000000004
2015.01.26,-121.99999999999989,-326.0000000000041,41.000000000002146,-312.00000000000114,-138.00000000000477,-195.9999999999962,-146.99999999999136,,-1199.9999999999952
2015.01.26,-82.99999999999974,-277.00000000001614,126.0000000000039,-262.00000000000665,-144.99999999999514,-161.99999999999548,-120.00000000000455,,-923.0000000000138
2015.01.26,-164.00000000000858,-375.0000000000142,51.000000000001044,-344.99999999999534,-136.99999999999824,-210.99999999999451,4.9999999999954525,,-1176.0000000000143
2015.01.26,-215.00000000000963,-448.000000000004,16.0000000000049,-364.9999999999931,-192.00000000000327,-221.99999999999997,28.999999999996362,,-1397.0000000000086
2015.01.26,-87.00000000000374,-483.0000000000112,60.00000000000449,-171.99999999999437,-346.0000000000019,-239.0000000000003,126.00000000000477,,-1141.000000000002
2015.01.26,-31.000000000003247,-682.0000000000048,-68.00000000000139,-52.000000000007596,-570.9999999999993,-331.999999999999,503.0000000000143,,-1233.0000000000011
2015.01.26,-9.00000000000345,-775.9999999999989,-53.999999999998494,-1.0000000000065512,-568.0000000000018,-414.9999999999987,718.9999999999941,,-1104.0000000000136
2015.01.26,-306.00000000000625,-927.0000000000111,-90.99999999999665,-258.0000000000027,-407.0000000000018,-417.99999999999613,822.0000000000027,,-1585.0000000000118
2015.01.26,-291.0000000000079,-996.0000000000191,-213.99999999999199,-194.99999999998963,-1166.999999999996,-526.9999999999997,1040.9999999999968,,-2349.0000000000073
