date,CHFJPY,GBPJPY,EURJPY,CADJPY,empty,sum
2016.05.09,1.9999999999953388,-114.00000000000432,-67.99999999999784,-129.99999999999545,,-310.0000000000023
2016.05.09,-81.00000000000307,-240.0000000000091,-182.00000000000216,-237.99999999999955,,-741.0000000000139
2016.05.09,-147.00000000000557,-289.0000000000157,-188.0000000000024,-310.99999999999284,,-935.0000000000165
2016.05.09,-173.00000000000182,-418.00000000000637,-227.00000000000387,-329.9999999999983,,-1148.0000000000105
2016.05.09,-293.00000000000637,-598.0000000000132,-344.99999999999886,-399.9999999999915,,-1636.00000000001
2016.05.09,-240.0000000000091,-522.9999999999961,-225.9999999999991,-369.99999999999034,,-1358.9999999999945
2016.05.09,-393.0000000000007,-737.9999999999995,-442.99999999999784,-491.9999999999902,,-2065.999999999988
2016.05.09,-314.00000000000716,-579.0000000000077,-325.00000000000284,-399.9999999999915,,-1618.000000000009
2016.05.09,-326.9999999999982,-587.9999999999939,-409.9999999999966,-417.99999999999216,,-1742.999999999981
2016.05.09,-253.0000000000001,-405.00000000000114,-313.0000000000024,-331.99999999999363,,-1302.9999999999973
2016.05.09,-263.00000000000523,-401.00000000001046,-316.99999999999307,-303.99999999998784,,-1284.9999999999966
2016.05.09,-246.00000000000932,-385.9999999999957,-275.0000000000057,-318.9999999999884,,-1225.999999999999
2016.05.09,-253.0000000000001,-477.00000000000387,-308.9999999999975,-365.99999999999966,,-1405.000000000001
2016.05.09,-284.000000000006,-486.99999999999477,-346.9999999999942,-333.999999999989,,-1451.999999999984
2016.05.09,-353.00000000000864,-491.9999999999902,-396.0000000000008,-368.9999999999998,,-1609.9999999999993
2016.05.09,-501.0000000000048,-723.0000000000132,-542.0000000000016,-476.99999999998965,,-2243.000000000009
2016.05.09,-572.0000000000027,-830.0000000000125,-644.0000000000055,-563.999999999993,,-2610.0000000000136
2016.05.09,-567.0000000000073,-802.9999999999973,-597.999999999999,-573.9999999999981,,-2542.000000000002
2016.05.09,-650.0000000000057,-1003.0000000000143,-637.0000000000005,-634.9999999999909,,-2925.0000000000114
2016.05.09,-765.0000000000006,-719.9999999999989,-796.999999999997,-608.9999999999947,,-2890.999999999991
2016.05.09,-640.0000000000006,-144.00000000000546,-421.0000000000065,-313.99999999999295,,-1519.0000000000055
2016.05.09,-850.0000000000085,-531.0000000000059,-644.0000000000055,-506.0000000000002,,-2531.00000000002
2016.05.09,-981.0000000000088,-1020.0000000000102,-712.9999999999939,-608.9999999999947,,-3323.0000000000073
2016.05.09,-1177.0000000000068,-1323.0000000000075,-884.0000000000003,-753.0000000000001,,-4137.0000000000155
2016.05.09,-1142.00000000001,-1423.0000000000018,-888.0000000000052,-803.9999999999878,,-4257.0000000000055
2016.05.09,-1227.0000000000039,-1808.9999999999975,-1019.0000000000055,-908.0000000000013,,-4963.000000000008
2016.05.09,-1254.000000000005,-1718.999999999994,-984.9999999999994,-928.9999999999878,,-4886.999999999986
2016.05.09,-1297.0000000000114,-1641.999999999996,-1000.0,-943.9999999999884,,-4882.999999999995
2016.05.09,-1498.0000000000045,-1966.0000000000082,-1317.9999999999977,-1106.9999999999993,,-5889.00000000001
2016.05.09,-1487.9999999999995,-1793.0000000000064,-1281.9999999999964,-955.9999999999889,,-5518.999999999991
2016.05.09,-1545.0000000000018,-1908.0000000000155,-1412.9999999999968,-915.9999999999968,,-5782.000000000011
2016.05.09,-1622.0,-1847.0000000000084,-1487.9999999999995,-845.9999999999894,,-5802.999999999996
2016.05.09,-1647.0000000000055,-1887.0000000000005,-1462.9999999999939,-841.9999999999987,,-5838.999999999999
