date,GBPUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2015.07.27,11.00000000000545,45.000000000006146,7.0000000000014495,-34.000000000000696,60.99999999999994,21.999999999999797,-31.999999999998696,-12.999999999996348,-70.99999999999795,104.99999999997733,10.000000000021103,74.0000000000185,31.999999999987594,-30.999999999981043,27.999999999991587,22.00000000000557,-30.000000000001137,-107.99999999999699,-31.000000000003247,,67.0000000000384
2015.07.27,22.999999999995246,39.00000000001125,-11.00000000000545,-31.999999999998696,41.000000000002146,41.9999999999976,-38.0000000000047,-26.999999999999247,-88.99999999999864,99.99999999998899,-55.000000000005045,55.000000000005045,-21.00000000000435,-87.99999999999919,57.999999999992724,10.000000000005116,-19.99999999999602,-107.99999999999699,15.999999999993797,,-105.0000000000164
2015.07.27,-51.000000000001044,63.000000000013046,-56.0000000000005,-87.99999999999919,90.99999999999665,41.000000000002146,-69.00000000000794,-124.00000000000189,116.99999999999022,226.00000000001506,-38.99999999998904,117.00000000001154,-26.999999999999247,-129.99999999998568,-32.00000000001069,-96.00000000000364,-140.00000000000057,-181.9999999999933,-42.999999999993044,,-421.99999999995714
2015.07.27,-62.000000000006494,49.00000000001015,-73.00000000000084,-107.99999999999699,42.0000000000087,29.000000000001247,-92.00000000000318,-146.00000000000168,163.0000000000109,222.99999999999542,-89.99999999996788,35.00000000000725,-141.00000000001333,-248.99999999998812,-62.00000000001182,-134.00000000000034,-175.99999999998772,-201.99999999999108,-39.999999999995595,,-1033.9999999999316
2015.07.27,-124.99999999999733,36.999999999998145,-112.000000000001,-114.99999999999844,34.000000000000696,9.999999999998899,-136.00000000000279,-161.99999999999548,205.0000000000125,279.00000000000705,-100.99999999999554,-12.999999999996348,-243.00000000001543,-304.9999999999997,-54.000000000002046,-165.00000000000625,-175.99999999998772,-203.99999999999307,-4.000000000004,,-1349.9999999999782
2015.07.27,-121.00000000001555,45.000000000006146,-40.00000000000669,-107.00000000000153,36.0000000000138,12.000000000000899,-74.00000000000739,-160.00000000000458,137.00000000000045,288.99999999998374,110.00000000001009,-2.999999999997449,-102.00000000000209,-270.99999999999903,-17.000000000010118,-48.00000000000182,-134.9999999999909,-197.99999999999818,-87.99999999999919,,-735.0000000000194
2015.07.27,-126.0000000000039,48.000000000003595,-31.000000000003247,-63.00000000000195,39.999999999995595,49.99999999999449,-28.000000000005798,-85.99999999999719,22.999999999996135,303.9999999999932,141.99999999999767,78.00000000000028,0.9999999999843467,-75.99999999998718,45.000000000001705,22.00000000000557,-27.999999999991587,-146.99999999999713,-32.0000000000098,,135.99999999997476
2015.07.27,-150.00000000000568,-4.000000000004,-90.0000000000012,-136.99999999999824,22.999999999995246,98.99999999999353,-19.00000000000235,-89.00000000000574,-10.99999999999568,251.00000000000122,2.0000000000131024,155.00000000001623,21.999999999988695,-100.99999999999554,37.9999999999967,-22.999999999996135,-94.99999999999886,-207.99999999999707,-66.00000000001049,,-403.00000000000625
2015.07.27,-175.99999999999838,-5.999999999994898,-156.00000000000057,-280.00000000000244,1.0000000000065512,120.99999999999334,-53.999999999998494,-204.99999999999963,45.99999999999227,282.9999999999888,-164.99999999997073,161.00000000001114,-113.00000000000753,-461.0000000000003,22.999999999996135,-117.00000000000443,-283.9999999999918,-378.00000000000057,-204.99999999998852,,-1964.99999999997
2015.07.27,-204.00000000000418,-11.00000000000545,-170.99999999999892,-245.0000000000063,69.9999999999923,102.00000000000209,-81.00000000000884,-190.99999999999673,86.00000000001273,304.9999999999997,-163.00000000000205,216.00000000001617,-70.99999999999883,-299.99999999998914,16.999999999995907,-138.00000000000523,-242.999999999995,-341.99999999999784,-129.00000000000134,,-1492.999999999991
2015.07.27,-177.00000000000495,-93.99999999999409,-211.00000000000563,-285.00000000000193,137.9999999999937,64.99999999999284,-109.99999999999899,-216.0000000000051,-139.00000000001,144.0000000000108,-319.99999999996476,234.00000000000088,-46.999999999997044,-274.9999999999808,51.00000000000193,-96.9999999999942,-208.99999999998897,-337.99999999999386,-131.99999999999878,,-2017.999999999939
2015.07.27,-195.9999999999962,-113.99999999999189,-270.99999999999903,-317.0000000000006,114.99999999999844,119.00000000000244,-113.00000000000753,-190.99999999999673,-211.9999999999891,140.99999999999113,-463.99999999997556,309.0000000000037,-69.00000000000794,-241.99999999998667,86.99999999998909,-125.0,-204.9999999999983,-368.00000000000165,-89.00000000000574,,-2204.9999999999723
