date,USDCHF,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURAUD,EURNZD,AUDJPY,AUDCAD,NZDCAD,empty,sum
2021.10.11,-117.99999999999588,-114.00000000000432,0.0,-57.00000000000705,-232.99999999999432,-7.0000000000014495,0.0,-124.00000000000189,-130.0000000000079,0.0,-41.000000000002146,-139.9999999999846,-29.999999999996696,-90.00000000001229,-73.99999999999807,-44.99999999999504,-141.99999999999767,,-1344.9999999999995
2021.10.11,-73.99999999999629,-146.0000000000008,7.0000000000014495,-40.00000000000669,-154.99999999999403,35.00000000000725,153.99999999999636,-117.99999999999588,30.999999999992145,74.00000000000739,-14.000000000002899,-45.99999999999049,48.99999999998794,-9.000000000014552,-87.0000000000033,-34.000000000000696,-31.000000000003247,,-404.0000000000163
2021.10.11,-134.99999999999625,-213.00000000000807,-44.99999999999504,-87.99999999999919,-211.99999999998997,34.000000000000696,253.0000000000001,-163.00000000000205,30.999999999992145,72.0000000000054,-23.00000000001745,-2.999999999997449,-7.0000000000014495,-124.99999999999733,-150.00000000000568,-29.000000000001247,-29.000000000001247,,-832.0000000000141
2021.10.11,-140.99999999999113,-222.0000000000084,-0.999999999995449,-50.0000000000056,-194.99999999998963,83.00000000001084,286.00000000000136,-161.99999999999548,58.99999999999794,117.00000000000044,39.999999999995595,74.0000000000185,78.00000000000028,43.999999999999595,-144.00000000000546,-66.99999999999484,-41.9999999999976,,-242.99999999995902
2021.10.11,-141.99999999999767,-189.00000000000716,33.000000000005244,-43.999999999999595,-201.00000000000674,70.0000000000145,268.99999999999125,-163.99999999999747,62.99999999999084,119.00000000000244,79.99999999999119,203.00000000001984,170.00000000000347,48.000000000003595,-82.99999999999841,-7.9999999999968985,7.9999999999968985,,232.00000000001535
2021.10.11,-179.99999999999127,-208.00000000001262,92.00000000000318,-52.000000000007596,-245.0000000000063,85.00000000000173,199.99999999998863,-169.99999999999238,110.99999999999443,104.00000000000409,94.99999999997843,328.00000000001717,256.99999999999613,12.999999999996348,-40.99999999999682,46.999999999997044,58.000000000002494,,493.9999999999727
2021.10.11,-175.99999999999838,-187.00000000001182,-24.999999999997247,-189.00000000000583,-297.9999999999983,56.000000000011596,219.99999999999886,-159.9999999999935,129.9999999999968,60.99999999999994,198.99999999999363,290.00000000001245,124.99999999999733,-173.00000000000094,-102.00000000000387,-29.999999999996696,104.99999999999955,,-153.99999999999648
2021.10.11,-139.99999999999568,-201.00000000000762,-115.99999999999389,-243.99999999999977,-404.0000000000044,96.00000000000719,268.0000000000007,-217.99999999999596,211.99999999998997,33.000000000005244,216.99999999997831,120.00000000000898,-72.0000000000054,-319.0000000000026,-256.0000000000002,-119.99999999999788,154.99999999999403,,-989.0000000000191
2021.10.11,-164.99999999999292,-268.0000000000007,-170.99999999999892,-257.0000000000072,-479.99999999999153,151.9999999999966,303.99999999998784,-256.99999999999613,266.999999999995,0.0,224.99999999998633,76.0000000000094,-170.00000000000347,-310.0000000000103,-365.99999999999966,-156.00000000000057,186.99999999999272,,-1389.0000000000337
2021.10.11,-161.99999999999548,-307.00000000000216,-229.00000000000142,-300.0000000000003,-551.9999999999969,161.00000000001114,348.99999999998954,-308.9999999999926,286.99999999999284,-41.9999999999976,203.99999999998198,-52.99999999999194,-276.00000000000955,-406.00000000001745,-448.0000000000075,-176.99999999999383,175.00000000000293,,-2085.000000000028
2021.10.11,-215.99999999999397,-353.00000000000864,-217.99999999999596,-243.99999999999977,-548.9999999999995,161.00000000001114,347.999999999999,-297.00000000000284,285.9999999999974,-27.999999999994696,222.99999999999542,-59.99999999999339,-320.9999999999935,-329.00000000000153,-483.0000000000041,-217.0000000000005,173.9999999999964,,-2122.9999999999895
