date,GBPUSD,AUDUSD,NZDUSD,CHFJPY,AUDCHF,NZDCHF,EURNZD,AUDJPY,NZDJPY,empty,sum
2021.03.01,-113.99999999999189,-38.0000000000047,-42.0000000000087,-290.9999999999968,-89.00000000000574,-77.00000000000485,-68.99999999998573,-91.99999999999875,-63.99999999999295,,-875.9999999999901
2021.03.01,-163.00000000000205,-121.00000000000443,-50.0000000000056,-302.99999999999727,-143.00000000000423,-73.00000000000084,28.000000000005798,-186.00000000000705,-99.99999999999432,,-1111.00000000001
2021.03.01,-367.99999999999056,-387.000000000004,-304.9999999999997,-385.0000000000051,-355.0000000000053,-275.000000000003,-286.99999999999284,-487.000000000009,-375.0,,-3224.0000000000095
2021.03.01,-513.9999999999923,-497.99999999999847,-422.00000000000017,-379.99999999999545,-439.0000000000005,-363.0000000000022,-489.99999999999045,-558.9999999999975,-447.00000000000273,,-4111.99999999998
2021.03.01,-567.9999999999907,-483.0000000000001,-472.00000000000574,-368.9999999999998,-422.00000000000017,-402.9999999999978,-550.9999999999903,-540.0000000000063,-510.9999999999957,,-4318.999999999986
2021.03.01,-649.999999999995,-484.00000000000665,-428.00000000000614,-350.9999999999991,-404.0000000000044,-365.99999999999966,-396.9999999999807,-478.00000000000864,-444.9999999999932,,-4002.9999999999936
2021.03.01,-706.999999999991,-631.9999999999992,-526.9999999999997,-439.9999999999977,-572.0000000000058,-472.00000000000574,-676.9999999999943,-727.0000000000039,-596.0000000000036,,-5350.000000000001
2021.03.01,-651.0000000000016,-548.9999999999995,-490.00000000000153,-433.00000000000693,-516.0000000000053,-439.99999999999596,-617.0000000000009,-703.000000000003,-593.0000000000035,,-4992.000000000018
2021.03.01,-641.0000000000027,-492.999999999999,-443.0000000000045,-432.00000000000216,-514.9999999999987,-461.99999999999574,-678.9999999999852,-689.9999999999977,-609.9999999999994,,-4964.9999999999845
2021.03.01,-673.9999999999968,-548.0000000000041,-518.0000000000074,-447.9999999999933,-553.999999999999,-519.0000000000028,-803.9999999999825,-753.0000000000001,-685.9999999999928,,-5503.999999999978
2021.03.01,-625.9999999999932,-523.0000000000068,-452.00000000000796,-450.9999999999934,-496.00000000000756,-446.00000000000193,-659.999999999994,-682.0000000000022,-594.9999999999989,,-4931.000000000006
2021.03.01,-605.9999999999955,-494.00000000000557,-456.00000000000085,-442.0000000000073,-470.9999999999992,-434.000000000001,-663.999999999998,-647.0000000000056,-552.9999999999973,,-4767.00000000001
2021.03.01,-583.9999999999845,-463.0000000000023,-445.0000000000065,-341.99999999999875,-457.0000000000074,-429.0000000000016,-669.9999999999928,-567.0000000000073,-522.0000000000056,,-4479.000000000006
