date,GBPUSD,AUDUSD,NZDUSD,CHFJPY,AUDCHF,NZDCHF,EURNZD,AUDJPY,NZDJPY,empty,sum
2021.03.01,-72.99999999998974,-24.999999999997247,-17.000000000000348,-251.00000000000477,-39.00000000000014,9.999999999998899,113.00000000000753,-61.99999999999761,-61.99999999999761,,-405.999999999981
2021.03.01,-78.99999999998464,-102.00000000000209,-46.00000000000159,-266.00000000000534,-124.00000000000189,-58.99999999999794,63.000000000013046,-167.0000000000016,-81.00000000000307,,-860.9999999999851
2021.03.01,-348.9999999999993,-370.9999999999991,-301.0000000000068,-385.0000000000051,-341.0000000000024,-270.0000000000036,-280.9999999999979,-471.00000000000364,-373.9999999999952,,-3143.0000000000127
2021.03.01,-451.99999999998573,-434.9999999999965,-358.0000000000028,-355.000000000004,-362.00000000000676,-282.99999999999994,-351.99999999999676,-478.00000000000864,-371.9999999999999,,-3447.0000000000014
2021.03.01,-541.9999999999981,-409.0000000000038,-342.000000000009,-275.0000000000057,-362.00000000000676,-292.00000000000335,-278.9999999999848,-417.0000000000016,-328.00000000000296,,-3246.0000000000164
2021.03.01,-593.9999999999834,-378.00000000000057,-383.0,-337.99999999999386,-331.999999999999,-326.0000000000041,-379.99999999998033,-423.0000000000018,-406.9999999999965,,-3560.9999999999595
2021.03.01,-613.9999999999812,-526.9999999999997,-420.00000000000927,-424.99999999999716,-500.00000000000045,-390.0000000000015,-501.9999999999802,-685.0000000000023,-542.9999999999922,,-4605.999999999964
2021.03.01,-567.9999999999907,-402.00000000000233,-393.00000000001,-394.999999999996,-409.99999999999926,-389.000000000006,-515.9999999999832,-557.0000000000022,-521.0000000000008,,-4150.99999999999
2021.03.01,-600.9999999999849,-456.9999999999963,-439.0000000000005,-402.000000000001,-487.99999999999955,-461.0000000000003,-678.0000000000008,-655.0000000000011,-596.9999999999942,,-4777.999999999979
2021.03.01,-604.9999999999889,-465.9999999999998,-448.000000000004,-408.00000000000125,-465.9999999999998,-443.0000000000045,-649.999999999995,-632.000000000005,-591.9999999999987,,-4709.999999999997
2021.03.01,-591.9999999999925,-490.00000000000153,-419.00000000000273,-435.0000000000023,-463.0000000000023,-389.000000000006,-569.9999999999816,-644.999999999996,-545.9999999999923,,-4548.999999999977
2021.03.01,-578.9999999999961,-448.9999999999994,-426.00000000000415,-337.99999999999386,-441.0000000000025,-411.0000000000058,-618.9999999999918,-554.000000000002,-507.000000000005,,-4324.0
2021.03.01,-408.9999999999927,-319.99999999999807,-304.9999999999997,-290.00000000000625,-358.0000000000028,-331.999999999999,-420.9999999999825,-421.99999999999704,-387.00000000000045,,-3243.9999999999786
2021.03.01,-390.9999999999858,-329.999999999997,-317.0000000000006,-206.00000000000307,-384.00000000000654,-360.0000000000048,-438.9999999999894,-391.9999999999959,-361.99999999999477,,-3180.999999999978
2021.03.01,-480.99999999999807,-379.0000000000071,-358.0000000000028,-216.99999999999875,-430.00000000000813,-397.0000000000029,-510.99999999999477,-451.9999999999982,-411.00000000000136,,-3636.0000000000123
2021.03.01,-548.9999999999995,-453.0000000000034,-398.00000000000944,-266.9999999999959,-465.9999999999998,-406.00000000000637,-520.9999999999936,-531.9999999999965,-454.9999999999983,,-4047.0000000000027
2021.03.01,-532.9999999999835,-414.9999999999987,-389.000000000006,-323.99999999999807,-424.00000000000216,-390.99999999999693,-481.99999999998244,-519.999999999996,-474.00000000000375,,-3951.9999999999673
2021.03.01,-647.9999999999819,-509.9999999999993,-472.00000000000574,-320.0000000000074,-499.000000000005,-453.99999999999886,-614.9999999999877,-608.0000000000041,-548.0000000000018,,-4673.999999999992
2021.03.01,-625.9999999999932,-599.0000000000051,-545.0000000000066,-320.99999999999795,-592.9999999999991,-536.0000000000032,-778.9999999999964,-721.0000000000036,-641.9999999999959,,-5362.000000000002
2021.03.01,-348.9999999999993,-443.0000000000045,-396.00000000000745,-177.99999999999727,-560.0000000000049,-500.00000000000045,-634.9999999999856,-579.9999999999983,-507.000000000005,,-4148.000000000003
2021.03.01,-192.99999999999872,-380.999999999998,-308.00000000000824,-84.00000000000318,-553.0000000000035,-465.9999999999998,-669.9999999999928,-501.0000000000048,-400.99999999999625,,-3557.0000000000055
2021.03.01,-210.99999999998343,-390.0000000000015,-279.00000000000705,-179.00000000000205,-558.9999999999984,-439.0000000000005,-658.9999999999874,-578.000000000003,-433.9999999999975,,-3727.999999999981
2021.03.01,-105.99999999998388,-263.99999999999756,-107.00000000000153,-156.0000000000059,-479.0000000000072,-316.0000000000052,-495.99999999998533,-469.0000000000083,-274.0000000000009,,-2666.999999999996
2021.03.01,-176.99999999998272,-224.9999999999974,-21.00000000000435,-73.99999999999807,-508.00000000000847,-295.99999999999625,-295.99999999998516,-442.99999999999784,-194.99999999999318,,-2234.9999999999636
2021.03.01,-178.99999999999582,-253.0000000000032,10.999999999994348,75.00000000000284,-614.0000000000034,-341.99999999999784,-180.99999999998673,-463.0000000000081,-150.99999999999625,,-2096.9999999999945
2021.03.01,-262.999999999991,-275.000000000003,-10.000000000010001,245.9999999999951,-726.0000000000044,-448.000000000004,-193.99999999998306,-472.0000000000084,-164.00000000000148,,-2306.0000000000105
2021.03.01,-375.9999999999986,-194.0000000000053,28.999999999990145,171.00000000000648,-614.0000000000034,-375.9999999999986,-92.99999999998754,-394.00000000000546,-129.0000000000049,,-1976.0000000000073
2021.03.01,-112.000000000001,-194.0000000000053,44.99999999999504,84.00000000000318,-563.0000000000024,-314.0000000000032,-75.99999999998718,-397.00000000000557,-114.99999999999488,,-1642.0000000000014
2021.03.01,-176.99999999998272,-178.00000000000037,41.9999999999976,109.99999999999943,-573.0000000000013,-338.00000000000495,-76.99999999999375,-390.00000000000057,-125.0,,-1705.9999999999864
2021.03.01,9.000000000014552,-246.99999999999721,-31.000000000003247,248.00000000000466,-740.0000000000073,-500.00000000000045,-228.99999999999034,-486.0000000000042,-224.00000000000375,,-2199.9999999999873
2021.03.01,180.0000000000024,-218.00000000000708,-26.000000000003798,299.0000000000066,-731.0000000000039,-514.9999999999987,-279.99999999999136,-436.9999999999976,-203.99999999999352,,-1931.9999999999873
2021.03.01,-89.99999999999008,-380.999999999998,-246.00000000000176,346.00000000000364,-851.0000000000017,-689.0000000000063,-617.0000000000009,-546.0000000000065,-379.99999999999545,,-3453.999999999997
2021.03.01,-66.99999999999484,-451.0000000000014,-229.00000000000142,272.99999999999613,-847.0000000000089,-609.000000000004,-542.9999999999824,-593.0000000000035,-334.0000000000032,,-3400.0000000000036
2021.03.01,107.00000000001265,-436.9999999999985,-302.0000000000023,433.9999999999975,-943.000000000005,-777.0000000000055,-917.9999999999966,-596.0000000000036,-427.99999999999727,,-3859.9999999999986
2021.03.01,22.0000000000109,-572.0000000000058,-367.0000000000062,519.999999999996,-1090.000000000002,-860.0000000000052,-1057.9999999999811,-704.0000000000077,-460.9999999999985,,-4570.0
2021.03.01,-78.00000000000028,-734.9999999999968,-423.0000000000067,284.000000000006,-1136.999999999999,-817.9999999999965,-1059.9999999999943,-929.000000000002,-569.9999999999932,,-5465.999999999982
2021.03.01,-177.99999999998929,-672.0000000000059,-378.00000000000057,260.0000000000051,-1049.0,-744.9999999999957,-874.9999999999814,-843.0000000000035,-501.99999999999534,,-4981.999999999966
2021.03.01,-87.99999999999919,-661.0000000000005,-377.0000000000051,257.99999999999557,-1078.0000000000011,-783.0000000000003,-900.9999999999962,-876.0000000000048,-545.9999999999923,,-5052.000000000004
2021.03.01,-109.99999999998789,-692.9999999999992,-377.0000000000051,224.99999999999432,-1107.0000000000025,-782.0000000000049,-881.9999999999828,-933.0000000000069,-569.0000000000026,,-5227.999999999998
2021.03.01,94.00000000001629,-582.0000000000048,-296.0000000000074,257.99999999999557,-1070.9999999999998,-766.0,-900.9999999999962,-864.9999999999949,-528.9999999999964,,-4657.999999999987
2021.03.01,127.00000000001043,-556.0000000000009,-238.0000000000049,299.99999999999716,-1091.0000000000086,-756.0000000000011,-762.9999999999803,-864.9999999999949,-490.99999999999966,,-4332.999999999984
2021.03.01,82.00000000000429,-651.999999999997,-348.9999999999993,293.99999999999693,-1190.0000000000023,-866.0000000000001,-957.9999999999922,-978.9999999999992,-620.9999999999951,,-5238.9999999999845
2021.03.01,62.000000000006494,-687.9999999999998,-364.00000000000875,302.99999999999727,-1257.0000000000082,-909.9999999999997,-998.9999999999943,-1049.9999999999973,-665.9999999999968,,-5569.000000000002
2021.03.01,72.0000000000054,-648.9999999999995,-299.00000000000483,281.0000000000059,-1163.000000000003,-795.0000000000013,-809.9999999999997,-957.9999999999984,-548.0000000000018,,-4868.999999999997
2021.03.01,53.00000000001415,-621.0000000000049,-312.00000000000114,263.9999999999958,-1135.0000000000082,-807.0000000000022,-841.9999999999872,-936.000000000007,-570.999999999998,,-4906.999999999999
