date,GBPUSD,USDJPY,NZDUSD,EURCHF,CHFJPY,GBPJPY,GBPCAD,EURCAD,CADJPY,AUDJPY,NZDCAD,AUDNZD,empty,sum
2018.07.16,0.0,-79.00000000000773,-12.999999999996348,-51.99999999998539,-60.99999999999284,-118.99999999999977,-109.99999999998789,-72.0000000000054,-87.0000000000033,-99.00000000000375,-77.00000000000485,-29.00000000001235,,-797.9999999999997
2018.07.16,11.999999999989797,-167.0000000000016,18.0000000000069,-53.999999999998494,-177.99999999999727,-198.0000000000075,-65.99999999998829,-97.00000000001374,-200.00000000000284,-102.00000000000387,-68.00000000000139,-8.000000000008,,-1108.0000000000261
2018.07.16,17.999999999984695,-224.00000000000375,11.00000000000545,-45.99999999999049,-184.99999999998806,-301.9999999999925,-124.99999999999733,-80.99999999999774,-230.99999999999454,-121.99999999999989,-135.00000000000733,31.999999999987594,,-1389.9999999999939
2018.07.16,17.000000000000348,-227.00000000000387,21.999999999999797,34.000000000000696,-152.00000000000102,-295.0000000000159,-105.99999999998388,-78.00000000000028,-246.9999999999999,-189.00000000000716,-116.00000000000499,-39.00000000001125,,-1376.0000000000275
2018.07.16,49.99999999999449,-266.00000000000534,43.999999999999595,38.0000000000047,-189.99999999999773,-366.9999999999902,-113.99999999999189,-118.00000000001809,-292.99999999999216,-250.0,-107.00000000000153,-49.99999999999449,,-1622.999999999993
2018.07.16,31.999999999987594,-251.00000000000477,42.0000000000087,18.0000000000069,-195.99999999999795,-344.99999999999886,-89.99999999999008,-130.0000000000079,-277.000000000001,-221.00000000000364,-106.00000000000608,-29.00000000001235,,-1553.0000000000193
2018.07.16,23.999999999979593,-256.0000000000002,24.000000000001798,11.00000000000545,-193.9999999999884,-350.9999999999991,-100.99999999999554,-119.00000000000244,-272.99999999999613,-245.00000000000455,-145.00000000000622,-29.999999999996696,,-1655.0000000000023
2018.07.16,63.99999999999739,-317.0000000000073,103.00000000000864,23.00000000001745,-280.00000000000114,-496.0000000000093,-100.99999999999554,-137.00000000000932,-376.99999999999534,-375.0,-209.9999999999991,4.000000000004,,-2098.9999999999895
2018.07.16,85.99999999998609,-320.0000000000074,119.00000000000244,10.000000000021103,-301.9999999999925,-485.00000000001364,-109.00000000000354,-131.00000000001444,-370.00000000000455,-349.00000000000375,-197.00000000000273,2.999999999997449,,-2045.0000000000352
2018.07.16,85.99999999998609,-362.000000000009,77.00000000000485,16.000000000016,-372.99999999999045,-584.0000000000032,-127.99999999999478,-154.0000000000097,-435.0000000000023,-454.9999999999983,-168.99999999999693,-46.999999999997044,,-2527.9999999999945
