date,USDCHF,GBPUSD,AUDUSD,CHFJPY,EURGBP,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDJPY,NZDCAD,AUDNZD,empty,sum
2021.09.20,-39.999999999995595,0.0,-17.000000000000348,-24.999999999991473,0.0,-395.000000000012,-313.00000000000773,0.0,-19.999999999997797,-24.00000000000091,-28.999999999996362,-29.000000000001247,-49.99999999999449,,-941.9999999999981
2021.09.20,-50.99999999998994,11.00000000000545,-5.999999999994898,37.00000000000614,36.999999999998145,-418.9999999999916,-326.0000000000041,22.999999999996135,-5.999999999994898,-4.0000000000048885,-36.000000000001364,-195.9999999999962,-85.00000000000173,,-1020.9999999999737
2021.09.20,-109.99999999999899,-18.0000000000069,-19.999999999997797,37.9999999999967,106.00000000000608,-266.999999999995,-107.99999999999699,49.99999999998295,-46.999999999997044,33.999999999991815,31.999999999996476,-109.00000000000354,-58.000000000002494,,-477.0000000000247
2021.09.20,-106.99999999999044,-19.999999999997797,-22.999999999995246,64.00000000000716,163.99999999999747,-306.00000000000625,-114.0000000000141,73.99999999998386,-53.00000000001415,-15.000000000000568,28.999999999996362,-102.00000000000209,38.99999999998904,,-370.0000000000468
2021.09.20,-92.99999999999864,-11.00000000000545,-13.999999999991797,102.00000000000387,179.00000000000693,-215.99999999999397,-137.00000000000932,115.99999999998545,-103.00000000000864,40.99999999999682,34.99999999999659,-92.00000000000318,42.999999999993044,,-150.00000000002834
2021.09.20,-75.9999999999983,2.0000000000131024,7.0000000000014495,128.0000000000001,163.99999999999747,-225.99999999999287,-103.00000000000864,125.0,-56.000000000011596,58.9999999999975,63.99999999999295,-100.99999999999554,72.99999999998974,,59.99999999998539
2021.09.20,-97.9999999999981,-34.000000000000696,11.00000000000545,137.00000000000045,165.00000000000404,-188.00000000001037,-86.0000000000083,150.99999999998204,-60.99999999999994,84.00000000000318,82.99999999999841,-159.9999999999935,8.000000000008,,11.999999999990663
2021.09.20,-102.99999999999754,-18.999999999991246,-22.999999999995246,140.00000000000057,165.00000000000404,-151.9999999999966,-131.00000000001444,134.9999999999909,-73.99999999999629,102.99999999999443,63.99999999999295,-151.9999999999966,-5.000000000010552,,-52.000000000015596
2021.09.20,-97.9999999999981,-90.99999999999665,-105.99999999999498,117.999999999995,165.9999999999995,-253.99999999999866,-269.9999999999925,75.9999999999934,-215.00000000000963,-4.0000000000048885,-40.99999999999682,-119.99999999999788,-29.999999999996696,,-868.9999999999989
2021.09.20,-95.00000000000064,-136.00000000000279,-182.99999999999983,58.000000000006935,184.00000000000637,-282.0000000000045,-439.0000000000116,-23.000000000024556,-368.00000000001273,-78.00000000000296,-177.99999999999727,-203.99999999999307,-161.00000000001114,,-1905.0000000000475
2021.09.20,-182.99999999999983,-241.99999999998667,-341.99999999999784,-67.99999999999784,202.0000000000022,-242.99999999999324,-666.000000000011,-93.00000000001774,-629.9999999999973,-123.00000000000466,-350.0000000000085,-163.00000000000205,-258.0000000000027,,-3159.0000000000173
2021.09.20,-152.99999999999204,-229.99999999999687,-346.0000000000019,-30.000000000001137,187.00000000000384,-383.0,-683.0000000000114,-153.00000000002,-631.0000000000038,-219.0000000000083,-358.99999999999466,-234.00000000000088,-296.0000000000074,,-3530.000000000034
2021.09.20,-109.99999999999899,-198.99999999999363,-309.99999999999915,-15.000000000000568,168.00000000000148,-445.0000000000065,-649.0000000000107,-145.00000000001023,-568.000000000013,-228.9999999999992,-344.0000000000083,-246.99999999999721,-282.0000000000045,,-3375.0000000000405
2021.09.20,-119.99999999999788,-164.99999999999292,-307.99999999999716,21.000000000000796,161.00000000000003,-378.999999999996,-685.0000000000023,-118.00000000002342,-541.9999999999981,-168.00000000000637,-322.00000000000273,-180.99999999999784,-207.00000000000162,,-3013.0000000000155
2021.09.20,-106.99999999999044,-192.99999999999872,-302.0000000000023,31.00000000000591,168.99999999999693,-368.00000000001273,-662.000000000007,-120.00000000000455,-530.0000000000082,-185.00000000000227,-317.0000000000073,-207.99999999999707,-234.00000000000088,,-3026.0000000000286
2021.09.20,-91.99999999999208,-218.00000000000708,-303.9999999999932,45.000000000001705,194.0000000000053,-390.0000000000015,-605.9999999999955,-103.00000000000864,-577.0000000000052,-201.00000000000762,-314.9999999999977,-219.00000000000253,-231.0000000000034,,-3017.000000000008
2021.09.20,-86.99999999999264,-219.99999999999798,-300.99999999999574,46.00000000000648,202.9999999999976,-353.0000000000033,-585.0000000000133,-88.99999999999864,-561.9999999999958,-189.99999999999773,-314.9999999999977,-192.00000000000327,-212.99999999999653,,-2857.999999999988
2021.09.20,-66.99999999999484,-174.99999999999181,-241.99999999999778,67.99999999999784,182.00000000000438,-293.99999999999426,-513.0000000000078,-85.00000000000796,-456.9999999999963,-138.00000000000523,-251.00000000000477,-168.00000000000148,-170.00000000000347,,-2310.0000000000036
2021.09.20,-122.99999999999534,-253.99999999999866,-300.99999999999574,-75.9999999999934,201.00000000000674,-436.9999999999985,-575.9999999999987,-185.00000000000227,-571.9999999999948,-301.00000000000193,-378.0000000000001,-226.99999999999943,-181.9999999999933,,-3410.9999999999654
2021.09.20,-124.99999999999733,-371.99999999999454,-329.00000000000153,-79.9999999999983,226.00000000000398,-446.9999999999974,-551.0000000000126,-219.0000000000225,-622.0000000000115,-373.9999999999952,-427.0000000000067,-203.99999999999307,-154.99999999999403,,-3679.0000000000214
