date,GBPUSD,EURUSD,USDJPY,AUDUSD,CHFJPY,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURNZD,AUDCAD,NZDCAD,empty,sum
2018.10.01,-130.0000000000079,-9.999999999998899,-64.00000000000716,-7.9999999999968985,-195.0000000000074,-54.999999999993946,-38.99999999998727,-63.99999999999739,-63.99999999999739,-34.000000000000696,-9.999999999998899,-244.99999999999523,,-917.999999999989
2018.10.01,-79.00000000000685,45.99999999999049,-51.00000000000193,6.0000000000060005,-196.00000000001216,-49.99999999999449,42.00000000000159,-19.999999999997797,46.999999999997044,11.999999999989797,-21.00000000000435,-239.0000000000003,,-503.00000000003297
2018.10.01,-86.0000000000083,49.99999999999449,-61.99999999999761,-3.999999999992898,-128.0000000000001,-64.99999999999284,52.00000000002092,-139.00000000000023,15.999999999993797,-9.999999999998899,-58.99999999999794,-458.9999999999983,,-893.999999999978
2018.10.01,-87.99999999999919,105.99999999998388,-61.00000000000705,-46.999999999997044,-98.00000000001319,-39.00000000000014,52.99999999999727,-134.00000000001188,-93.99999999999409,-86.99999999999264,-56.99999999999594,-247.99999999999267,,-794.0000000000225
2018.10.01,-70.99999999999883,83.9999999999952,-135.99999999999568,-69.9999999999923,-143.00000000000068,-27.999999999994696,-116.99999999999022,-144.0000000000108,-139.00000000000023,-168.99999999999693,-4.999999999999449,-253.99999999999866,,-1191.9999999999832
2018.10.01,-55.000000000005045,75.00000000000284,-146.0000000000008,-45.99999999999049,-153.0000000000058,-17.999999999995797,-127.9999999999859,-89.00000000000574,-29.00000000001235,-34.000000000000696,-87.00000000000374,-222.99999999999542,,-932.9999999999991
2018.10.01,-7.0000000000014495,58.99999999998684,-99.00000000000375,-2.999999999997449,-166.00000000001103,-6.999999999990347,-93.99999999999409,-89.00000000000574,136.99999999998712,-29.999999999996696,-87.00000000000374,-283.99999999999534,,-670.0000000000257
2018.10.01,-17.000000000000348,61.99999999998429,-200.00000000000284,-9.999999999998899,-248.00000000000466,0.0,-214.999999999975,106.99999999999044,151.9999999999966,1.999999999990898,-10.999999999994348,-282.99999999999994,,-661.0000000000139
2018.10.01,-83.00000000001084,75.00000000000284,-260.0000000000051,7.0000000000014495,-243.0000000000092,-12.000000000000899,-193.9999999999884,82.00000000000429,109.99999999998789,-17.000000000000348,-0.999999999995449,-249.99999999999466,,-786.0000000000084
2018.10.01,-107.00000000001265,153.00000000000313,-262.00000000000045,24.000000000001798,-296.0000000000065,9.999999999998899,-213.99999999999864,-299.00000000000483,102.00000000000209,-96.00000000000719,-188.9999999999947,-244.99999999999523,,-1419.000000000014
2018.10.01,-60.000000000015596,129.99999999998568,-260.9999999999957,-31.999999999998696,-345.0000000000131,2.000000000002,-258.99999999998613,-422.9999999999956,-7.0000000000014495,-190.00000000000128,-212.00000000000108,-168.00000000000148,,-1825.0000000000223
2018.10.01,-77.00000000001594,139.00000000000023,-225.9999999999991,-5.999999999994898,-312.0000000000118,11.00000000000545,-231.99999999999932,-273.0000000000121,75.00000000000284,-207.00000000000162,-173.9999999999964,-159.9999999999935,,-1442.0000000000161
2018.10.01,-90.00000000001229,187.99999999998818,-234.99999999999943,33.000000000005244,-311.00000000000705,23.00000000000635,-168.99999999998272,-344.99999999999534,96.00000000000719,-120.00000000000898,-224.9999999999974,-105.99999999999498,,-1260.9999999999914
2018.10.01,-99.00000000000463,180.99999999998673,-198.0000000000075,48.000000000003595,-233.0000000000041,20.0000000000089,-116.99999999999022,-232.00000000000998,140.99999999999113,-46.999999999997044,-175.99999999999838,-114.00000000000298,,-826.0000000000244
2018.10.01,-100.0000000000112,195.9999999999962,-221.00000000000364,60.00000000000449,-230.00000000000398,26.999999999999247,-143.99999999997704,-226.99999999999943,161.99999999999548,-5.000000000010552,-190.99999999999673,-64.99999999999284,,-738.0
2018.10.01,-155.00000000001623,205.99999999999508,-237.99999999999955,81.00000000000884,-216.00000000000819,-9.999999999998899,-105.99999999999454,-226.00000000001506,178.99999999999582,-8.000000000008,-183.99999999999528,-102.99999999999754,,-780.0000000000335
2018.10.01,-157.00000000000713,176.99999999998272,-231.00000000000875,111.00000000000554,-290.00000000000625,-12.000000000000899,-96.99999999997999,-205.00000000001074,195.9999999999962,92.00000000000318,-222.99999999999542,-82.99999999999974,,-722.0000000000213
2018.10.01,-128.000000000017,197.00000000000273,-221.00000000000364,131.99999999999878,-297.00000000001125,8.000000000008,-126.99999999998113,-221.00000000000452,306.9999999999906,15.00000000000945,-292.9999999999988,-48.99999999999905,,-677.0000000000058
2018.10.01,-110.00000000001009,208.99999999999253,-260.9999999999957,86.0000000000083,-343.0000000000035,67.00000000000594,-248.99999999999523,-348.00000000001495,302.0000000000023,18.999999999991246,-365.0000000000042,-29.999999999996696,,-1023.0000000000201
2018.10.01,-145.00000000001734,231.99999999998778,-274.0000000000009,114.00000000000298,-275.0000000000057,82.00000000000429,-238.9999999999759,-241.00000000000233,282.0000000000045,-49.99999999999449,-304.00000000000426,4.000000000004,,-813.9999999999974
2018.10.01,-107.00000000001265,285.99999999998624,-304.00000000000205,80.00000000000229,-320.0000000000074,139.00000000000023,-325.9999999999934,-231.0000000000034,258.99999999998704,-62.000000000006494,-293.99999999999426,-4.999999999999449,,-885.0000000000433
2018.10.01,-34.000000000000696,180.99999999998673,-349.00000000000375,48.99999999999905,-301.00000000000193,147.00000000000824,-557.9999999999927,-304.00000000001535,312.9999999999855,5.999999999994898,-307.0000000000017,80.00000000000229,,-1077.0000000000396
2018.10.01,0.0,140.99999999999113,-350.9999999999991,34.000000000000696,-239.00000000000432,92.00000000000318,-575.9999999999934,-329.00000000000153,327.99999999999494,103.99999999999298,-341.99999999999784,107.00000000000153,,-1031.0000000000116
2018.10.01,31.000000000003247,78.99999999998464,-316.0000000000025,75.00000000000284,-116.00000000001387,95.00000000000064,-522.9999999999961,-417.0000000000007,374.999999999992,119.00000000000244,-414.00000000000324,151.9999999999966,,-860.0000000000339
2018.10.01,123.99999999999079,41.99999999998649,-287.00000000000614,23.00000000000635,-56.000000000011596,86.0000000000083,-533.9999999999918,-340.00000000000693,425.99999999999307,235.99999999999176,-417.99999999999613,158.99999999999804,,-539.0000000000379
