date,EURGBP,GBPJPY,EURNZD,empty,sum
2021.11.08,-106.00000000000608,-207.9999999999984,-307.00000000001285,,-621.0000000000173
2021.11.08,-36.999999999998145,-254.99999999999545,-10.000000000021103,,-302.00000000001467
2021.11.08,-6.0000000000060005,-334.99999999997954,34.99999999998504,,-306.0000000000005
2021.11.08,24.999999999997247,-346.99999999998,186.99999999998164,,-135.00000000000108
2021.11.08,20.999999999993246,-429.9999999999784,309.99999999998806,,-98.9999999999971
2021.11.08,19.00000000000235,-462.99999999999386,237.99999999998266,,-206.00000000000887
2021.11.08,8.999999999992347,-441.99999999997885,78.99999999998464,,-354.0000000000019
2021.11.08,7.9999999999968985,-391.9999999999959,67.9999999999792,,-316.00000000001984
2021.11.08,31.999999999998696,-312.9999999999882,0.0,,-280.9999999999895
2021.11.08,34.000000000000696,-363.9999999999759,-122.00000000002208,,-451.99999999999727
2021.11.08,29.000000000001247,-427.99999999999727,-276.00000000000955,,-675.0000000000056
2021.11.08,30.999999999992145,-476.99999999997544,-260.0000000000158,,-705.9999999999991
2021.11.08,35.999999999991594,-411.9999999999777,-270.00000000001467,,-646.0000000000008
2021.11.08,61.999999999995396,-328.9999999999793,-299.00000000000483,,-565.9999999999887
2021.11.08,41.9999999999976,-379.99999999999545,-288.0000000000216,,-626.0000000000194
2021.11.08,7.9999999999968985,-393.99999999997704,-512.0000000000014,,-897.9999999999816
2021.11.08,10.999999999994348,-470.9999999999752,-539.0000000000006,,-998.9999999999814
2021.11.08,8.999999999992347,-507.99999999998136,-476.0000000000098,,-974.9999999999989
2021.11.08,-13.00000000000745,-473.99999999998954,-608.0000000000085,,-1095.0000000000055
2021.11.08,-2.000000000002,-423.9999999999782,-601.000000000007,,-1026.9999999999873
2021.11.08,30.999999999992145,-338.99999999999864,-675.0000000000034,,-983.0000000000099
2021.11.08,83.9999999999952,-286.9999999999777,-412.00000000001234,,-614.9999999999949
2021.11.08,9.999999999998899,-375.0,-639.0000000000118,,-1004.000000000013
2021.11.08,-9.00000000000345,-250.0,-661.0000000000005,,-920.0000000000039
2021.11.08,-21.00000000000435,-216.99999999998454,-644.0000000000001,,-881.999999999989
2021.11.08,-8.000000000008,-270.9999999999866,-707.0000000000132,,-986.0000000000077
2021.11.08,19.999999999997797,-292.99999999997794,-730.0000000000084,,-1002.9999999999886
2021.11.08,-89.00000000000574,-590.9999999999798,-771.0000000000106,,-1450.999999999996
2021.11.08,-109.99999999999899,-638.9999999999816,-768.0000000000131,,-1516.9999999999936
2021.11.08,-168.00000000000148,-718.9999999999941,-871.0000000000217,,-1758.0000000000173
2021.11.08,-239.0000000000003,-844.9999999999989,-976.0000000000213,,-2060.0000000000205
2021.11.08,-285.00000000000193,-810.9999999999786,-1031.000000000004,,-2126.9999999999845
2021.11.08,-279.00000000000705,-763.9999999999816,-1100.000000000012,,-2143.000000000001
2021.11.08,-346.0000000000019,-681.999999999988,-1148.0000000000157,,-2176.0000000000055
2021.11.08,-326.0000000000041,-763.9999999999816,-1027.0000000000002,,-2116.999999999986
2021.11.08,-339.0000000000004,-864.9999999999807,-867.0000000000177,,-2070.999999999999
2021.11.08,-263.99999999999756,-765.9999999999911,-798.0000000000098,,-1827.9999999999984
2021.11.08,-272.00000000000557,-769.9999999999818,-858.0000000000032,,-1899.9999999999905
