date,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURNZD,NZDJPY,AUDCAD,NZDCAD,empty,sum
2019.10.07,-16.000000000016,-46.999999999997044,-98.99999999999353,-2.0000000000131024,-123.00000000000644,-237.99999999999955,-146.00000000000168,-99.00000000000375,-211.00000000000563,-120.00000000000455,-72.99999999998974,-99.00000000000463,,-1273.0000000000357
2019.10.07,-19.999999999997797,-87.99999999999919,-179.99999999999127,235.99999999999176,-81.00000000000884,-245.9999999999809,-219.99999999999798,-82.99999999999841,-401.99999999999125,-205.0000000000125,-110.99999999999443,-202.0000000000022,,-1601.9999999999832
2019.10.07,-140.0000000000068,-88.99999999999464,-173.9999999999964,302.9999999999866,-24.000000000001798,-524.0000000000009,-326.9999999999884,-177.0000000000067,-304.9999999999997,-222.0000000000084,-100.99999999999554,-192.99999999999872,,-1973.0000000000114
2019.10.07,-109.00000000000354,-71.99999999999429,-146.99999999999713,437.99999999998283,17.999999999995797,-556.999999999988,-299.99999999998914,-228.9999999999992,-146.00000000000168,-237.00000000000898,-29.999999999996696,-97.9999999999981,,-1468.999999999998
2019.10.07,-150.00000000000568,-105.99999999999498,-174.99999999999181,398.9999999999938,-4.999999999999449,-556.999999999988,-275.000000000003,-233.0000000000041,-195.9999999999962,-264.00000000001,-43.999999999999595,-114.99999999999844,,-1720.9999999999973
2019.10.07,-155.00000000001623,-105.99999999999498,-183.99999999999528,408.9999999999927,5.999999999994898,-498.9999999999952,-242.00000000000887,-197.00000000000273,-225.00000000000853,-251.00000000000477,-41.9999999999976,-126.99999999999933,,-1613.0000000000357
2019.10.07,-168.0000000000126,-96.99999999999153,-183.99999999999528,411.99999999999017,8.999999999992347,-525.0000000000057,-337.0000000000095,-215.0000000000034,-192.99999999999872,-242.00000000000443,-54.999999999993946,-161.00000000000003,,-1756.0000000000325
2019.10.07,-97.00000000001374,-96.99999999999153,-213.99999999999199,455.99999999998977,-17.000000000000348,-480.99999999999454,-326.9999999999884,-187.00000000001182,-268.0000000000016,-263.00000000000523,-61.999999999995396,-200.00000000000017,,-1757.000000000005
2019.10.07,-76.0000000000094,-76.99999999999375,-222.99999999999542,444.9999999999843,-48.000000000003595,-442.99999999998363,-337.0000000000095,-209.00000000000318,-239.99999999999577,-240.0000000000091,-57.99999999999139,-221.99999999999997,,-1728.0000000000102
2019.10.07,-72.0000000000054,-24.999999999997247,-212.99999999999653,408.9999999999927,-50.0000000000056,-463.99999999999864,-313.00000000000773,-252.00000000000955,-208.00000000000819,-280.00000000000114,-13.999999999991797,-209.9999999999991,,-1692.0000000000282
2019.10.07,-33.00000000001635,-29.000000000001247,-209.9999999999991,426.9999999999996,-56.0000000000005,-465.99999999997976,-350.00000000000585,-255.00000000000966,-242.99999999999324,-290.00000000000625,-24.999999999997247,-255.00000000000523,,-1785.0000000000148
2019.10.07,-24.000000000001798,-12.000000000000899,-164.99999999999292,452.99999999999227,-48.99999999999905,-456.99999999999363,-329.00000000000153,-228.00000000000864,-171.99999999999437,-251.00000000000477,-15.999999999993797,-197.00000000000273,,-1447.0000000000018
2019.10.07,-41.000000000002146,11.00000000000545,-169.99999999999238,465.99999999998863,-35.00000000000725,-445.99999999999795,-314.99999999999864,-213.00000000000807,-165.9999999999995,-240.99999999999966,32.0000000000098,-174.00000000000747,,-1292.000000000009
2019.10.07,-30.0000000000189,19.00000000000235,-147.99999999999258,485.99999999998647,-31.999999999998696,-454.9999999999841,-334.9999999999964,-203.00000000000296,-130.99999999999224,-225.00000000000853,43.00000000000415,-145.00000000000622,,-1156.0000000000075
2019.10.07,-26.999999999999247,31.000000000003247,-125.99999999999278,519.0000000000028,-18.0000000000069,-524.0000000000009,-343.00000000000443,-230.00000000000398,-126.0000000000039,-215.0000000000034,51.000000000001044,-125.00000000000844,,-1133.0000000000168
2019.10.07,-24.000000000001798,37.00000000000925,-135.99999999999167,542.9999999999824,-8.000000000008,-534.9999999999966,-330.0000000000081,-249.00000000000944,-140.99999999999113,-252.00000000000955,52.000000000007596,-136.00000000000279,,-1179.0000000000198
2019.10.07,-6.000000000017103,51.000000000001044,-130.99999999999224,544.9999999999955,-19.00000000000235,-520.9999999999866,-337.99999999999386,-237.99999999999955,-141.99999999999767,-231.99999999999932,65.00000000000395,-158.99999999999804,,-1124.9999999999864
2019.10.07,17.000000000000348,52.000000000007596,-156.00000000000057,466.9999999999952,-84.0000000000063,-481.9999999999993,-323.99999999999096,-249.00000000000944,-234.00000000000088,-275.0000000000057,43.00000000000415,-192.00000000000327,,-1417.000000000009
