date,USDCHF,USDCAD,GBPCAD,EURJPY,NZDJPY,empty,sum
2015.11.30,4.999999999988347,39.00000000001125,-88.0000000000436,-10.99999999999568,3.9999999999906777,,-51.000000000049006
2015.11.30,-28.000000000005798,-5.999999999994898,-119.00000000002464,-15.999999999991132,-70.00000000000739,,-239.00000000002387
2015.11.30,-35.00000000000725,-24.000000000001798,-194.00000000002748,-31.00000000000591,-167.0000000000016,,-451.000000000044
2015.11.30,-53.00000000001415,-5.999999999994898,-152.0000000000188,-51.9999999999925,-67.00000000000728,,-330.0000000000276
2015.11.30,-103.00000000000864,-129.00000000000134,-246.00000000001288,-129.99999999999545,-164.00000000000148,,-772.0000000000198
2015.11.30,-113.00000000000753,-163.9999999999864,-296.00000000002956,-182.99999999999272,-230.00000000000398,,-986.0000000000201
2015.11.30,-124.99999999999733,-183.99999999998417,-297.00000000003615,-221.00000000000364,-174.99999999999716,,-1002.0000000000184
2015.11.30,-127.00000000001043,-141.99999999999767,-150.00000000000568,-170.99999999999227,-198.99999999999807,,-789.0000000000041
2015.11.30,-156.00000000000057,-141.99999999999767,-167.00000000002825,-189.99999999999773,-156.0000000000059,,-811.0000000000301
2015.11.30,-133.00000000000534,-133.99999999998968,-196.0000000000406,-144.00000000000546,-11.00000000000989,,-618.0000000000509
2015.11.30,-68.00000000000139,-113.99999999999189,-211.00000000000563,-175.00000000001137,-8.000000000009777,,-576.00000000002
2015.11.30,-106.00000000000608,-83.9999999999952,-139.00000000002245,-140.99999999999113,15.999999999991132,,-454.00000000002376
2015.11.30,-112.000000000001,-133.99999999998968,-214.0000000000253,-128.00000000001432,39.00000000000148,,-549.0000000000288
2015.11.30,-131.00000000001444,-139.9999999999846,-221.00000000002672,-137.00000000000045,84.99999999999375,,-544.0000000000324
2015.11.30,-107.00000000001265,-101.99999999997988,-225.00000000000853,-80.99999999998886,110.99999999999,,-403.9999999999999
2015.11.30,-103.00000000000864,-129.99999999998568,-241.00000000002453,-111.99999999999477,149.0000000000009,,-437.00000000001273
2015.11.30,-126.0000000000039,-133.99999999998968,-229.00000000003473,-137.00000000000045,153.99999999999636,,-472.0000000000324
2015.11.30,-198.00000000000927,-182.99999999999983,-329.0000000000237,-97.00000000000841,146.99999999999136,,-660.0000000000498
2015.11.30,-158.0000000000137,-167.9999999999904,-325.00000000004195,-45.99999999999227,204.9999999999983,,-492.00000000004
2015.11.30,-19.00000000001345,-44.99999999998394,-234.00000000002308,-52.99999999999727,305.9999999999974,,-45.00000000002035
2015.11.30,-46.0000000000127,-147.99999999999258,-259.0000000000092,25.000000000005684,253.99999999999068,,-174.00000000001813
2015.11.30,-131.00000000001444,-219.99999999999798,-209.00000000003695,-15.00000000001478,310.0000000000023,,-265.00000000006185
2015.11.30,-148.99999999999915,-219.99999999999798,-46.0000000000349,112.99999999999955,387.00000000000045,,84.99999999996794
2015.11.30,-104.00000000001519,-235.99999999999176,-134.0000000000341,179.00000000000205,387.999999999991,,92.99999999995202
2015.11.30,-43.999999999999595,-103.99999999999298,21.99999999996649,44.999999999987494,402.000000000001,,320.9999999999624
2015.11.30,-63.000000000013046,-78.00000000000028,-2.0000000000131024,57.999999999992724,414.0000000000015,,328.99999999996777
2015.11.30,-140.0000000000068,-148.99999999999915,-12.000000000034206,58.9999999999975,336.9999999999891,,94.99999999994645
2015.11.30,-106.00000000000608,-123.99999999999079,100.99999999999554,88.99999999999864,415.9999999999968,,375.9999999999941
2015.11.30,-150.00000000000568,-97.9999999999981,180.99999999998673,138.00000000000523,533.9999999999918,,604.99999999998
2015.11.30,-114.0000000000141,-34.99999999998504,178.99999999997362,158.99999999999181,590.999999999994,,779.9999999999602
2015.11.30,-39.999999999995595,53.00000000001415,98.99999999998244,194.99999999999318,620.9999999999951,,927.9999999999893
2015.11.30,-158.0000000000137,57.00000000001815,192.99999999997652,88.99999999999864,658.0000000000013,,838.9999999999809
2015.11.30,-26.999999999999247,174.00000000000747,313.9999999999699,198.0000000000075,688.0000000000024,,1346.9999999999882
2015.11.30,18.999999999991246,96.00000000000719,-91.00000000001884,157.99999999998704,637.999999999991,,819.9999999999577
2015.11.30,18.999999999991246,230.00000000001907,198.9999999999714,117.999999999995,742.999999999995,,1308.9999999999718
2015.11.30,187.00000000000384,479.0000000000072,370.999999999988,163.0000000000109,967.9999999999893,,2167.999999999999
2015.11.30,190.99999999998562,392.00000000001455,245.99999999996845,133.00000000000978,793.9999999999969,,1755.9999999999754
2015.11.30,139.9999999999846,331.0000000000146,284.9999999999575,91.99999999998454,754.9999999999955,,1602.9999999999368
2015.11.30,194.99999999998963,301.0000000000179,216.99999999995612,82.99999999999841,793.9999999999969,,1589.999999999959
2015.11.30,224.000000000002,147.00000000000824,117.99999999997368,-9.000000000014552,759.9999999999909,,1239.9999999999602
2015.11.30,290.9999999999968,224.000000000002,81.99999999995988,40.99999999999682,816.0000000000025,,1453.9999999999582
2015.11.30,330.9999999999924,226.99999999999943,-28.000000000005798,80.0000000000125,862.9999999999995,,1472.9999999999982
2015.11.30,194.0000000000053,191.00000000000784,-166.00000000002169,30.000000000001137,871.9999999999999,,1120.9999999999925
2015.11.30,191.99999999999218,127.00000000001043,-234.00000000002308,115.99999999998545,832.9999999999984,,1033.9999999999634
2015.11.30,165.9999999999995,87.00000000001484,-318.0000000000405,52.99999999999727,757.9999999999956,,745.9999999999667
2015.11.30,93.99999999999409,129.00000000000134,-275.00000000002524,31.00000000000591,790.9999999999968,,769.9999999999729
