date,EURCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,EURJPY,NZDJPY,AUDNZD,empty,sum
2017.07.31,95.999999999985,72.99999999999329,27.999999999994696,14.999999999986358,-62.99999999999084,80.99999999998886,30.000000000001137,-62.000000000006494,,197.99999999995202
2017.07.31,157.99999999999147,76.99999999999818,51.99999999999649,-64.99999999999773,-184.99999999999073,123.99999999999523,58.9999999999975,-144.0000000000108,,75.9999999999796
2017.07.31,92.99999999998754,176.00000000000193,6.999999999990347,-120.00000000000455,-317.9999999999961,57.999999999992724,79.9999999999983,-134.99999999999625,,-159.00000000002603
2017.07.31,147.99999999999258,109.99999999999943,21.999999999999797,-80.0000000000125,-322.00000000000006,49.000000000006594,115.99999999999966,-62.000000000006494,,-19.00000000002099
2017.07.31,85.99999999998609,111.99999999999477,-7.0000000000014495,-50.00000000001137,-540.9999999999915,-21.000000000015007,137.00000000000045,11.00000000000545,,-273.0000000000325
2017.07.31,112.99999999998533,-2.0000000000095497,-45.000000000006146,2.0000000000095497,-652.9999999999925,-125.0,118.99999999999977,68.00000000000139,,-523.0000000000122
2017.07.31,-12.999999999996348,66.0000000000025,-59.000000000009045,56.99999999998795,-709.9999999999884,-200.9999999999934,132.000000000005,283.99999999999534,,-443.99999999999636
2017.07.31,-181.00000000000892,150.99999999999625,-32.0000000000098,211.00000000001273,-784.9999999999912,-288.0000000000109,34.000000000006025,320.9999999999935,,-569.0000000000124
2017.07.31,-56.000000000011596,45.000000000001705,6.999999999990347,245.00000000000455,-720.0000000000095,-270.00000000001023,40.00000000000625,197.00000000000273,,-512.0000000000258
2017.07.31,-59.000000000009045,80.99999999998886,-35.00000000000725,140.99999999999113,-713.0000000000081,-242.999999999995,105.00000000000398,93.00000000000975,,-630.0000000000256
2017.07.31,-111.00000000001664,97.99999999999898,-40.00000000000669,174.0000000000066,-591.0000000000082,-274.0000000000009,85.99999999999852,59.000000000009045,,-599.0000000000192
2017.07.31,-131.99999999999878,92.99999999998931,-37.00000000000925,207.9999999999984,-585.9999999999976,-304.00000000000205,21.000000000000796,24.000000000001798,,-713.0000000000174
2017.07.31,-89.00000000000574,119.99999999999034,-21.999999999999797,143.00000000000068,-585.9999999999976,-223.0000000000132,40.00000000000625,73.99999999999629,,-543.0000000000229
2017.07.31,-114.0000000000141,140.99999999999113,-13.00000000000745,163.0000000000109,-578.9999999999961,-229.99999999998977,3.0000000000001137,-18.0000000000069,,-647.0000000000123
2017.07.31,-109.00000000000354,134.00000000000034,-8.000000000008,174.0000000000066,-622.9999999999958,-231.99999999999932,-7.999999999995566,-52.99999999999194,,-724.9999999999873
