date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,EURJPY,EURCAD,EURAUD,EURNZD,AUDNZD,empty,sum
2015.11.23,-39.00000000001125,-167.00000000000603,-1.999999999990898,0.0,0.0,-36.999999999998145,-46.999999999997044,-151.00000000001222,-55.99999999998939,-97.00000000000841,-21.00000000000435,-41.9999999999976,-2.0000000000095497,-15.00000000000945,-17.999999999984695,0.0,-120.99999999999334,,-815.0000000000123
2015.11.23,-42.999999999993044,-177.00000000000495,-1.999999999990898,24.00000000000091,110.99999999999443,-14.000000000002899,-36.0000000000027,-178.99999999999582,-62.99999999999084,-132.99999999999557,-19.999999999997797,-58.000000000002494,10.99999999999568,90.99999999999665,-39.999999999995595,29.00000000001235,-151.9999999999966,,-650.9999999999693
2015.11.23,-49.99999999999449,-246.99999999999721,-15.999999999993797,36.000000000001364,123.00000000000644,-26.999999999999247,-43.00000000000415,-266.999999999995,-48.99999999998794,-109.00000000000887,4.000000000004,-54.999999999993946,7.000000000005002,136.99999999998712,-31.999999999987594,55.000000000005045,-224.000000000002,,-756.9999999999554
2015.11.23,-69.9999999999923,-263.00000000001324,-21.00000000000435,61.99999999999761,234.00000000000088,-46.999999999997044,36.999999999998145,-294.0000000000165,-52.99999999999194,-112.00000000000898,26.999999999999247,-41.000000000002146,13.00000000000523,173.99999999998528,-8.999999999992347,198.00000000000927,-412.9999999999967,,-578.0000000000198
2015.11.23,-86.99999999999264,-202.00000000001327,-80.99999999999774,91.99999999999875,275.000000000003,-80.00000000000229,141.00000000000225,-256.99999999999613,-69.9999999999923,-161.00000000000136,36.0000000000027,-68.99999999999685,12.000000000000455,166.99999999998383,45.000000000006146,502.00000000000244,-500.9999999999959,,-237.9999999999888
2015.11.23,-85.00000000000173,-153.00000000000313,-86.99999999999264,135.99999999999568,286.99999999999284,-199.00000000000472,219.00000000000253,-229.99999999999687,-14.000000000002899,-186.00000000000705,43.00000000000415,-178.99999999999582,24.00000000000091,175.99999999999838,97.00000000001374,594.0000000000057,-489.0000000000061,,-45.999999999997044
2015.11.23,-62.99999999999084,-170.00000000000347,-58.000000000002494,112.99999999999955,287.9999999999994,-236.99999999999832,212.99999999999653,-185.00000000001293,0.0,-179.00000000000205,65.99999999999939,-263.0000000000021,38.000000000010914,217.99999999998488,310.0000000000103,617.0000000000009,-317.0000000000117,,390.99999999997783
2015.11.23,-181.00000000000892,-150.00000000000568,-289.0000000000059,123.99999999999523,419.9999999999982,-443.99999999999994,229.99999999999687,-202.00000000001327,19.00000000001345,-207.00000000000784,114.99999999999844,-392.9999999999989,-72.00000000000273,146.99999999998602,431.0000000000036,579.0000000000184,-255.00000000000523,,-128.00000000003814
2015.11.23,-226.99999999999943,4.999999999988347,-370.00000000000364,272.00000000000557,547.999999999993,-556.0000000000009,327.99999999999494,-209.9999999999991,99.00000000000463,-225.00000000000853,119.00000000000244,-488.999999999995,-121.00000000000932,136.99999999998712,436.00000000001415,565.9999999999999,-143.00000000000423,,168.9999999999699
2015.11.23,-258.0000000000027,41.000000000002146,-365.99999999999966,332.00000000000784,636.9999999999986,-699.0000000000052,434.000000000001,-249.99999999999466,66.99999999999484,-230.00000000000398,116.00000000000499,-575.0000000000033,-66.0000000000025,178.99999999999582,738.0000000000164,772.0000000000172,-102.00000000000209,,770.0000000000248
2015.11.23,-235.99999999999176,-1.0000000000065512,-300.99999999999574,323.0000000000075,605.0000000000111,-573.0000000000013,402.00000000000233,-245.0000000000063,70.99999999999883,-239.99999999999488,114.00000000000298,-485.99999999999756,14.999999999986358,219.99999999999798,669.0000000000085,755.0000000000168,-120.99999999999334,,971.0000000000449
2015.11.23,-170.00000000000347,2.999999999997449,-285.00000000000193,326.0000000000076,605.0000000000111,-539.0000000000006,402.9999999999978,-173.00000000000094,104.99999999999955,-245.9999999999951,175.99999999999838,-465.9999999999998,0.0,261.0000000000001,642.0000000000092,737.0000000000099,-140.0000000000068,,1239.0000000000225
2015.11.23,-164.99999999999292,-15.00000000000945,-265.0000000000041,338.99999999999864,635.0000000000077,-556.0000000000009,390.0000000000015,-190.00000000000128,87.99999999999919,-245.00000000000455,180.99999999999784,-485.0000000000021,20.000000000010232,302.0000000000023,705.0000000000001,752.0000000000193,-102.00000000000209,,1389.0000000000193
2015.11.23,-174.99999999999181,-12.000000000012001,-273.9999999999965,370.00000000000455,615.9999999999943,-529.0000000000017,409.99999999999926,-208.00000000000819,86.99999999999264,-257.000000000005,160.00000000000458,-456.9999999999963,37.00000000000614,280.9999999999979,678.0000000000008,773.0000000000015,-127.00000000001043,,1372.99999999998
2015.11.23,-165.9999999999995,-63.000000000013046,-241.00000000000233,359.00000000000887,602.999999999998,-500.00000000000045,373.00000000000114,-225.00000000000853,83.9999999999952,-295.0000000000017,158.0000000000026,-426.9999999999996,73.0000000000075,285.99999999998624,669.0000000000085,738.0000000000164,-117.99999999999588,,1308.0000000000032
2015.11.23,-157.00000000000713,-49.00000000001015,-243.99999999999977,362.000000000009,612.9999999999969,-534.0000000000011,373.00000000000114,-195.9999999999962,80.00000000001339,-299.0000000000066,175.00000000000293,-471.99999999999466,81.99999999999363,314.99999999999864,740.0000000000073,764.0000000000091,-83.9999999999952,,1469.0000000000211
