date,GBPUSD,USDCAD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURAUD,CADJPY,NZDCAD,AUDNZD,empty,sum
2020.07.27,-129.99999999998568,-17.000000000000348,-95.00000000000064,-207.00000000000162,-60.000000000002274,-130.0000000000079,-6.0000000000060005,-1.999999999990898,-269.9999999999818,-224.000000000002,-327.99999999999494,-235.00000000000742,-79.9999999999983,-84.0000000000063,-205.00000000001074,,-2072.9999999999973
2020.07.27,-71.99999999998319,-48.000000000003595,-224.000000000002,-32.0000000000098,80.99999999998886,-165.9999999999995,149.99999999999457,14.000000000002899,-102.00000000000387,-207.00000000000162,-367.0000000000062,-306.9999999999906,-84.99999999999375,64.99999999999284,-153.00000000000313,,-1453.0000000000182
2020.07.27,-61.99999999998429,-72.0000000000054,-190.00000000000128,95.999999999985,43.99999999999693,-200.00000000000017,98.99999999999353,37.00000000000925,-195.99999999999795,-153.00000000000313,-255.99999999998957,-92.00000000000318,-90.99999999999397,65.99999999999939,-69.00000000000794,,-1039.0000000000025
2020.07.27,-10.999999999983245,-48.000000000003595,-182.00000000000438,105.99999999998388,55.999999999997385,-170.00000000000347,129.00000000000134,88.00000000001029,-180.99999999998317,-87.00000000001484,-34.000000000000696,92.00000000000318,-24.999999999991473,131.99999999999878,-49.99999999999449,,-184.99999999998445
2020.07.27,-50.99999999997884,19.999999999997797,-182.99999999999983,140.99999999999113,94.99999999999886,-168.99999999999693,130.99999999999224,64.0000000000085,-103.00000000000864,-17.000000000000348,-106.99999999999044,-17.000000000000348,-62.99999999998818,132.99999999999423,-86.0000000000083,,-211.99999999998906
2020.07.27,14.000000000002899,-95.00000000000064,-250.00000000000577,158.99999999999804,125.0,-195.00000000000074,175.99999999999838,52.000000000007596,-28.999999999996362,-46.999999999997044,-208.00000000000819,-121.99999999999989,-118.99999999999977,176.99999999999383,-99.00000000000463,,-461.0000000000123
2020.07.27,29.00000000001235,-178.99999999999582,-306.00000000000625,156.00000000000057,140.00000000000057,-192.99999999999872,164.99999999999292,52.000000000007596,-37.00000000000614,-56.99999999999594,-202.9999999999976,-96.99999999999153,-168.99999999999693,165.9999999999995,-89.00000000000574,,-621.9999999999811
2020.07.27,152.0000000000188,-256.00000000001177,-341.0000000000024,78.00000000000028,146.0000000000008,-192.99999999999872,156.99999999999602,115.00000000000954,-30.000000000001137,-69.00000000000794,-313.99999999999204,49.99999999999449,-177.99999999999727,163.99999999999747,-165.9999999999995,,-684.9999999999934
2020.07.27,235.00000000000742,-283.000000000011,-400.00000000000034,152.99999999998093,123.99999999999523,-179.00000000000693,214.99999999999852,165.00000000000404,-52.99999999999727,-42.0000000000087,-283.99999999999534,35.999999999991594,-83.99999999998897,180.99999999999784,-163.00000000000205,,-379.00000000003513
2020.07.27,316.0000000000052,-322.00000000000006,-450.00000000000597,211.99999999998997,47.99999999998761,-175.00000000000293,266.999999999995,137.00000000000932,-78.00000000000296,14.000000000002899,-303.9999999999932,-36.999999999998145,-82.99999999999841,289.9999999999903,-86.0000000000083,,-251.00000000002967
