date,GBPCHF,EURCHF,CHFJPY,EURGBP,GBPJPY,empty,sum
2017.06.19,-117.99999999999588,-225.99999999999287,0.0,-95.00000000000064,-144.00000000000546,,-582.9999999999948
2017.06.19,-113.99999999999189,-53.999999999998494,-120.99999999999511,-70.99999999999883,-109.99999999998522,,-469.99999999996953
2017.06.19,-147.00000000000824,-39.999999999995595,-50.99999999998772,-85.99999999999719,-120.00000000000455,,-443.9999999999933
2017.06.19,-156.00000000000057,2.0000000000131024,24.00000000000091,-81.9999999999932,-115.0000000000091,,-326.99999999998886
2017.06.19,-153.00000000000313,10.000000000021103,61.00000000000705,-80.00000000000229,-145.99999999998658,,-307.99999999996385
2017.06.19,-194.99999999998963,30.0000000000189,79.00000000000773,-96.99999999999153,-293.9999999999827,,-476.99999999993724
2017.06.19,-322.00000000000006,8.000000000008,130.00000000000966,-198.99999999999363,-451.9999999999982,,-834.9999999999742
2017.06.19,-326.0000000000041,3.0000000000196536,168.00000000000637,-193.99999999999417,-478.999999999985,,-827.9999999999573
2017.06.19,-293.99999999999426,20.000000000020002,155.00000000000114,-173.00000000000094,-420.99999999999227,,-712.9999999999663
2017.06.19,-200.00000000000017,19.00000000001345,129.0000000000049,-112.99999999999643,-319.9999999999932,,-484.99999999997146
2017.06.19,-160.00000000000458,17.000000000000348,124.00000000000944,-85.00000000000173,-219.99999999999886,,-323.9999999999954
2017.06.19,-165.9999999999995,14.000000000002899,152.00000000000102,-88.99999999999464,-257.000000000005,,-345.9999999999952
2017.06.19,-188.00000000001037,3.0000000000196536,154.00000000001057,-112.000000000001,-320.99999999999795,,-463.9999999999791
2017.06.19,-224.000000000002,6.000000000017103,203.00000000000296,-134.99999999999625,-397.99999999999613,,-547.9999999999743
2017.06.19,-269.9999999999925,8.000000000008,140.00000000000057,-157.99999999999147,-426.9999999999925,,-706.9999999999679
2017.06.19,-282.0000000000045,26.0000000000149,101.0000000000133,-159.9999999999935,-366.9999999999902,,-681.99999999996
2017.06.19,-265.0000000000041,11.00000000000545,58.000000000006935,-151.9999999999966,-272.99999999999613,,-620.9999999999844
2017.06.19,-289.9999999999903,15.00000000000945,71.00000000001216,-161.99999999999548,-305.9999999999832,,-671.9999999999474
2017.06.19,-283.99999999999534,32.0000000000098,100.00000000000853,-144.99999999999514,-413.99999999998727,,-710.9999999999594
2017.06.19,-286.00000000000847,20.000000000020002,210.00000000000796,-122.99999999999534,-522.9999999999961,,-701.999999999972
2017.06.19,-339.0000000000004,-79.99999999999119,246.00000000000932,-286.99999999999284,-650.999999999982,,-1110.9999999999573
2017.06.19,-530.0000000000082,-184.99999999999073,294.00000000001114,-431.99999999999903,-847.9999999999848,,-1700.9999999999716
2017.06.19,-293.0000000000099,-225.99999999999287,397.00000000000557,-336.9999999999984,-752.0000000000095,,-1211.000000000005
2017.06.19,-306.00000000000625,-254.999999999983,394.00000000000546,-364.9999999999931,-716.0000000000082,,-1247.9999999999852
2017.06.19,-360.0000000000048,-258.99999999998704,379.0000000000049,-417.0000000000007,-796.999999999997,,-1453.9999999999845
2017.06.19,-334.9999999999964,-263.99999999999756,306.0000000000116,-414.9999999999987,-706.9999999999936,,-1414.9999999999748
2017.06.19,-269.00000000000813,-272.99999999998994,339.00000000001285,-370.9999999999991,-623.9999999999952,,-1197.9999999999795
2017.06.19,-113.99999999999189,-274.9999999999808,382.000000000005,-263.99999999999756,-555.0000000000068,,-825.999999999972
2017.06.19,-96.00000000000719,-308.9999999999815,486.0000000000042,-270.99999999999903,-716.9999999999845,,-906.9999999999682
2017.06.19,-99.00000000000463,-318.9999999999804,530.0000000000011,-298.9999999999937,-743.9999999999998,,-930.9999999999773
2017.06.19,-147.99999999999258,-343.99999999998875,432.00000000000216,-300.0000000000003,-730.9999999999945,,-1090.999999999974
2017.06.19,-156.00000000000057,-268.9999999999859,517.0000000000101,-290.9999999999968,-754.9999999999955,,-953.9999999999686
2017.06.19,-97.9999999999981,-261.0000000000001,504.0000000000049,-251.00000000000122,-621.9999999999857,,-727.9999999999802
2017.06.19,-161.99999999999548,-231.99999999998778,428.0000000000115,-246.99999999999721,-639.00000000001,,-851.9999999999791
2017.06.19,-110.00000000001009,-238.99999999998923,509.00000000000034,-243.99999999999977,-665.9999999999968,,-749.9999999999956
2017.06.19,-110.00000000001009,-243.99999999999977,382.000000000005,-249.99999999999466,-649.0000000000009,,-871.0000000000005
2017.06.19,-113.00000000000753,-259.9999999999936,371.9999999999999,-259.9999999999936,-522.9999999999961,,-783.9999999999909
2017.06.19,-26.999999999999247,-280.9999999999979,368.9999999999998,-200.99999999999562,-389.99999999998636,,-529.9999999999793
2017.06.19,-76.0000000000094,-248.99999999998812,375.0,-212.99999999999653,-423.0000000000018,,-585.9999999999959
2017.06.19,-55.000000000005045,-272.99999999998994,429.00000000000205,-219.99999999999798,-512.0000000000005,,-630.9999999999914
2017.06.19,-49.99999999999449,-264.9999999999819,463.0000000000081,-214.99999999999852,-532.999999999987,,-599.9999999999538
2017.06.19,-104.99999999999955,-245.99999999999068,449.0000000000123,-235.99999999999176,-564.9999999999977,,-702.9999999999675
2017.06.19,-80.99999999999774,-252.99999999999213,437.0000000000118,-241.99999999999778,-525.999999999982,,-664.9999999999579
2017.06.19,-89.99999999999008,-253.99999999999866,464.00000000001285,-235.99999999999176,-564.9999999999977,,-680.9999999999654
2017.06.19,-100.0000000000112,-230.9999999999812,460.00000000000796,-237.99999999999378,-582.9999999999984,,-691.9999999999766
2017.06.19,-89.00000000000574,-240.9999999999801,486.0000000000042,-244.99999999999523,-592.9999999999893,,-681.9999999999661
2017.06.19,-93.00000000000975,-245.99999999999068,490.0000000000091,-239.99999999999577,-603.999999999985,,-692.9999999999721
2017.06.19,-110.99999999999443,-244.9999999999841,469.0000000000083,-257.9999999999916,-593.9999999999941,,-738.9999999999559
2017.06.20,-102.00000000000209,-416.9999999999785,368.9999999999998,-266.999999999995,-617.999999999995,,-1034.999999999971
2017.06.20,-121.99999999999989,-308.9999999999815,431.0000000000116,-256.99999999999613,-627.0000000000095,,-883.9999999999754
2017.06.20,-112.000000000001,-247.99999999998158,492.00000000000443,-252.99999999999213,-688.999999999993,,-809.9999999999633
2017.06.20,-109.00000000000354,-236.99999999999832,568.000000000012,-248.99999999999923,-777.9999999999916,,-804.9999999999807
2017.06.20,-113.99999999999189,-247.99999999998158,578.000000000003,-246.00000000000176,-719.9999999999989,,-749.9999999999711
2017.06.20,-113.99999999999189,-233.99999999997868,565.0000000000119,-247.99999999999267,-758.9999999999861,,-789.9999999999375
2017.06.20,-109.00000000000354,-225.99999999999287,599.0000000000038,-239.0000000000003,-780.0000000000011,,-754.9999999999941
2017.06.20,-93.99999999999409,-232.99999999999432,586.0000000000127,-234.99999999999633,-748.9999999999952,,-724.9999999999673
2017.06.20,-86.99999999999264,-230.9999999999812,618.0000000000092,-217.99999999999596,-740.0000000000091,,-657.9999999999698
2017.06.20,-86.0000000000083,-217.99999999998488,625.0,-214.99999999999852,-792.0000000000016,,-685.9999999999933
2017.06.20,-52.99999999999194,-226.99999999999943,645.0000000000102,-193.99999999999417,-734.0000000000089,,-562.9999999999842
2017.06.20,-38.0000000000047,-227.99999999998377,677.0000000000067,-190.99999999999673,-783.9999999999918,,-563.9999999999703
2017.06.20,-38.0000000000047,-217.0000000000005,667.0000000000016,-182.99999999999983,-745.0000000000045,,-516.000000000008
2017.06.20,-55.000000000005045,-222.99999999999542,682.0000000000022,-202.0000000000022,-782.999999999987,,-580.9999999999875
2017.06.20,-56.99999999999594,-227.99999999998377,642.0000000000101,-203.99999999999307,-778.9999999999964,,-625.9999999999591
2017.06.20,-103.00000000000864,-221.99999999998886,648.0000000000103,-221.99999999999997,-778.9999999999964,,-677.9999999999835
2017.06.20,-113.00000000000753,-203.99999999998198,654.0000000000106,-224.9999999999974,-799.999999999983,,-687.9999999999593
2017.06.20,-110.00000000001009,-247.99999999998158,618.0000000000092,-232.99999999999432,-774.0000000000009,,-746.9999999999777
2017.06.20,-63.99999999999739,-241.99999999998667,603.0000000000086,-198.99999999999363,-741.9999999999902,,-643.9999999999593
2017.06.20,-148.99999999999915,-231.99999999998778,602.0000000000039,-252.99999999999213,-795.9999999999923,,-827.9999999999675
2017.06.20,-272.00000000000557,-345.99999999997965,595.0000000000131,-385.99999999999744,-1054.000000000002,,-1462.9999999999716
2017.06.20,-78.00000000000028,-427.99999999998397,639.00000000001,-318.99999999999153,-882.000000000005,,-1067.999999999971
2017.06.20,541.9999999999981,-330.9999999999924,661.0000000000014,138.00000000000477,-139.99999999998636,,870.0000000000255
2017.06.20,395.99999999999636,-333.9999999999899,634.0000000000003,70.0000000000034,-211.9999999999891,,554.0000000000211
2017.06.20,435.0000000000076,-334.9999999999964,671.0000000000065,106.00000000000608,-222.99999999998477,,654.0000000000391
2017.06.20,439.99999999999596,-444.9999999999843,709.0000000000032,46.00000000000159,-294.9999999999875,,455.0000000000289
2017.06.20,577.0000000000052,-422.9999999999956,741.0000000000139,96.00000000000719,-165.99999999999682,,825.0000000000338
2017.06.20,741.9999999999982,-393.99999999998323,669.0000000000111,243.00000000000432,115.0000000000091,,1375.0000000000396
2017.06.20,726.9999999999887,-457.9999999999807,642.0000000000101,228.00000000000597,152.9999999999916,,1292.0000000000157
2017.06.20,731.9999999999993,-482.999999999989,669.0000000000111,162.0000000000066,25.000000000005684,,1105.0000000000339
2017.06.20,798.0000000000098,-474.999999999981,579.0000000000077,204.99999999999963,80.0000000000125,,1187.0000000000487
2017.06.20,827.0,-406.9999999999796,561.000000000007,319.99999999999807,371.0000000000093,,1672.0000000000348
2017.06.20,869.0000000000086,-425.99999999999307,564.0000000000072,324.00000000000205,320.99999999999795,,1652.0000000000227
2017.06.20,910.9999999999951,-449.9999999999948,635.0000000000051,335.0000000000075,349.9999999999943,,1781.0000000000073
2017.06.20,1045.9999999999914,-449.9999999999948,612.000000000009,402.9999999999978,481.9999999999993,,2093.0000000000027
2017.06.20,954.0000000000103,-428.9999999999905,571.0000000000122,350.00000000000585,495.00000000000455,,1941.0000000000423
2017.06.20,954.9999999999948,-444.9999999999843,473.0000000000132,363.0000000000022,520.0000000000102,,1866.0000000000362
2017.06.20,892.9999999999883,-433.99999999997885,361.0000000000042,331.999999999999,584.0000000000032,,1736.000000000016
2017.06.20,899.0000000000053,-436.9999999999985,296.0000000000065,316.0000000000052,748.9999999999952,,1823.0000000000136
2017.06.20,947.9999999999933,-443.99999999999994,296.0000000000065,343.9999999999999,747.0000000000141,,1891.0000000000136
2017.06.20,940.0000000000075,-454.9999999999832,387.00000000000045,324.00000000000205,682.0000000000164,,1878.0000000000432
2017.06.20,927.9999999999955,-443.99999999999994,378.0000000000001,343.00000000000443,728.0000000000086,,1933.0000000000086
2017.06.20,988.9999999999955,-454.9999999999832,393.0000000000007,355.0000000000053,731.9999999999993,,2014.0000000000175
2017.06.20,950.9999999999908,-470.9999999999992,356.00000000000875,336.00000000000296,743.9999999999998,,1916.000000000003
2017.06.20,933.9999999999905,-469.99999999999267,381.0000000000002,309.0000000000037,680.0000000000068,,1834.0000000000084
2017.06.20,917.9999999999966,-466.9999999999952,398.00000000001035,302.0000000000023,665.9999999999968,,1817.000000000011
2017.06.20,936.0000000000035,-462.9999999999912,408.00000000000125,313.00000000000773,664.999999999992,,1859.0000000000134
2017.06.20,933.9999999999905,-454.9999999999832,455.0000000000125,324.00000000000205,651.0000000000105,,1909.0000000000323
2017.06.21,988.9999999999955,-480.99999999999807,404.0000000000106,358.9999999999982,670.9999999999923,,1941.9999999999984
2017.06.21,1015.0000000000103,-471.9999999999835,386.0000000000099,375.0000000000031,730.9999999999945,,2035.0000000000343
2017.06.21,1036.999999999999,-446.9999999999974,448.0000000000075,385.99999999999744,735.0000000000136,,2159.00000000002
2017.06.21,1032.999999999995,-455.99999999998977,402.000000000001,394.00000000000546,745.0000000000045,,2118.0000000000164
2017.06.21,1007.0000000000024,-464.9999999999821,337.0000000000033,360.0000000000048,835.000000000008,,2074.0000000000364
2017.06.21,998.00000000001,-457.9999999999807,318.00000000001205,357.00000000000733,823.0000000000075,,2038.0000000000562
2017.06.21,1025.0000000000093,-475.99999999998755,350.0000000000085,377.0000000000051,805.0000000000068,,2081.0000000000423
2017.06.21,1062.0000000000073,-504.9999999999999,317.0000000000073,397.0000000000029,840.0000000000034,,2111.000000000021
2017.06.21,1114.9999999999993,-482.999999999989,426.00000000000193,423.0000000000067,837.0000000000175,,2318.0000000000364
2017.06.21,1062.9999999999918,-470.9999999999992,392.0000000000101,391.000000000008,832.9999999999984,,2208.000000000009
2017.06.21,1062.0000000000073,-520.9999999999936,398.00000000001035,374.0000000000077,850.9999999999991,,2164.000000000031
2017.06.21,1099.9999999999898,-515.9999999999832,347.0000000000084,385.000000000002,915.9999999999968,,2232.0000000000136
2017.06.21,1080.9999999999986,-506.9999999999908,312.0000000000118,383.0,930.0000000000068,,2199.0000000000264
2017.06.21,1062.0000000000073,-499.9999999999893,292.0000000000016,374.0000000000077,959.0000000000032,,2187.0000000000305
2017.06.21,1052.9999999999927,-509.99999999998823,325.00000000000284,362.00000000000676,944.0000000000168,,2174.000000000031
2017.06.21,1059.9999999999943,-510.99999999999477,328.00000000000296,362.00000000000676,913.0000000000109,,2152.00000000002
2017.06.21,1022.9999999999961,-507.9999999999973,322.00000000000273,336.9999999999984,867.999999999995,,2041.999999999995
2017.06.21,1019.9999999999986,-512.9999999999857,264.00000000001,336.00000000000296,908.0000000000155,,2015.0000000000414
2017.06.21,1045.9999999999914,-520.9999999999936,253.0000000000001,362.00000000000676,991.0000000000139,,2131.000000000018
2017.06.21,1130.0000000000089,-522.9999999999845,324.0000000000123,404.99999999999983,1015.9999999999911,,2352.0000000000273
2017.06.21,1208.9999999999934,-522.9999999999845,202.0000000000124,477.0000000000052,1105.9999999999945,,2471.000000000021
2017.06.21,1326.000000000005,-530.9999999999926,150.00000000000568,563.9999999999978,1429.000000000002,,2938.000000000018
2017.06.21,1265.9999999999893,-553.9999999999878,140.00000000000057,509.00000000000387,1338.9999999999986,,2700.0000000000045
2017.06.21,1275.9999999999882,-539.999999999985,173.00000000000182,514.9999999999987,1299.0000000000066,,2723.00000000001
2017.06.21,1244.0000000000007,-478.999999999985,285.0000000000108,550.000000000006,1152.0000000000152,,2752.0000000000473
2017.06.21,1192.9999999999995,-476.9999999999941,200.00000000000284,497.99999999999847,1227.0000000000039,,2641.000000000011
