date,USDCHF,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.01.07,-118.99999999999133,-58.000000000002494,-70.99999999999795,-4.000000000004,-10.000000000010001,-60.000000000015596,-135.00000000001845,-256.0000000000002,-85.00000000000173,-80.99999999998886,-95.00000000000064,-120.99999999999511,-14.999999999987246,-177.00000000000495,-72.00000000000273,-198.0000000000075,-63.00000000000195,-4.999999999999449,-242.99999999999324,,-1868.0000000000236
2019.01.07,-100.00000000000009,-97.9999999999981,-57.00000000000216,-75.00000000000284,50.99999999998994,-85.00000000000173,-214.00000000000307,-183.9999999999975,-90.99999999999665,-96.99999999997999,-217.99999999998488,-96.9999999999942,110.00000000001009,-190.00000000000128,-83.00000000001262,-163.0000000000109,-36.0000000000027,9.00000000000345,-306.00000000000625,,-1923.9999999999918
2019.01.07,-74.99999999999174,-164.00000000000858,-140.00000000000057,-106.00000000000608,-11.00000000000545,-185.00000000001293,-287.000000000015,-311.9999999999976,-132.99999999999423,-338.99999999999864,-251.00000000000122,-280.00000000000114,97.00000000001374,-197.00000000000273,-78.00000000000296,-148.00000000001035,-10.999999999994348,2.999999999997449,-317.0000000000117,,-2934.000000000045
2019.01.07,-73.99999999999629,-167.00000000000603,-2.0000000000095497,-98.0000000000092,-21.999999999999797,-211.00000000000563,-268.0000000000016,-335.9999999999985,-139.00000000000023,-375.0,-241.99999999998667,-272.00000000000557,60.99999999999994,-104.00000000001519,48.99999999999238,-31.00000000000591,21.999999999999797,12.999999999996348,-285.00000000000193,,-2481.000000000053
2019.01.07,19.999999999997797,-151.9999999999966,-35.0000000000108,-121.00000000000443,-43.00000000000415,-97.9999999999981,-175.00000000001404,-358.99999999999466,-112.99999999999643,-290.9999999999968,-129.99999999998568,-239.99999999999488,7.0000000000014495,-73.99999999999629,46.999999999997044,-38.000000000010914,35.00000000000725,9.999999999998899,-334.00000000001205,,-2084.0000000000136
2019.01.07,26.000000000003798,-174.99999999999181,-18.000000000000682,-107.00000000000153,45.99999999999049,-78.00000000000028,-162.00000000001768,-381.0000000000002,-90.0000000000012,-334.0000000000032,-266.999999999995,-277.000000000001,70.99999999999883,-223.00000000001762,11.999999999986244,-121.00000000000932,-7.9999999999968985,95.99999999999609,-371.00000000001023,,-2361.000000000071
2019.01.07,64.0000000000085,-157.00000000000713,-58.9999999999975,-116.00000000000499,-24.000000000001798,-100.0000000000112,-141.00000000001333,-322.9999999999933,-75.9999999999983,-274.0000000000009,-241.99999999998667,-189.99999999999773,73.00000000001194,-223.00000000001762,0.999999999990564,-118.00000000000921,-7.9999999999968985,34.99999999999615,-263.00000000001324,,-2141.0000000000427
2019.01.07,63.00000000000195,-269.00000000000813,-173.00000000000182,-170.00000000000347,-63.00000000000195,-121.00000000001555,-160.00000000000458,-339.9999999999892,-90.99999999999665,-323.99999999998386,-228.99999999999034,-240.99999999999966,70.99999999999883,-121.00000000001555,-42.00000000000159,-85.00000000000796,29.000000000001247,-4.999999999999449,-300.99999999999574,,-2572.000000000014
2019.01.07,143.9999999999997,-249.99999999999466,-231.99999999999932,-185.00000000000182,-82.00000000000429,-32.0000000000098,-121.00000000001555,-291.9999999999874,-48.99999999999905,-147.99999999999613,-203.99999999998198,-144.99999999999602,110.00000000001009,-155.00000000001623,-69.00000000000261,-150.00000000000568,33.000000000005244,-19.00000000000235,-287.9999999999994,,-2133.9999999999973
2019.01.07,152.00000000000767,-262.00000000000665,-258.0000000000098,-218.00000000000708,-143.9999999999997,-33.00000000001635,-121.99999999999989,-240.99999999999966,-49.99999999999449,-117.999999999995,-137.9999999999937,-96.00000000000364,93.99999999999409,-107.99999999999699,-65.00000000001194,-70.99999999999795,35.00000000000725,-58.99999999999794,-242.00000000000887,,-1944.0000000000307
2019.01.07,150.00000000000568,-261.0000000000001,-413.0000000000109,-157.00000000000713,-111.00000000000554,-43.00000000001525,-113.00000000000753,-170.99999999999227,-49.99999999999449,-19.99999999998181,-194.99999999998963,15.000000000000568,90.00000000001229,-187.00000000000384,-192.00000000000728,-204.9999999999983,-2.000000000002,-29.999999999996696,-209.00000000001472,,-2104.000000000009
2019.01.07,174.00000000000747,-293.0000000000099,-426.00000000000193,-236.00000000000287,-131.00000000000333,-49.00000000001015,-128.000000000017,-89.9999999999892,-46.00000000000159,80.0000000000125,-197.99999999998707,94.99999999999886,120.00000000000898,-77.00000000001594,-178.00000000001148,-185.00000000000227,70.0000000000034,-40.00000000000669,-283.99999999999534,,-1822.0000000000232
2019.01.07,165.9999999999995,-339.0000000000004,-475.0000000000085,-237.00000000000944,-156.00000000000057,-80.99999999999774,-186.0000000000195,-162.9999999999967,-66.99999999999484,-25.999999999982037,-184.99999999999073,-43.99999999999693,116.00000000000499,-89.00000000000574,-210.00000000000796,-210.00000000000796,89.00000000000574,-58.99999999999794,-282.0000000000045,,-2438.000000000011
