timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.08.27 9:55,-1874.9999999999895,,2021.08.23 0:20,1958.99999999996,,2021.08.25 4:30,-5409.000000000007
2021.08.27 9:50,-1957.000000000009,,2021.08.23 0:30,1932.9999999999486,,2021.08.25 0:05,-5370.00000000002
2021.08.27 9:45,-2064.000000000009,,2021.08.23 0:25,1890.9999999999854,,2021.08.25 0:00,-5344.000000000036
2021.08.27 9:40,-1910.0000000000132,,2021.08.23 0:45,1830.9999999999675,,2021.08.25 2:30,-5334.0000000000555
2021.08.27 9:35,-1849.999999999995,,2021.08.23 0:55,1754.99999999997,,2021.08.25 4:35,-5331.000000000039
2021.08.27 9:30,-1878.0000000000134,,2021.08.23 1:20,1645.9999999999923,,2021.08.25 2:25,-5328.000000000014
2021.08.27 9:25,-1811.0000000000355,,2021.08.23 0:50,1633.0000000000127,,2021.08.24 17:55,-5328.000000000006
2021.08.27 9:20,-1802.0000000000518,,2021.08.23 0:35,1623.9999999999839,,2021.08.25 4:40,-5302.000000000011
2021.08.27 9:15,-1781.000000000044,,2021.08.23 1:35,1585.9999999999727,,2021.08.25 0:10,-5284.000000000004
2021.08.27 9:10,-1758.999999999972,,2021.08.23 1:25,1550.9999999999459,,2021.08.25 2:20,-5280.999999999994
2021.08.27 9:05,-1639.0000000000252,,2021.08.23 1:10,1546.99999999998,,2021.08.24 18:10,-5268.000000000049
2021.08.27 9:00,-1582.000000000035,,2021.08.23 1:15,1529.0000000000232,,2021.08.25 1:55,-5259.999999999989
2021.08.27 8:55,-1575.0000000000464,,2021.08.23 1:40,1518.9999999999695,,2021.08.25 4:25,-5259.000000000035
2021.08.27 8:50,-1518.9999999999982,,2021.08.23 0:40,1483.9999999999313,,2021.08.25 2:35,-5259.000000000017
2021.08.27 8:45,-1538.0000000000302,,2021.08.23 0:15,1463.000000000017,,2021.08.25 1:50,-5247.000000000013
2021.08.27 8:40,-1485.0000000000182,,2021.08.23 1:30,1456.9999999999893,,2021.08.25 1:45,-5243.000000000004
2021.08.27 8:35,-1380.9999999999586,,2021.08.23 1:00,1421.9999999999677,,2021.08.24 21:50,-5231.99999999997
2021.08.27 8:30,-1407.0000000000487,,2021.08.23 2:30,1409.0000000000086,,2021.08.25 2:15,-5225.000000000011
2021.08.27 8:25,-1341.9999999999852,,2021.08.23 1:45,1407.999999999967,,2021.08.24 20:00,-5225.000000000007
2021.08.27 8:20,-1259.000000000028,,2021.08.23 2:55,1391.9999999999845,,2021.08.25 4:10,-5224.000000000015
2021.08.27 8:15,-1138.9999999999886,,2021.08.23 2:20,1388.9999999999586,,2021.08.24 18:05,-5220.000000000051
2021.08.27 8:10,-1212.0000000000064,,2021.08.23 1:50,1385.0000000000014,,2021.08.25 4:15,-5219.999999999989
2021.08.27 8:05,-1288.9999999999661,,2021.08.23 2:00,1382.9999999999607,,2021.08.25 0:50,-5213.00000000002
2021.08.27 8:00,-1307.0000000000434,,2021.08.23 1:55,1372.999999999974,,2021.08.25 4:20,-5213.000000000015
2021.08.27 7:55,-1360.0000000000282,,2021.08.23 2:05,1341.999999999969,,2021.08.24 17:50,-5212.999999999993
2021.08.27 7:50,-1316.0000000000246,,2021.08.23 2:25,1332.999999999947,,2021.08.25 2:00,-5208.000000000017
2021.08.27 7:45,-1352.000000000041,,2021.08.23 2:35,1321.000000000011,,2021.08.25 0:55,-5203.0
2021.08.27 7:40,-1301.000000000024,,2021.08.23 1:05,1319.9999999999854,,2021.08.24 18:00,-5196.99999999997
2021.08.27 7:35,-1282.0000000000205,,2021.08.23 2:10,1313.9999999999468,,2021.08.25 0:40,-5196.00000000001
2021.08.27 7:30,-1241.000000000044,,2021.08.23 2:50,1281.9999999999716,,2021.08.25 0:25,-5195.000000000036
2021.08.27 7:25,-1286.0000000000077,,2021.08.23 3:05,1272.9999999999882,,2021.08.25 0:20,-5182.000000000022
2021.08.27 7:20,-1260.0000000000032,,2021.08.23 3:00,1266.9999999999773,,2021.08.25 1:40,-5181.0000000000055
2021.08.27 7:15,-1246.000000000013,,2021.08.23 2:40,1259.9999999999786,,2021.08.24 19:45,-5164.000000000073
2021.08.27 7:10,-1239.0000000000446,,2021.08.23 2:45,1229.0000000000314,,2021.08.25 2:40,-5164.000000000024
2021.08.27 7:05,-1306.9999999999932,,2021.08.23 2:15,1212.9999999999832,,2021.08.25 1:35,-5164.0
2021.08.27 7:00,-1422.0000000000114,,2021.08.23 3:10,1161.9999999999889,,2021.08.24 17:35,-5163.000000000033
2021.08.27 6:55,-1458.999999999959,,2021.08.23 3:15,1131.9999999999484,,2021.08.24 18:15,-5163.000000000013
2021.08.27 6:50,-1477.000000000068,,2021.08.23 3:20,1102.9999999999886,,2021.08.24 21:10,-5156.9999999999845
2021.08.27 6:45,-1444.0000000000496,,2021.08.23 3:25,1102.9999999999504,,2021.08.25 2:05,-5147.999999999991
2021.08.27 6:40,-1400.0000000000039,,2021.08.23 3:30,1041.999999999984,,2021.08.24 21:35,-5146.000000000076
