date,USDCHF,GBPUSD,EURCHF,CADCHF,NZDCHF,GBPJPY,GBPAUD,EURCAD,EURAUD,EURNZD,AUDJPY,empty,sum
2017.06.19,0.0,-60.99999999999994,-13.000000000018552,-107.00000000000153,-146.99999999999713,-144.00000000000546,-21.00000000000435,0.0,-160.00000000000458,0.0,-221.9999999999942,,-875.0000000000257
2017.06.19,18.0000000000069,-126.99999999998823,-54.0000000000207,-168.99999999999693,-165.00000000000404,-109.99999999998522,-109.00000000000354,21.999999999988695,-60.99999999999994,130.0000000000079,-233.99999999999466,,-858.9999999999897
2017.06.19,73.00000000000084,-105.99999999998388,-26.0000000000149,-161.00000000000003,-197.00000000000273,-120.00000000000455,-28.999999999990145,0.0,-60.000000000015596,104.00000000001519,-215.0000000000034,,-736.9999999999991
2017.06.19,87.99999999999919,-29.999999999996696,-32.0000000000098,-167.00000000000603,-170.00000000000347,-115.0000000000091,154.99999999999403,62.99999999999084,61.99999999998429,205.00000000001074,-218.00000000000352,,-159.00000000004954
2017.06.19,87.99999999999919,-26.999999999999247,-33.00000000001635,-153.00000000000313,-200.00000000000017,-145.99999999998658,107.00000000001265,100.99999999999554,39.999999999995595,165.9999999999995,-251.99999999999534,,-308.9999999999983
2017.06.19,91.00000000000774,3.0000000000196536,-47.00000000001925,-141.00000000000225,-253.99999999999866,-293.9999999999827,127.99999999999478,154.99999999999403,56.99999999999594,65.00000000000395,-290.9999999999968,,-527.9999999999835
2017.06.19,106.00000000000608,16.000000000016,-47.00000000001925,-194.0000000000053,-353.99999999999875,-451.9999999999982,219.99999999999798,45.99999999999049,-46.0000000000127,-163.00000000000205,-370.00000000000455,,-1238.0000000000302
2017.06.19,170.99999999999892,-26.999999999999247,-27.00000000002145,-192.00000000000327,-370.00000000000364,-478.999999999985,143.00000000000423,28.999999999990145,-94.00000000001629,-205.99999999999508,-438.0000000000024,,-1490.0000000000332
2017.06.19,162.0000000000066,-34.000000000000696,-36.0000000000138,-175.00000000000293,-492.999999999999,-420.99999999999227,26.999999999999247,78.99999999998464,-188.00000000001037,-470.9999999999992,-462.99999999999386,,-2013.0000000000216
2017.06.19,143.00000000000423,-39.999999999995595,-31.000000000003247,-140.0000000000068,-621.0000000000049,-319.9999999999932,-34.000000000000696,148.99999999999915,-144.0000000000108,-747.9999999999931,-424.99999999999716,,-2211.0000000000023
2017.06.19,136.00000000000279,-52.99999999999194,-39.00000000001125,-148.99999999999915,-570.9999999999993,-219.99999999999886,-36.999999999998145,129.99999999998568,-123.00000000000644,-645.0000000000067,-385.9999999999957,,-1957.000000000019
2017.06.19,136.99999999999824,-68.99999999998573,-36.0000000000138,-168.00000000000148,-512.9999999999968,-257.000000000005,15.00000000000945,71.99999999998319,-29.00000000001235,-512.0000000000014,-364.0000000000043,,-1724.00000000003
2017.06.19,131.99999999999878,-18.999999999991246,-22.0000000000109,-182.99999999999983,-519.0000000000028,-320.99999999999795,102.00000000000209,41.99999999998649,-63.000000000013046,-543.999999999989,-353.9999999999992,,-1749.0000000000168
2017.06.19,134.0000000000008,18.0000000000069,-21.00000000000435,-146.00000000000168,-490.00000000000153,-397.99999999999613,154.99999999999403,104.99999999999955,-17.000000000000348,-478.0000000000006,-358.0000000000041,,-1496.0000000000075
2017.06.19,139.00000000000023,33.00000000001635,-43.00000000001525,-175.00000000000293,-519.9999999999983,-426.9999999999925,205.00000000001074,78.00000000000028,-4.000000000004,-523.9999999999911,-362.99999999999955,,-1600.999999999976
