date,GBPUSD,EURUSD,USDJPY,USDCAD,GBPCHF,EURCHF,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,NZDJPY,empty,sum
2021.06.07,-58.000000000002494,-2.0000000000131024,-171.99999999999704,-80.99999999999774,-180.0000000000024,-221.99999999998886,0.0,0.0,-62.000000000006494,-275.0000000000057,-22.999999999995246,-290.9999999999968,-203.00000000000296,-276.00000000000955,-141.00000000000534,-222.99999999999898,,-2209.0000000000227
2021.06.07,-48.000000000003595,9.999999999998899,-150.99999999999625,14.000000000002899,-197.00000000000273,1.999999999990898,75.9999999999983,73.00000000000084,-53.999999999998494,-212.99999999999386,-48.000000000003595,-289.9999999999903,-93.99999999999409,-178.00000000001148,-91.00000000000819,-210.99999999999852,,-1400.0000000000095
2021.06.07,28.000000000005798,26.999999999999247,-138.9999999999958,12.000000000012001,-53.999999999998494,1.0000000000065512,82.00000000000429,248.00000000000378,-58.99999999999794,-135.99999999999568,82.00000000000429,-312.00000000000114,-49.000000000006594,-224.000000000002,-61.00000000000705,70.99999999999795,,-482.99999999997067
2021.06.07,18.999999999991246,28.999999999990145,-24.999999999991473,80.99999999999774,7.0000000000014495,24.000000000001798,195.00000000000074,324.00000000000205,-60.00000000000449,56.000000000011596,181.9999999999933,-312.00000000000114,50.00000000001137,-231.0000000000034,35.99999999998715,241.99999999999022,,616.9999999999782
2021.06.07,38.0000000000047,34.000000000000696,-4.9999999999954525,63.99999999999739,23.00000000001745,36.999999999998145,197.00000000000273,302.9999999999977,-55.000000000005045,87.99999999999386,180.0000000000024,-329.00000000000153,74.99999999998863,-245.0000000000063,54.99999999999261,219.99999999999886,,679.999999999987
2021.06.07,65.99999999998829,52.99999999999194,10.000000000005116,57.00000000001815,36.0000000000138,48.000000000003595,200.00000000000017,304.00000000000426,-53.00000000000304,127.00000000000955,211.00000000000563,-344.99999999999534,104.99999999998977,-258.0000000000027,66.99999999999307,225.9999999999991,,854.0000000000213
2021.06.07,69.9999999999923,51.000000000001044,-73.99999999999807,38.0000000000047,51.000000000001044,39.00000000001125,185.00000000000182,292.00000000000335,-68.00000000000139,94.99999999999886,215.00000000000963,-344.00000000001097,60.000000000002274,-245.99999999999068,27.000000000001023,179.9999999999926,,571.0000000000189
2021.06.07,73.99999999999629,74.99999999998064,-105.99999999999454,69.00000000000794,56.99999999999594,42.0000000000087,175.00000000000293,271.9999999999945,-67.00000000000594,56.000000000011596,292.00000000000335,-391.000000000008,24.00000000000091,-299.00000000000483,-30.000000000001137,159.9999999999966,,402.99999999998494
2021.06.07,2.999999999997449,34.99999999998504,-29.999999999986926,104.99999999999955,19.00000000001345,52.000000000007596,184.00000000000637,280.9999999999979,-91.00000000000774,56.000000000011596,198.99999999999363,-354.9999999999942,39.00000000001569,-304.9999999999997,6.999999999990791,161.00000000000136,,360.0000000000319
2021.06.07,-109.00000000000354,7.0000000000014495,-24.999999999991473,119.00000000000244,-82.99999999998863,41.000000000002146,129.9999999999968,273.000000000001,-131.99999999999878,-87.99999999999386,139.00000000000023,-324.9999999999975,28.999999999996362,-319.0000000000026,-52.00000000000671,156.99999999999648,,-237.99999999998613
