date,USDCHF,USDJPY,USDCAD,GBPCHF,EURGBP,EURNZD,AUDJPY,AUDCAD,empty,sum
2021.01.25,73.99999999999629,36.000000000001364,227.99999999998377,-161.99999999999548,63.99999999999739,121.00000000001555,34.000000000006025,-130.0000000000079,,264.999999999997
2021.01.25,129.9999999999968,36.000000000001364,197.00000000000273,-194.0000000000053,62.99999999999084,200.00000000000017,46.999999999997044,-50.0000000000056,,428.99999999997806
2021.01.25,119.99999999999788,28.999999999996362,181.9999999999933,-255.00000000000523,23.999999999990695,-2.999999999997449,-48.99999999999238,-184.00000000000637,,-136.0000000000232
2021.01.25,137.9999999999937,15.999999999991132,208.99999999999253,-286.99999999999284,35.999999999991594,43.999999999999595,13.00000000000523,-144.0000000000108,,24.999999999970157
2021.01.25,127.99999999999478,0.0,132.99999999998312,-293.0000000000099,55.99999999998939,-129.99999999998568,-73.99999999999807,-209.00000000000364,,-389.00000000003
2021.01.25,113.99999999999189,36.99999999999193,106.99999999999044,-259.0000000000092,43.999999999999595,-224.99999999998633,-84.99999999999375,-166.00000000001057,,-433.00000000002603
2021.01.25,176.99999999999383,80.99999999998886,167.9999999999904,-334.00000000001205,19.999999999997797,-231.0000000000034,-75.00000000000284,-157.00000000000713,,-351.00000000005457
2021.01.25,164.99999999999292,63.99999999999295,163.9999999999864,-297.9999999999983,37.99999999999359,-217.99999999998488,-51.9999999999925,-144.0000000000108,,-281.00000000002063
2021.01.25,147.99999999999258,9.000000000000341,78.99999999998464,-343.00000000000443,18.999999999991246,-390.9999999999858,-100.99999999999909,-190.00000000000128,,-770.0000000000217
2021.01.25,127.99999999999478,1.9999999999953388,7.0000000000014495,-397.0000000000029,-26.000000000003798,-468.00000000000176,-164.99999999999204,-221.99999999999997,,-1141.0000000000089
2021.01.25,100.00000000000009,-7.000000000005002,0.0,-397.0000000000029,-8.000000000008,-409.99999999999926,-173.00000000000182,-234.00000000000088,,-1129.0000000000177
2021.01.25,98.99999999999353,-16.000000000005343,-1.0000000000065512,-378.999999999996,-7.0000000000014495,-442.9999999999934,-164.99999999999204,-228.00000000000597,,-1140.0000000000073
2021.01.25,74.99999999999174,-36.000000000001364,-59.000000000009045,-377.0000000000051,-5.000000000010552,-482.999999999989,-224.99999999999432,-279.00000000000705,,-1389.0000000000248
2021.01.25,106.99999999999044,-9.000000000000341,-23.00000000001745,-405.9999999999952,-15.00000000000945,-419.9999999999982,-215.0000000000034,-268.0000000000016,,-1249.0000000000352
2021.01.25,89.99999999999008,-59.00000000001171,-90.00000000001229,-449.9999999999948,-47.00000000000814,-506.9999999999908,-221.00000000000364,-268.0000000000016,,-1552.000000000033
