date,USDCHF,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2015.06.15,-80.99999999999774,-15.999999999993797,-36.999999999998145,-148.99999999999915,0.0,-51.99999999998539,-1.0000000000047748,-29.999999999996696,0.0,-36.999999999998145,-104.99999999999955,-259.00000000001455,-70.0000000000145,-262.9999999999768,-56.99999999999594,-224.000000000002,-49.99999999999716,-13.00000000000523,-63.00000000000195,-222.99999999999542,,-1729.9999999999773
2015.06.15,-112.99999999999643,-7.0000000000014495,-102.00000000000209,-146.99999999999713,28.000000000005798,-90.99999999999665,46.999999999997044,-49.99999999999449,15.999999999993797,-21.999999999999797,-46.00000000000159,-355.0000000000182,-218.00000000000708,-198.99999999998386,-70.99999999999883,-125.99999999998168,-15.000000000000568,15.000000000000568,-53.00000000000304,-187.00000000000384,,-1695.9999999999895
2015.06.15,-73.00000000000084,17.000000000000348,-8.000000000008,-44.99999999999504,-17.000000000000348,-124.99999999999733,123.99999999999523,-70.99999999999883,-48.000000000003595,-4.999999999999449,-26.999999999999247,-418.00000000000637,-540.9999999999915,-207.9999999999984,86.99999999999264,-295.99999999998516,33.999999999991815,57.00000000000216,60.99999999999994,-127.99999999999478,,-1629.9999999999966
2015.06.15,-78.99999999999574,53.00000000001415,-42.0000000000087,9.999999999998899,-22.999999999995246,-122.99999999998423,250.0,-61.999999999995396,-104.00000000000409,-33.000000000005244,-43.999999999999595,-463.0000000000223,-667.0000000000176,-295.99999999999227,259.0000000000092,-426.9999999999996,103.9999999999992,40.99999999999682,112.99999999999643,-103.99999999999298,,-1636.9999999999984
2015.06.15,-70.99999999999883,43.999999999999595,-34.000000000000696,33.000000000005244,-22.999999999995246,-121.99999999999989,231.99999999999932,-68.99999999999685,-94.00000000000519,-12.000000000000899,-47.00000000000814,-426.00000000001614,-679.0000000000074,-281.99999999998226,354.9999999999942,-393.99999999998323,122.99999999999045,54.000000000002046,174.99999999999181,-54.99999999998284,,-1291.999999999995
2015.06.15,-17.999999999995797,11.00000000000545,-8.999999999992347,58.000000000002494,-12.999999999996348,-156.00000000000057,181.0000000000116,-87.99999999999919,-70.99999999999883,27.999999999994696,-21.999999999999797,-375.0,-683.9999999999957,-219.99999999999886,317.0000000000117,-295.99999999998516,112.99999999999955,69.00000000000261,165.9999999999995,-45.99999999999049,,-1054.9999999999254
2015.06.15,-17.999999999995797,29.999999999996696,12.999999999996348,92.00000000000318,-80.00000000000229,-518.9999999999806,-63.99999999999295,-290.00000000000136,-109.00000000000354,51.99999999999649,-68.00000000000139,-516.0000000000196,-983.0000000000006,-366.9999999999902,448.000000000004,-481.99999999998244,146.99999999999136,60.99999999999284,241.99999999999778,26.999999999999247,,-2383.9999999999927
2015.06.15,163.99999999999747,22.0000000000109,41.000000000002146,151.00000000000114,-134.0000000000008,-517.9999999999962,-61.00000000000705,-285.9999999999974,-53.999999999998494,29.999999999996696,-77.00000000000485,-524.0000000000009,-883.0000000000116,-424.99999999998295,531.9999999999991,-617.0000000000009,182.00000000000216,27.999999999991587,261.99999999999557,-24.999999999986144,,-2191.999999999991
2015.06.15,151.9999999999966,-31.000000000003247,69.9999999999923,190.00000000000128,-187.9999999999993,-373.00000000000114,87.99999999999386,-221.99999999999997,-68.99999999999685,31.999999999998696,-92.00000000000318,-528.9999999999964,-886.9999999999934,-423.9999999999782,536.0000000000032,-639.9999999999961,200.9999999999934,3.0000000000001137,259.9999999999936,-103.99999999999298,,-2026.9999999999875
2015.06.15,238.0000000000049,-187.99999999998818,113.99999999999189,158.0000000000026,-249.99999999999466,-590.0000000000016,-125.0,-304.9999999999997,17.999999999995797,58.99999999999794,-82.99999999999974,-472.0000000000084,-737.9999999999942,-377.9999999999859,353.0000000000033,-566.9999999999842,150.99999999999625,-67.00000000000728,202.9999999999976,-153.9999999999875,,-2622.999999999961
