date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,NZDCHF,GBPCAD,EURJPY,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.07.06,-75.9999999999983,-51.99999999998539,-308.9999999999975,-39.00000000001125,-43.999999999999595,-170.99999999999892,-79.99999999999119,-152.99999999999204,-258.0000000000027,-19.99999999998181,-519.0000000000028,-210.99999999999852,-254.99999999999545,-73.99999999999629,-227.99999999999488,-246.99999999999721,,-2735.999999999944
2015.07.06,-148.0000000000037,-105.99999999998388,-222.99999999999898,-83.00000000001084,-75.00000000000284,-63.99999999999739,-127.99999999999478,-60.99999999999994,-219.99999999999798,-68.9999999999884,-215.00000000000963,-132.99999999999557,-108.00000000000409,-63.99999999999739,-83.9999999999952,-146.00000000000168,,-1926.999999999982
2015.07.06,-158.99999999999804,-5.999999999994898,-454.9999999999983,-114.0000000000141,-146.00000000000168,-63.99999999999739,-114.99999999999844,-209.9999999999991,-409.0000000000149,-91.99999999998454,-878.000000000001,-420.99999999999227,-334.99999999999375,-158.99999999999804,-173.9999999999964,-56.99999999999594,,-3793.9999999999786
2015.07.06,-55.000000000005045,326.0000000000041,-403.0000000000058,-26.0000000000149,104.00000000000409,118.00000000000699,242.99999999999324,133.00000000000534,-324.0000000000132,787.0000000000061,-417.0000000000007,-349.9999999999943,353.9999999999992,100.99999999999554,141.00000000000225,-11.999999999989797,,719.9999999999932
2015.07.06,22.999999999995246,400.00000000000034,-385.0000000000051,7.999999999985796,121.00000000000443,196.00000000000728,242.99999999999324,165.00000000000404,-290.9999999999968,849.000000000018,-297.0000000000139,-359.99999999999943,447.00000000000273,124.00000000000189,209.9999999999991,-79.00000000000685,,1373.99999999999
2015.07.06,-129.9999999999968,114.0000000000141,-438.0000000000024,-168.99999999999693,55.000000000005045,140.0000000000068,131.99999999999878,174.00000000000747,-401.00000000000693,604.0000000000134,-222.00000000001108,-301.9999999999925,420.0000000000017,129.9999999999968,234.99999999999633,-4.000000000004,,338.0000000000298
2015.07.06,-143.9999999999997,137.00000000000932,-605.9999999999945,-150.00000000000568,85.00000000000173,162.0000000000066,178.99999999999582,185.00000000000182,-401.00000000000693,618.9999999999998,-266.0000000000107,-475.9999999999991,475.0000000000085,198.99999999999363,212.00000000000108,-126.0000000000039,,83.99999999999775
2015.07.06,-46.999999999997044,350.00000000000585,-605.9999999999945,-70.99999999999883,285.9999999999974,220.00000000000907,270.99999999999903,221.99999999999997,-326.0000000000041,1026.0000000000105,-208.00000000000819,-468.9999999999941,588.0000000000081,385.99999999999744,297.9999999999983,-191.99999999999218,,1728.0000000000368
2015.07.06,-19.999999999997797,400.00000000000034,-712.0000000000033,-109.00000000000354,246.99999999999721,217.0000000000005,283.99999999999534,170.99999999999892,-363.0000000000022,1021.000000000015,-503.000000000009,-560.9999999999928,566.0000000000025,363.0000000000022,277.000000000005,-170.99999999998784,,1107.0000000000205
2015.07.06,-39.00000000000014,608.0000000000085,-721.0000000000036,-121.00000000001555,271.9999999999945,125.00000000000844,394.00000000000546,104.00000000000409,-426.9999999999996,1431.0000000000116,-828.0000000000065,-560.9999999999928,548.0000000000018,358.9999999999982,182.99999999999983,-276.9999999999939,,1050.0000000000202
2015.07.06,-56.0000000000005,563.0000000000024,-706.0000000000031,-148.99999999999915,80.00000000000229,121.00000000000443,476.0000000000098,143.00000000000423,-540.0000000000072,1386.000000000024,-740.0000000000073,-479.99999999998977,519.0000000000055,188.9999999999947,212.00000000000108,-269.00000000000813,,749.0000000000334
2015.07.06,-92.00000000000318,604.0000000000045,-671.0000000000065,-173.00000000000094,100.00000000000009,127.00000000001043,514.9999999999987,141.00000000000225,-520.0000000000093,1360.0000000000136,-740.0000000000073,-440.9999999999883,519.999999999996,226.99999999999943,243.99999999999977,-107.99999999999699,,1093.0000000000125
2015.07.06,-153.99999999999858,513.0000000000078,-611.9999999999948,-165.00000000001512,26.000000000003798,133.00000000000534,503.000000000009,187.9999999999993,-511.000000000017,1249.0000000000236,-666.000000000011,-391.9999999999959,501.0000000000048,131.00000000000333,243.99999999999977,-123.99999999999079,,864.0000000000335
2015.07.06,-155.00000000000514,509.00000000000387,-620.0000000000045,-165.00000000001512,29.999999999996696,141.00000000000225,544.9999999999955,228.00000000000597,-466.9999999999952,1165.0000000000205,-575.9999999999987,-403.99999999999636,480.000000000004,149.99999999999457,248.99999999999923,39.00000000001125,,1149.0000000000186
2015.07.06,-141.99999999999767,548.0000000000151,-513.9999999999958,-161.00000000001114,-39.00000000000014,142.00000000000878,574.0000000000078,204.99999999999963,-468.00000000000176,1139.00000000001,-674.000000000019,-303.99999999998784,408.00000000000125,36.0000000000027,217.99999999999596,87.99999999999919,,1056.000000000027
2015.07.06,-153.00000000000313,446.0000000000131,-399.0000000000009,-154.0000000000097,-85.00000000000173,50.0000000000056,453.99999999999886,131.00000000000333,-451.0000000000014,896.000000000015,-767.0000000000066,-272.99999999999613,248.00000000000466,-12.999999999996348,133.00000000000534,34.000000000000696,,97.0000000000305
2015.07.06,-151.00000000000114,307.00000000001285,-352.00000000000387,-182.99999999999983,-126.0000000000039,3.0000000000085514,356.00000000000074,78.00000000000028,-582.0000000000158,600.9999999999991,-816.0000000000167,-190.9999999999883,123.99999999999523,-55.000000000005045,89.00000000000574,14.000000000002899,,-884.0000000000093
