date,EURCHF,AUDJPY,empty,sum
2016.05.23,-248.99999999998812,-0.999999999990564,,-249.99999999997868
2016.05.23,-275.000000000003,94.0000000000083,,-180.9999999999947
2016.05.23,-276.9999999999939,112.00000000000898,,-164.99999999998494
2016.05.23,-272.00000000000557,143.00000000000068,,-129.0000000000049
2016.05.23,-292.9999999999877,108.00000000000409,,-184.99999999998363
2016.05.23,-326.0000000000041,-4.9999999999954525,,-330.99999999999955
2016.05.23,-340.9999999999913,-91.99999999999875,,-432.99999999999005
2016.05.23,-333.9999999999899,-54.99999999999261,,-388.9999999999825
2016.05.23,-320.9999999999935,-193.9999999999884,,-514.9999999999819
2016.05.23,-307.99999999999716,-182.99999999999272,,-490.9999999999899
2016.05.23,-319.0000000000026,-110.99999999999,,-429.9999999999926
2016.05.23,-302.9999999999866,-75.9999999999934,,-378.99999999998
2016.05.23,-285.00000000000193,-18.999999999991246,,-303.9999999999932
2016.05.23,-314.99999999999864,77.00000000001239,,-237.99999999998624
2016.05.23,-283.99999999999534,157.0000000000107,,-126.99999999998465
2016.05.23,-295.0000000000008,161.00000000000136,,-133.99999999999943
2016.05.23,-295.99999999998516,142.00000000001012,,-153.99999999997505
2016.05.23,-255.00000000000523,17.000000000010118,,-237.9999999999951
2016.05.23,-266.999999999995,3.0000000000001137,,-263.9999999999949
2016.05.23,-241.99999999998667,-74.99999999998863,,-316.99999999997533
2016.05.23,-246.99999999999721,-446.9999999999885,,-693.9999999999857
2016.05.23,-234.99999999998522,-426.9999999999925,,-661.9999999999777
2016.05.23,-251.99999999998556,-454.9999999999983,,-706.9999999999839
2016.05.23,-244.9999999999841,-358.99999999999466,,-603.9999999999787
2016.05.23,-266.999999999995,-416.9999999999874,,-683.9999999999824
2016.05.23,-222.99999999999542,-608.9999999999947,,-831.9999999999901
2016.05.23,-153.9999999999875,-643.0000000000007,,-796.9999999999882
2016.05.23,-126.0000000000039,-579.9999999999983,,-706.0000000000022
2016.05.23,-112.99999999998533,-619.9999999999903,,-732.9999999999757
2016.05.23,-185.99999999999727,-554.9999999999926,,-740.9999999999899
2016.05.23,-180.0000000000024,-667.9999999999922,,-847.9999999999945
2016.05.23,-153.9999999999875,-671.999999999997,,-825.9999999999845
2016.05.23,-136.99999999998712,-667.9999999999922,,-804.9999999999793
2016.05.23,-95.999999999985,-701.9999999999982,,-797.9999999999832
2016.05.23,-131.99999999999878,-600.9999999999991,,-732.9999999999978
2016.05.23,-200.00000000000017,-644.999999999996,,-844.9999999999961
2016.05.23,-225.99999999999287,-664.999999999992,,-890.9999999999849
2016.05.23,-221.00000000000452,-660.9999999999872,,-881.9999999999917
2016.05.23,-136.00000000000279,-646.9999999999914,,-782.9999999999941
2016.05.23,-109.00000000000354,-613.9999999999901,,-722.9999999999936
2016.05.23,-173.00000000000094,-692.9999999999978,,-865.9999999999987
2016.05.23,-197.00000000000273,-680.9999999999974,,-878.0000000000001
2016.05.23,-153.00000000000313,-671.999999999997,,-825.0000000000002
2016.05.23,-163.00000000000205,-662.9999999999967,,-825.9999999999987
2016.05.23,-140.99999999999113,-656.9999999999965,,-797.9999999999876
