date,EURCHF,AUDJPY,empty,sum
2016.05.23,-225.99999999999287,179.00000000000205,,-46.99999999999082
2016.05.23,-229.99999999999687,126.00000000000477,,-103.9999999999921
2016.05.23,-244.9999999999841,149.0000000000009,,-95.9999999999832
2016.05.23,-259.9999999999936,162.00000000000614,,-97.99999999998744
2016.05.23,-278.9999999999848,121.00000000000932,,-157.9999999999755
2016.05.23,-326.0000000000041,3.0000000000001137,,-323.000000000004
2016.05.23,-323.99999999999096,-33.00000000000125,,-356.9999999999922
2016.05.23,-286.99999999999284,-6.000000000000227,,-292.99999999999307
2016.05.23,-248.00000000000378,-134.00000000000034,,-382.0000000000041
2016.05.23,-302.9999999999866,-91.99999999999875,,-394.99999999998533
2016.05.23,-295.99999999998516,-66.99999999999307,,-362.99999999997823
2016.05.23,-282.9999999999888,-15.999999999991132,,-298.99999999997993
2016.05.23,-272.00000000000557,109.00000000000887,,-162.9999999999967
2016.05.23,-253.99999999999866,168.00000000000637,,-85.9999999999923
2016.05.23,-275.000000000003,192.00000000000728,,-82.99999999999574
2016.05.23,-268.9999999999859,209.00000000000318,,-59.99999999998272
2016.05.23,-248.00000000000378,171.00000000000648,,-76.9999999999973
2016.05.23,-251.99999999998556,43.00000000000637,,-208.9999999999792
2016.05.23,-221.00000000000452,79.00000000000773,,-141.9999999999968
2016.05.23,-234.99999999998522,-69.99999999999318,,-304.9999999999784
2016.05.23,-231.99999999998778,-387.00000000000045,,-618.9999999999882
2016.05.23,-197.00000000000273,-368.9999999999998,,-566.0000000000025
2016.05.23,-211.99999999998997,-277.000000000001,,-488.999999999991
2016.05.23,-217.0000000000005,-337.99999999999386,,-554.9999999999943
2016.05.23,-202.9999999999976,-412.9999999999967,,-615.9999999999943
2016.05.23,-150.00000000000568,-533.0000000000013,,-683.0000000000069
2016.05.23,-72.0000000000054,-555.9999999999974,,-628.0000000000027
2016.05.23,-80.99999999999774,-546.999999999997,,-627.9999999999948
2016.05.23,-109.00000000000354,-545.9999999999923,,-654.9999999999958
2016.05.23,-156.00000000000057,-477.99999999999443,,-633.999999999995
2016.05.23,-123.99999999999079,-650.9999999999962,,-774.999999999987
2016.05.23,-126.0000000000039,-655.9999999999917,,-781.9999999999956
2016.05.23,-55.99999999998939,-658.9999999999918,,-714.9999999999812
2016.05.23,-72.99999999998974,-512.999999999991,,-585.9999999999808
2016.05.23,-122.99999999998423,-519.999999999996,,-642.9999999999802
2016.05.23,-194.0000000000053,-641.9999999999959,,-836.0000000000011
2016.05.23,-211.99999999998997,-490.99999999999966,,-702.9999999999897
2016.05.23,-133.99999999998968,-644.999999999996,,-778.9999999999857
2016.05.23,-104.99999999999955,-584.9999999999937,,-689.9999999999933
