,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,GBPUSD,10,['GBPAUD'],80.0,-0.4273337301587251,S
1,1,EURUSD,50,"['USDCHF', 'EURJPY', 'CADCHF', 'NZDCHF', 'EURUSD']",80.0,-0.9557996908646903,S
2,2,USDJPY,20,"['CADCHF', 'AUDCAD', 'AUDUSD']",80.0,-0.33800810203684917,S
3,3,USDCAD,10,"['AUDCAD', 'EURAUD', 'AUDCHF', 'GBPAUD', 'AUDUSD', 'NZDUSD', 'EURNZD']",100.0,0.9996,B
4,4,AUDUSD,20,"['GBPAUD', 'EURAUD', 'EURCHF', 'CADCHF', 'EURCAD', 'NZDCAD', 'AUDCHF']",80.0,-0.309,S
5,5,NZDUSD,15,"['GBPAUD', 'NZDUSD']",80.0,-0.99872,S
6,6,GBPCHF,50,"['NZDCHF', 'GBPCHF', 'AUDCHF', 'CADCHF']",80.0,-0.6023145397335825,S
7,7,EURCHF,20,['USDCHF'],80.0,0.09294493057681952,B
8,8,CHFJPY,30,"['EURJPY', 'EURUSD', 'CADCHF', 'USDCHF', 'CHFJPY', 'GBPJPY']",100.0,0.6698164285714286,B
9,9,CADCHF,30,"['EURCHF', 'EURCAD', 'AUDCAD', 'EURUSD', 'USDJPY', 'CADJPY']",100.0,0.9581666666666666,B
10,10,NZDCHF,10,['NZDCAD'],80.0,0.334637896825398,B
11,11,EURGBP,10,"['EURUSD', 'AUDUSD', 'NZDUSD']",80.0,0.7887,B
12,12,GBPJPY,10,"['EURUSD', 'USDCHF', 'CADCHF', 'GBPJPY', 'CHFJPY', 'EURJPY']",100.0,-0.2068,S
13,13,GBPCAD,10,"['GBPCAD', 'GBPJPY']",100.0,0.3285,B
14,14,GBPAUD,50,"['USDCHF', 'EURCAD', 'AUDJPY']",100.0,-0.8173981580446855,S
15,15,EURJPY,20,"['GBPCHF', 'EURJPY', 'NZDJPY']",100.0,0.8092019880119944,B
16,16,EURCAD,15,"['AUDCHF', 'AUDCAD']",80.0,0.5031541403041305,B
17,17,EURNZD,15,"['NZDCAD', 'AUDNZD']",80.0,-0.8419775560550483,S
18,18,CADJPY,20,"['CADCHF', 'AUDCAD', 'AUDUSD']",80.0,-0.33455907953157704,S
19,19,AUDJPY,10,['CADCHF'],80.0,-0.3318438095238088,S
20,20,NZDJPY,15,['CADCHF'],80.0,-0.2530293034743069,S
21,21,NZDCAD,10,"['GBPCAD', 'NZDCAD', 'EURCAD', 'GBPCHF']",80.0,-0.54748682539682,S
22,22,AUDNZD,10,"['GBPCAD', 'USDCHF', 'GBPCHF', 'NZDCAD', 'EURCAD', 'NZDCHF']",80.0,0.2663,B
