date,USDCHF,GBPUSD,EURUSD,USDCAD,GBPCHF,CHFJPY,AUDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,AUDCAD,empty,sum
2016.02.15,-134.99999999999625,-175.00000000001404,0.0,-22.0000000000109,-63.99999999999739,-4.0000000000048885,-25.00000000000835,-174.00000000000747,-229.99999999999687,-15.000000000000568,-253.99999999999866,-240.00000000001796,0.0,-129.9999999999968,,-1468.0000000000502
2016.02.15,-38.0000000000047,-160.00000000000458,-41.99999999998649,68.99999999998573,73.00000000001194,140.00000000000057,-13.00000000000745,-126.99999999999933,48.99999999996574,31.00000000000591,-276.9999999999939,-158.0000000000137,33.00000000000125,-165.9999999999995,,-586.0000000000385
2016.02.15,51.000000000001044,-303.0000000000088,-102.00000000000209,-51.000000000001044,283.000000000011,225.9999999999991,75.9999999999983,-73.00000000000084,30.999999999981043,133.00000000000978,-171.99999999999437,27.999999999983594,170.99999999999227,-202.0000000000022,,95.99999999996689
2016.02.15,104.99999999999955,-303.0000000000088,-182.99999999999983,-119.00000000000244,453.0000000000145,272.99999999999613,174.99999999999181,65.99999999999939,152.99999999998093,62.00000000001182,141.99999999999767,365.99999999999966,265.99999999999113,-161.00000000000003,,1294.9999999999716
2016.02.15,58.000000000002494,-303.0000000000088,-163.00000000000205,-162.00000000001768,314.00000000001427,126.99999999999534,151.00000000000114,-21.999999999999797,-89.00000000000574,-51.00000000000193,141.99999999999767,302.0000000000023,167.0000000000016,-182.99999999999983,,287.9999999999789
2016.02.15,29.999999999996696,-256.00000000001177,-103.99999999999298,-161.00000000001114,331.999999999999,63.00000000000239,169.99999999999238,-1.0000000000065512,-171.00000000001003,-126.99999999999534,157.00000000000713,133.99999999998968,144.99999999999602,-195.9999999999962,,14.999999999959243
2016.02.15,39.00000000000014,-270.00000000001467,-45.99999999999049,-260.0000000000158,321.0000000000157,87.99999999999386,173.9999999999964,-30.000000000007798,-476.0000000000098,-117.999999999995,120.99999999999334,209.9999999999991,140.99999999999113,-271.9999999999945,,-378.0000000000384
2016.02.15,51.99999999999649,-276.00000000000955,-132.99999999998312,-313.00000000000773,389.0000000000171,197.00000000000273,256.99999999999613,-3.0000000000085514,-401.00000000000693,54.000000000002046,238.99999999998923,434.000000000001,281.9999999999965,-273.000000000001,,504.9999999999844
2016.02.15,100.00000000000009,-277.00000000001614,-176.99999999998272,-274.00000000001864,445.0000000000065,179.00000000000205,153.99999999999858,21.999999999999797,-385.0000000000353,50.00000000001137,219.99999999999798,170.00000000000347,301.9999999999925,-253.0000000000032,,275.99999999995634
2016.02.15,185.99999999999727,-253.00000000001432,-173.00000000000094,-356.00000000000074,573.0000000000013,248.99999999999523,380.999999999998,69.9999999999923,-677.0000000000387,121.99999999999989,337.99999999999386,541.9999999999981,402.000000000001,-375.0000000000031,,1028.999999999919
