date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2016.06.06,-73.00000000000084,-59.99999999999339,-176.99999999998272,-180.00000000000682,-74.00000000000739,-72.99999999998974,-69.00000000000794,-125.0,-70.0000000000034,-39.999999999995595,-39.999999999995595,-4.9999999999954525,-1.999999999990898,-112.99999999998533,-107.00000000001265,-164.99999999999204,-176.00000000000193,-63.00000000000239,-114.00000000000298,-173.9999999999964,,-1899.9999999999634
2016.06.06,-11.00000000000545,-131.99999999999878,-127.99999999999478,-129.0000000000049,-72.0000000000054,-90.99999999999665,68.00000000000139,-58.9999999999975,-19.999999999997797,25.00000000000835,7.0000000000014495,-7.000000000005002,116.00000000000499,235.00000000000742,136.00000000000279,-125.0,-150.99999999999625,0.0,-41.9999999999976,-151.9999999999966,,-531.9999999999703
2016.06.06,-80.00000000000229,-144.99999999999514,-146.99999999998602,-91.00000000000819,-133.00000000000534,-124.99999999999733,46.999999999997044,67.99999999999784,-82.00000000000429,35.00000000000725,4.000000000004,-275.99999999998204,107.00000000001265,272.00000000000557,198.99999999999363,-54.000000000002046,-107.99999999998988,-123.99999999999523,-7.9999999999968985,-121.00000000000443,,-761.9999999999512
2016.06.06,-123.00000000000644,-64.99999999998174,-42.999999999993044,117.999999999995,-180.0000000000024,-207.00000000000162,68.00000000000139,191.99999999999307,-117.00000000000044,80.00000000000229,-21.999999999999797,-335.9999999999843,93.00000000000975,558.0000000000141,331.999999999999,117.00000000000443,-103.9999999999992,-180.00000000000682,117.00000000000044,-90.99999999999665,,207.000000000047
2016.06.06,-168.00000000000148,33.00000000001635,-22.999999999995246,40.99999999999682,-219.00000000000253,-72.99999999998974,51.000000000001044,45.000000000001705,-138.00000000000477,59.000000000009045,41.9999999999976,-138.99999999998158,-1156.999999999986,-802.9999999999982,313.99999999999204,-10.99999999999568,-190.9999999999883,-138.9999999999958,92.00000000000318,-92.99999999999864,,-2476.9999999999204
2016.06.06,-142.00000000000878,753.0000000000036,16.000000000016,-115.0000000000091,-289.0000000000059,640.0000000000183,-52.000000000007596,-61.99999999999761,-75.00000000000284,121.99999999999989,390.99999999999693,623.9999999999952,-998.9999999999943,-626.9999999999998,392.9999999999989,-152.00000000000102,-375.99999999999056,-25.99999999999625,117.99999999999588,-95.99999999999609,,46.00000000001491
2016.06.06,-135.00000000000733,578.0000000000118,4.000000000004,48.99999999999238,-333.0000000000055,477.0000000000163,-53.999999999998494,192.99999999999784,-48.99999999999905,175.00000000000293,278.9999999999959,289.0000000000157,-705.0000000000001,-238.0000000000049,445.99999999999085,-18.000000000000682,-232.99999999998988,-114.00000000000432,139.99999999999568,-80.00000000000229,,671.0000000000108
2016.06.06,-133.00000000000534,643.0000000000158,60.99999999999994,-22.00000000000557,-424.00000000000216,494.00000000001666,-7.0000000000014495,52.99999999999727,7.0000000000014495,261.0000000000001,299.00000000000483,314.9999999999977,-556.0000000000009,97.9999999999981,619.9999999999983,-125.0,-461.9999999999891,-19.000000000005457,219.00000000000253,-68.00000000000139,,1254.0000000000216
2016.06.06,-114.00000000000298,652.0000000000082,47.00000000001925,-3.0000000000001137,-446.9999999999974,516.0000000000053,-1.999999999990898,69.99999999999318,10.999999999994348,261.0000000000001,312.9999999999966,399.0000000000009,-495.000000000001,148.99999999999915,620.9999999999827,-109.99999999999943,-441.99999999999307,-99.00000000000375,214.99999999999852,-167.00000000000603,,1375.0000000000036
2016.06.06,-109.00000000000354,676.0000000000099,39.00000000001125,84.99999999999375,-517.0000000000008,555.0000000000166,-9.999999999998899,159.9999999999966,29.000000000001247,355.0000000000053,332.99999999999443,503.0000000000143,-635.9999999999922,242.00000000000887,822.9999999999959,-60.99999999999284,-468.9999999999941,3.0000000000001137,330.9999999999924,-55.000000000005045,,2277.000000000053
2016.06.06,-131.00000000000333,733.0000000000059,60.99999999999994,156.99999999999648,-496.00000000000756,575.0000000000144,-12.999999999996348,218.9999999999941,-34.000000000000696,356.00000000000074,339.99999999999585,503.0000000000143,-666.9999999999953,224.000000000002,815.9999999999945,11.00000000000989,-408.00000000000125,-16.999999999995907,356.9999999999962,-26.000000000003798,,2560.00000000002
2016.06.06,-153.00000000000313,676.0000000000099,75.00000000000284,222.99999999999898,-499.000000000005,507.000000000013,-1.0000000000065512,251.00000000000477,0.0,360.0000000000048,307.0000000000017,75.00000000001705,-615.9999999999943,263.00000000001324,831.9999999999883,36.000000000001364,-362.99999999999955,-87.0000000000033,339.0000000000004,10.999999999994348,,2236.000000000039
2016.06.06,-173.00000000000094,678.0000000000008,94.00000000001629,470.9999999999894,-457.0000000000074,490.0000000000126,-18.0000000000069,510.9999999999957,10.999999999994348,317.0000000000006,297.9999999999983,-78.99999999997931,-429.99999999999704,309.0000000000037,707.9999999999975,230.00000000000398,-147.99999999999613,-129.0000000000049,285.00000000000193,51.000000000001044,,3019.000000000023
2016.06.06,-173.00000000000094,707.0000000000132,116.00000000000499,452.99999999998875,-439.0000000000005,487.0000000000152,-18.999999999991246,486.0000000000042,-6.0000000000060005,273.000000000001,283.99999999999534,-74.99999999998863,-621.9999999999892,9.000000000014552,617.9999999999852,224.00000000000375,-103.9999999999992,-121.99999999999989,247.99999999999267,63.00000000000195,,2408.0000000000455
