date,GBPUSD,NZDUSD,GBPAUD,EURAUD,empty,sum
2016.09.05,-5.999999999994898,-89.00000000000574,-93.00000000000975,-112.000000000001,,-300.00000000001137
2016.09.05,-7.0000000000014495,-79.00000000000685,-99.00000000000463,-151.9999999999966,,-337.00000000000955
2016.09.05,-9.999999999998899,-148.0000000000037,-135.00000000001845,-167.9999999999904,,-461.0000000000114
2016.09.05,-26.999999999999247,-184.00000000000637,-99.00000000000463,-72.99999999998974,,-383.0
2016.09.05,-11.00000000000545,-187.9999999999993,-75.00000000000284,-43.999999999999595,,-318.0000000000072
2016.09.05,1.999999999990898,-147.00000000000824,77.99999999997809,97.9999999999981,,30.999999999958845
2016.09.05,7.0000000000014495,-264.0000000000087,-144.0000000000108,-63.99999999999739,,-465.00000000001546
2016.09.05,32.0000000000098,-268.0000000000016,-133.00000000000534,-106.99999999999044,,-475.9999999999876
2016.09.05,19.999999999997797,-292.00000000000335,-205.00000000001074,-164.99999999999292,,-642.0000000000092
2016.09.05,38.0000000000047,-318.00000000000716,-362.00000000001785,-296.9999999999917,,-939.0000000000119
2016.09.05,73.99999999999629,-387.000000000004,-320.00000000000915,-312.9999999999855,,-946.0000000000023
2016.09.05,100.99999999999554,-476.0000000000098,-443.0000000000156,-419.9999999999982,,-1238.000000000028
2016.09.05,174.99999999999181,-485.0000000000021,-368.00000000001273,-380.9999999999869,,-1059.00000000001
2016.09.05,177.00000000000495,-485.0000000000021,-346.0000000000019,-365.99999999999966,,-1019.9999999999987
2016.09.05,191.99999999999218,-519.0000000000028,-338.0000000000161,-376.9999999999829,,-1042.0000000000098
2016.09.05,248.00000000000378,-573.0000000000013,-342.00000000002007,-385.99999999999744,,-1053.000000000015
2016.09.05,249.00000000001032,-597.0000000000031,-427.0000000000218,-393.99999999998323,,-1168.9999999999977
2016.09.05,157.00000000000713,-642.0000000000092,-567.0000000000064,-432.9999999999945,,-1485.000000000003
2016.09.05,232.99999999999432,-599.0000000000051,-448.000000000004,-366.999999999984,,-1180.9999999999989
2016.09.05,134.99999999999625,-561.0000000000003,-584.0000000000067,-351.99999999999676,,-1362.0000000000075
2016.09.05,-15.999999999993797,-526.9999999999997,-735.000000000019,-435.9999999999919,,-1714.000000000004
2016.09.05,7.0000000000014495,-504.9999999999999,-665.0000000000044,-428.9999999999905,,-1591.9999999999932
2016.09.05,89.00000000000574,-561.0000000000003,-648.0000000000041,-403.99999999998215,,-1523.999999999981
2016.09.05,304.9999999999997,-538.0000000000051,-414.00000000000324,-422.9999999999956,,-1070.0000000000043
2016.09.05,575.9999999999987,-489.0000000000061,-8.000000000008,-536.0000000000032,,-457.00000000001853
2016.09.05,262.00000000000665,-496.00000000000756,-262.00000000000665,-485.99999999998647,,-981.9999999999941
2016.09.05,263.99999999999756,-453.0000000000034,-225.00000000000853,-419.9999999999982,,-834.0000000000125
2016.09.05,292.00000000000335,-402.00000000000233,-112.000000000001,-316.99999999998954,,-538.9999999999895
2016.09.05,290.9999999999968,-391.000000000008,-91.00000000001884,-315.99999999998295,,-507.00000000001296
2016.09.05,262.999999999991,-360.0000000000048,-144.0000000000108,-322.9999999999844,,-564.000000000009
2016.09.05,282.0000000000045,-355.0000000000053,-104.00000000001519,-421.99999999998903,,-599.000000000005
