date,USDJPY,CHFJPY,CADCHF,NZDCHF,GBPJPY,EURJPY,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2017.01.09,-109.00000000000887,-103.9999999999992,-51.000000000001044,-45.000000000006146,-173.00000000000182,-329.9999999999983,-60.99999999999994,-97.99999999999898,-134.00000000000034,-40.99999999999682,-4.999999999999449,-28.000000000005798,,-1179.0000000000168
2017.01.09,-183.00000000000693,-189.00000000000716,-41.000000000002146,-34.000000000000696,-242.00000000001864,-436.9999999999976,-155.00000000001623,-112.99999999999955,-227.00000000000387,-76.99999999999818,-15.00000000000945,56.99999999999594,,-1656.0000000000646
2017.01.09,-236.0000000000042,-207.00000000000784,-87.99999999999919,-73.00000000000084,-400.0000000000057,-444.0000000000026,-106.00000000000608,-192.99999999999784,-376.0000000000048,-156.99999999999648,34.99999999999615,110.00000000001009,,-2135.000000000019
2017.01.09,-222.0000000000084,-185.00000000000227,-92.99999999999864,-92.99999999999864,-354.0000000000134,-426.9999999999925,78.00000000000028,-188.99999999999295,-420.0000000000017,-161.00000000000136,146.99999999999713,208.99999999999253,,-1710.00000000002
2017.01.09,-323.0000000000075,-268.0000000000007,-139.00000000000023,-90.0000000000012,-431.0000000000116,-503.0000000000001,221.99999999998886,-307.00000000000216,-567.0000000000073,-198.0000000000075,176.99999999999383,283.99999999999534,,-2143.00000000006
2017.01.09,-346.00000000000364,-285.0000000000108,-143.9999999999997,-85.00000000000173,-456.99999999999363,-534.9999999999966,287.9999999999994,-326.9999999999982,-599.0000000000038,-230.99999999999454,189.99999999999017,356.00000000000074,,-2175.0000000000123
2017.01.09,-319.0000000000026,-347.999999999999,-118.00000000000699,-97.00000000000264,-478.00000000000864,-612.9999999999995,234.99999999998522,-346.9999999999942,-570.999999999998,-257.99999999999557,213.99999999999199,307.99999999999716,,-2392.0000000000327
2017.01.09,-297.00000000001125,-344.0000000000083,-111.00000000000554,-72.0000000000054,-497.0000000000141,-625.0,269.9999999999925,-326.9999999999982,-587.9999999999939,-245.00000000000455,244.99999999999523,365.99999999999966,,-2225.000000000054
2017.01.09,-265.00000000000057,-334.0000000000032,-134.0000000000008,-107.00000000000153,-475.9999999999991,-606.9999999999993,326.9999999999884,-322.00000000000273,-655.0000000000011,-281.9999999999965,281.99999999999335,380.00000000000256,,-2193.0000000000205
2017.01.09,-323.0000000000075,-326.0000000000076,-116.00000000000499,-119.00000000000244,-433.9999999999975,-598.9999999999895,402.9999999999978,-313.0000000000024,-644.999999999996,-289.0000000000015,326.9999999999995,387.000000000004,,-2047.0000000000077
2017.01.09,-350.0000000000085,-341.0000000000082,-84.0000000000063,-128.00000000000588,-397.0000000000198,-613.9999999999901,427.99999999998397,-301.00000000000193,-668.0000000000064,-310.0000000000023,358.9999999999982,381.99999999999346,,-2024.0000000000734
