date,USDJPY,CHFJPY,CADCHF,NZDCHF,GBPJPY,EURJPY,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2017.01.09,-93.00000000000352,-88.00000000000807,-19.00000000000235,9.999999999998899,-108.00000000000409,-317.99999999999784,-40.0000000000178,-36.99999999999193,-118.99999999999977,-7.000000000005002,56.0000000000005,103.99999999999298,,-659.0000000000382
2017.01.09,-172.00000000001125,-184.0000000000117,3.999999999992898,17.000000000000348,-218.00000000001774,-435.0000000000023,-104.99999999999955,-112.99999999999955,-180.99999999999739,-60.000000000002274,41.9999999999976,112.000000000001,,-1293.0000000000502
2017.01.09,-201.99999999999818,-176.00000000000193,-50.0000000000056,-43.00000000000415,-283.9999999999918,-414.0000000000015,78.99999999998464,-143.00000000000068,-293.99999999999693,-108.99999999999466,147.99999999999258,207.00000000000162,,-1281.0000000000168
2017.01.09,-152.00000000000102,-153.0000000000058,-92.99999999999864,-90.0000000000012,-230.99999999999454,-372.99999999999045,317.9999999999961,-173.99999999999238,-406.9999999999965,-147.00000000000557,234.99999999999633,297.9999999999983,,-968.9999999999953
2017.01.09,-317.0000000000073,-261.0000000000099,-131.00000000000333,-56.99999999999594,-431.0000000000116,-501.99999999999534,380.00000000000256,-304.9999999999926,-521.0000000000008,-183.9999999999975,223.99999999999088,392.9999999999989,,-1712.000000000022
2017.01.09,-184.0000000000117,-213.00000000000807,-109.00000000000354,-63.99999999999739,-317.0000000000073,-468.9999999999941,361.9999999999957,-239.00000000000432,-504.99999999999545,-162.00000000000614,279.99999999999136,401.00000000000693,,-1219.000000000034
2017.01.09,-294.00000000001114,-329.00000000000773,-104.99999999999955,-67.00000000000594,-444.9999999999932,-590.999999999994,320.9999999999935,-323.99999999999807,-564.9999999999977,-242.999999999995,254.99999999999412,373.00000000000114,,-2014.0000000000134
2017.01.09,-222.0000000000084,-321.00000000001216,-95.00000000000064,-58.99999999999794,-451.9999999999982,-593.9999999999941,347.9999999999928,-305.9999999999974,-582.9999999999984,-233.0000000000041,295.0000000000008,402.9999999999978,,-1819.00000000002
2017.01.09,-246.9999999999999,-319.0000000000026,-96.00000000000719,-97.9999999999981,-425.00000000001137,-587.9999999999939,417.0000000000007,-304.9999999999926,-621.9999999999999,-280.00000000000114,339.0000000000004,395.000000000012,,-1828.9999999999939
2017.01.09,-313.0000000000024,-318.00000000001205,-81.00000000000884,-97.9999999999981,-373.9999999999952,-578.9999999999935,432.9999999999945,-287.9999999999967,-623.0000000000047,-275.99999999999625,359.99999999999363,398.9999999999938,,-1758.0000000000257
2017.01.09,-314.00000000000716,-300.00000000001137,-57.00000000000705,-78.00000000000028,-306.0000000000116,-566.9999999999931,431.99999999998795,-245.9999999999951,-614.9999999999949,-234.99999999999943,396.9999999999918,439.99999999999596,,-1449.0000000000446
2017.01.09,-387.00000000000045,-347.999999999999,-60.00000000000449,-24.999999999997247,-379.0000000000191,-622.9999999999905,305.9999999999841,-284.9999999999966,-579.9999999999983,-207.00000000000784,313.99999999999204,432.0000000000102,,-1842.000000000027
2017.01.09,-440.00000000001194,-340.0000000000034,-81.00000000000884,4.000000000004,-377.00000000000955,-626.9999999999953,322.00000000000006,-305.9999999999974,-590.0000000000034,-171.00000000000648,302.9999999999977,492.0000000000035,,-1811.0000000000305
2017.01.09,-496.9999999999999,-418.00000000000637,-65.99999999999939,-7.9999999999968985,-346.00000000000364,-697.9999999999933,293.99999999999426,-347.999999999999,-623.0000000000047,-242.999999999995,295.0000000000008,439.0000000000116,,-2218.999999999991
2017.01.09,-457.9999999999984,-365.99999999999966,-53.999999999998494,-36.0000000000027,-104.00000000001342,-673.0000000000018,292.00000000000335,-295.0000000000017,-602.0000000000039,-237.99999999999955,324.9999999999975,418.9999999999916,,-1790.0000000000266
2017.01.09,-466.0000000000082,-324.0000000000123,-89.00000000000574,-43.00000000000415,207.9999999999984,-640.0000000000006,303.9999999999932,-301.9999999999925,-588.9999999999986,-213.99999999999864,307.99999999999716,435.0000000000076,,-1412.000000000024
2017.01.09,-462.0000000000033,-312.0000000000118,-95.00000000000064,-73.99999999999629,125.0,-655.0000000000011,243.99999999999977,-298.9999999999924,-563.0000000000024,-242.00000000000443,280.9999999999979,364.9999999999931,,-1687.0000000000218
2017.01.09,-385.0000000000051,-310.0000000000023,-60.99999999999994,-82.00000000000429,394.00000000000546,-652.000000000001,344.99999999999534,-260.0000000000051,-611.9999999999948,-248.99999999999523,378.999999999996,412.9999999999967,,-1080.000000000014
