date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,EURCHF,CADCHF,GBPJPY,GBPAUD,EURAUD,NZDJPY,AUDCAD,empty,sum
2020.12.07,163.99999999999747,-22.0000000000109,102.00000000000209,7.000000000005002,52.99999999999194,-19.999999999997797,-92.00000000000318,-98.99999999999353,32.00000000001069,138.0000000000159,-60.99999999999994,46.999999999997044,64.0000000000085,,313.0000000000233
2020.12.07,147.99999999999258,-65.00000000000395,35.00000000000725,-55.999999999997385,72.99999999998974,-31.000000000003247,-110.00000000001009,-60.99999999999994,-187.00000000001182,219.00000000001364,30.0000000000189,-64.99999999999773,66.00000000001049,,-3.9999999999915588
2020.12.07,180.99999999999784,-78.00000000000028,29.999999999996696,-90.99999999999397,58.99999999998684,-57.00000000000705,-147.99999999999258,-132.99999999999423,-219.99999999999886,195.00000000001182,13.000000000018552,-114.00000000000432,90.0000000000012,,-272.99999999997834
2020.12.07,234.00000000000088,-56.000000000011596,96.00000000000719,-90.00000000000341,64.99999999998174,-6.0000000000060005,-153.00000000000313,-173.9999999999964,-199.99999999998863,219.99999999999798,-24.999999999986144,-58.9999999999975,67.00000000000594,,-80.99999999999906
2020.12.07,192.99999999999872,-49.99999999999449,53.999999999998494,-19.99999999999602,60.99999999999994,-41.9999999999976,-140.99999999999113,-144.99999999999514,-93.99999999999409,229.99999999999687,49.00000000001015,-45.000000000001705,45.000000000006146,,95.00000000004013
2020.12.07,179.99999999999127,-170.00000000000347,19.999999999997797,24.00000000000091,46.999999999997044,-40.00000000000669,-151.9999999999966,-141.99999999999767,-162.00000000000614,331.0000000000146,36.0000000000138,-12.999999999991019,75.00000000000284,,34.0000000000167
2020.12.07,193.99999999999417,-185.00000000001293,17.000000000000348,19.000000000005457,100.99999999999554,35.999999999991594,-171.99999999999437,-122.99999999999534,-176.9999999999925,415.0000000000098,103.00000000000864,60.000000000002274,76.0000000000094,,364.000000000022
2020.12.07,117.00000000000044,-208.00000000000819,-52.000000000007596,78.00000000000296,64.99999999998174,13.999999999991797,-144.99999999999514,-81.9999999999932,-128.99999999999068,478.0000000000006,218.00000000000708,79.00000000000773,40.00000000000669,,473.0000000000043
2020.12.07,103.99999999999298,-245.0000000000063,-68.00000000000139,123.99999999999523,63.99999999999739,-21.00000000000435,-144.0000000000108,-71.99999999999429,-104.99999999998977,466.00000000001086,194.0000000000053,73.99999999999807,69.00000000000794,,440.00000000000085
2020.12.07,130.99999999999224,-205.00000000001074,-65.99999999998829,111.99999999999477,53.999999999998494,-41.000000000002146,-171.00000000001003,-97.00000000000264,-82.99999999999841,402.9999999999978,175.00000000001404,48.00000000000182,69.00000000000794,,328.9999999999949
2020.12.07,109.99999999999899,-214.00000000000307,-63.99999999999739,129.0000000000049,60.99999999999994,-36.0000000000027,-147.00000000000824,-75.9999999999983,-66.0000000000025,355.0000000000164,121.99999999999989,61.99999999999761,104.99999999999955,,341.00000000000506
2020.12.07,113.99999999999189,-164.00000000000858,-43.999999999999595,155.00000000000114,96.99999999999153,-4.000000000004,-136.00000000000279,-59.99999999999339,21.99999999999136,329.00000000000153,135.00000000001845,114.00000000000432,110.00000000001009,,668.0000000000019
