names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,30,"['AUDCAD', 'EURNZD', 'GBPJPY', 'AUDCHF']",100.0,0.8888571428571429,S
GBPUSD,10,"['AUDCAD', 'GBPAUD', 'NZDCAD', 'EURNZD', 'EURAUD']",80.0,0.62,S
EURUSD,15,"['AUDNZD', 'EURNZD']",100.0,1.0,S
USDJPY,20,['GBPUSD'],80.0,-0.568850704850705,B
USDCAD,50,"['CHFJPY', 'GBPCAD', 'EURGBP', 'GBPCHF']",100.0,-0.4636865356865359,B
AUDUSD,50,['USDCAD'],80.0,0.3012637921206571,S
NZDUSD,50,['USDJPY'],100.0,0.382060641924366,S
EURCHF,30,"['GBPUSD', 'EURCHF']",80.0,-0.7292010212010215,B
CHFJPY,50,"['CHFJPY', 'AUDCAD', 'EURNZD', 'GBPAUD', 'EURCHF']",80.0,0.6293333333333334,S
CADCHF,10,['EURAUD'],100.0,1.0,S
AUDCHF,15,"['USDJPY', 'AUDJPY']",80.0,0.6665064935064935,S
GBPCAD,10,"['EURAUD', 'EURJPY']",80.0,0.74,S
EURCAD,15,['GBPUSD'],80.0,-0.7201839826839828,B
EURAUD,20,['NZDUSD'],80.0,0.5656747419247423,S
EURNZD,50,['EURGBP'],80.0,-0.2657979577163943,B
AUDJPY,50,['EURGBP'],100.0,0.2620451234632251,S
NZDJPY,50,"['EURJPY', 'CHFJPY']",80.0,-0.14402446577653777,B
AUDCAD,20,"['GBPCAD', 'GBPCHF']",80.0,-1.0,B
