date,USDCHF,EURUSD,USDJPY,AUDUSD,EURCHF,CADCHF,GBPJPY,GBPAUD,EURAUD,EURNZD,AUDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.07.04,143.9999999999997,-36.0000000000138,-49.000000000006594,-154.99999999999403,42.999999999993044,99.00000000000463,-193.00000000001205,59.000000000009045,194.0000000000053,-109.00000000000354,-174.99999999999716,-213.00000000000762,214.99999999999852,-57.00000000001815,,-233.0000000000427
2016.07.04,136.00000000000279,-62.000000000006494,31.999999999996476,-131.00000000000333,52.99999999999194,99.00000000000463,-377.00000000000955,286.00000000000847,121.99999999999989,-59.99999999999339,-201.99999999999818,-185.00000000000182,205.99999999999508,-72.0000000000054,,-155.0000000000189
2016.07.04,197.00000000000273,-116.00000000000499,-24.00000000000091,-229.00000000000142,178.00000000001148,158.99999999999804,-320.99999999999795,104.00000000001519,211.99999999998997,-212.99999999999653,-259.00000000000034,-285.00000000000193,392.00000000000347,-53.00000000001415,,-257.9999999999974
2016.07.04,277.000000000005,-49.00000000001015,-2.0000000000095497,-195.9999999999962,197.00000000000273,239.0000000000003,-373.0000000000189,216.00000000001617,228.99999999999034,-163.00000000000205,-240.99999999999966,-214.99999999999852,273.000000000001,-102.00000000000209,,89.99999999997847
2016.07.04,246.00000000000176,-109.00000000000354,-50.00000000001137,-209.9999999999991,228.00000000000597,249.99999999999466,-367.999999999995,280.0000000000136,170.00000000000347,85.00000000000173,-224.00000000000375,-194.0000000000053,155.00000000000514,-233.00000000001654,,25.999999999991758
2016.07.04,260.00000000000466,-26.999999999999247,-136.0000000000099,-180.0000000000024,156.00000000000057,226.99999999999943,-192.00000000000728,266.0000000000107,215.99999999999397,43.999999999999595,-126.00000000000477,-194.0000000000053,141.00000000000225,-239.00000000001143,,215.99999999997073
2016.07.04,238.0000000000049,-53.999999999998494,-73.99999999999807,-229.00000000000142,158.0000000000137,219.99999999999798,-251.00000000000477,120.00000000000898,276.9999999999939,-96.99999999999153,-221.9999999999942,-247.00000000000833,243.00000000000432,-188.00000000001037,,-105.9999999999834
2016.07.04,195.9999999999962,-45.000000000006146,-28.000000000005798,-305.99999999999517,100.0000000000112,190.00000000000128,-283.00000000001546,-113.99999999999189,451.99999999998573,-97.9999999999981,-335.9999999999985,-341.0000000000024,239.99999999999577,-301.0000000000179,,-674.0000000000412
2016.07.04,178.99999999999582,-65.00000000000395,-10.000000000005116,-361.0000000000002,104.99999999999955,214.00000000000307,-239.00000000000432,-336.9999999999873,561.9999999999958,-26.999999999999247,-405.00000000000114,-365.0000000000042,151.9999999999966,-396.00000000001853,,-993.0000000000333
2016.07.04,211.00000000000563,-104.00000000001519,12.000000000000455,-517.9999999999962,178.00000000001148,304.9999999999997,-384.00000000001455,-526.9999999999886,784.0000000000069,-106.99999999999044,-582.9999999999984,-490.00000000000153,160.00000000000458,-533.0000000000057,,-1595.9999999999818
2016.07.04,119.00000000000244,-161.99999999999548,36.000000000001364,-500.00000000000045,137.00000000000932,234.99999999999633,-665.9999999999968,-177.00000000000495,672.0000000000059,55.000000000005045,-582.9999999999984,-460.00000000000483,104.00000000000409,-567.0000000000064,,-1756.9999999999827
2016.07.04,148.99999999999915,-127.00000000001043,119.99999999999034,-468.9999999999972,137.9999999999937,219.99999999999798,-692.0000000000073,-205.99999999999508,655.9999999999899,60.000000000015596,-612.9999999999995,-467.0000000000063,126.0000000000039,-555.0000000000166,,-1660.000000000042
2016.07.04,143.9999999999997,-127.00000000001043,102.99999999999443,-490.999999999997,126.0000000000039,239.99999999999577,-645.0000000000102,-297.9999999999983,702.0000000000026,136.00000000000279,-623.0000000000047,-462.0000000000068,44.99999999999504,-636.9999999999986,,-1787.0000000000318
2016.07.04,141.00000000000225,-128.000000000017,162.9999999999967,-441.0000000000025,124.00000000001299,236.00000000000287,-614.0000000000043,-326.0000000000041,600.0000000000006,-43.999999999999595,-617.0000000000044,-401.00000000000693,158.0000000000026,-446.9999999999974,,-1596.0000000000186
2016.07.04,133.00000000000534,-138.0000000000159,104.99999999998977,-453.0000000000034,124.00000000001299,248.00000000000378,-590.0000000000034,-273.9999999999965,607.0000000000019,31.000000000003247,-582.0000000000078,-392.9999999999989,105.99999999999498,-504.0000000000156,,-1580.0000000000296
2016.07.04,170.00000000000347,-106.00000000000608,110.99999999999,-441.0000000000025,133.00000000000534,283.99999999999534,-533.0000000000155,-334.9999999999964,628.9999999999907,-59.99999999999339,-581.0000000000031,-375.9999999999986,121.99999999999989,-456.00000000001194,,-1439.0000000000427
2016.07.04,102.00000000000209,-167.00000000000603,104.99999999998977,-519.9999999999983,120.99999999999334,244.99999999999523,-658.0000000000155,-341.99999999999784,702.9999999999869,-153.00000000000313,-652.000000000001,-458.00000000000284,224.000000000002,-443.0000000000156,,-1893.000000000071
