date,USDCHF,GBPUSD,EURUSD,USDCAD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,NZDJPY,NZDCAD,AUDNZD,empty,sum
2020.01.13,0.0,-17.000000000000348,-46.999999999997044,0.0,-4.999999999988347,-82.00000000000784,-54.999999999993946,-53.999999999998494,-46.00000000000159,-76.99999999999375,0.0,-131.99999999999878,-17.999999999984695,0.0,-58.9999999999975,-61.999999999995396,-42.999999999993044,,-696.9999999999508
2020.01.13,36.999999999998145,-39.999999999995595,-34.000000000000696,53.999999999998494,15.00000000000945,-111.0000000000042,-59.99999999999339,-68.99999999999685,-65.00000000000395,-55.99999999998939,206.00000000000307,-127.99999999999478,-80.99999999999774,0.0,-53.999999999987836,-76.99999999999375,2.0000000000131024,,-460.9999999999359
2020.01.13,70.0000000000034,-29.999999999996696,-17.999999999984695,56.99999999999594,57.00000000001815,-99.00000000000375,-80.99999999999774,-168.00000000000148,-103.00000000000864,-24.000000000001798,222.99999999999898,-157.00000000000713,-163.00000000000205,48.99999999998794,-46.999999999997044,-93.99999999999409,39.999999999995595,,-487.9999999999951
2020.01.13,113.00000000000753,35.00000000000725,-5.999999999994898,129.00000000000134,123.00000000000644,-33.00000000000125,-81.9999999999932,-173.9999999999964,-96.00000000000719,-70.99999999999883,265.00000000000057,-178.00000000001148,-170.99999999998784,73.99999999999629,-15.999999999991132,-88.99999999999464,85.00000000000173,,-91.99999999995566
2020.01.13,104.99999999999955,9.999999999998899,-22.999999999995246,134.00000000001188,123.00000000000644,-30.000000000001137,-48.000000000003595,-127.99999999999478,-70.0000000000034,-97.9999999999981,243.99999999999977,-187.00000000000384,-95.00000000000064,112.000000000001,-75.9999999999934,-96.99999999999153,83.00000000001084,,-40.99999999995728
2020.01.13,126.0000000000039,-7.999999999985796,-24.999999999986144,113.99999999999189,143.00000000000423,-30.000000000001137,-87.00000000000374,-151.00000000000114,-81.00000000000884,-41.000000000002146,266.00000000000534,-160.00000000000458,-108.99999999998133,103.00000000000864,-67.99999999999784,-68.99999999999685,121.99999999999989,,45.000000000044366
2020.01.13,130.0000000000079,-43.999999999999595,-36.999999999998145,48.000000000003595,162.00000000001768,-2.0000000000095497,-121.99999999999989,-236.00000000000287,-137.00000000000932,139.00000000000023,325.00000000000284,-158.0000000000137,-273.9999999999965,18.0000000000069,22.00000000000557,-94.99999999998954,120.00000000000898,,-140.99999999996538
2020.01.13,118.00000000000699,-13.999999999980695,-51.000000000001044,49.99999999999449,182.99999999999983,4.9999999999954525,-119.00000000000244,-243.00000000000432,-133.00000000000534,310.9999999999946,349.00000000000375,-120.00000000000898,-295.0000000000008,35.00000000000725,53.00000000001148,-86.99999999999264,178.00000000001148,,220.00000000002905
2020.01.13,107.99999999999699,-36.999999999998145,-52.99999999999194,25.999999999992696,163.00000000000205,15.999999999991132,-107.99999999999699,-221.99999999999997,-99.00000000000463,297.0000000000139,350.9999999999991,-139.00000000000023,-268.0000000000016,93.00000000000975,47.000000000011255,-73.99999999999629,178.00000000001148,,279.0000000000386
2020.01.13,92.99999999999864,-25.999999999992696,-95.999999999985,14.000000000002899,172.0000000000166,42.00000000000159,-114.99999999999844,-231.0000000000034,-103.00000000000864,348.00000000001495,377.00000000000955,-144.99999999999514,-263.99999999999756,104.99999999999955,58.000000000006935,-64.99999999999284,192.99999999999872,,357.0000000000757
2020.01.13,65.99999999999939,-54.99999999998284,-121.99999999999989,-14.000000000002899,182.99999999999983,84.00000000000318,-100.99999999999554,-253.99999999999866,-152.00000000000767,480.00000000001376,438.0000000000024,-178.00000000001148,-322.00000000000006,-29.999999999996696,92.00000000001296,-134.99999999999625,161.99999999999548,,142.000000000035
2020.01.13,46.00000000000159,-35.999999999991594,-136.00000000000279,-39.999999999995595,164.00000000000858,96.00000000000364,-109.00000000000354,-244.99999999999523,-173.00000000000094,446.0000000000131,439.00000000000716,-141.99999999999767,-312.9999999999855,-73.00000000001194,137.00000000000045,-159.9999999999935,85.00000000000173,,-13.999999999942077
2020.01.13,60.99999999999994,-0.9999999999843467,-141.99999999999767,-45.000000000006146,191.00000000000784,85.99999999999852,-126.0000000000039,-241.99999999999778,-184.00000000000637,392.9999999999989,453.00000000000296,-151.9999999999966,-275.9999999999874,-93.00000000000975,180.00000000000682,-156.99999999999602,85.00000000000173,,31.00000000003081
2020.01.13,65.00000000000395,-5.999999999994898,-139.00000000000023,-39.999999999995595,198.00000000000927,102.00000000000387,-117.99999999999588,-215.99999999999397,-152.00000000000767,370.00000000000364,468.0000000000035,-143.00000000000423,-201.99999999999108,-31.000000000003247,161.00000000000136,-128.99999999999022,103.00000000000864,,291.0000000000573
2020.01.13,75.9999999999983,-96.99999999999153,-137.9999999999937,-35.00000000000725,197.00000000000273,96.00000000000364,-119.00000000000244,-248.99999999999923,-159.00000000000912,412.9999999999967,462.0000000000033,-141.00000000001333,-261.0000000000001,-8.000000000008,155.00000000000114,-126.99999999999933,120.00000000000898,,184.99999999999073
2020.01.13,65.99999999999939,-113.99999999999189,-154.99999999999403,-45.000000000006146,207.00000000000162,108.99999999999466,-127.99999999999478,-248.00000000000378,-154.0000000000097,546.000000000002,493.0000000000092,-148.99999999999915,-253.99999999999866,18.0000000000069,159.00000000000603,-120.99999999999334,150.00000000000568,,380.00000000003405
2020.01.13,79.00000000000685,-146.99999999998602,-134.99999999999625,-48.99999999998794,188.00000000001037,84.99999999999375,-137.9999999999937,-251.00000000000122,-154.0000000000097,567.0000000000064,450.00000000000284,-124.00000000001299,-283.99999999999534,21.00000000000435,131.00000000000023,-101.99999999999099,161.99999999999548,,299.00000000004616
2020.01.13,80.00000000000229,-100.99999999999554,-140.99999999999113,-43.999999999999595,209.00000000001472,60.99999999999284,-139.99999999999568,-266.999999999995,-154.0000000000097,612.9999999999969,475.0000000000085,-136.00000000000279,-289.9999999999903,21.00000000000435,139.00000000001,-103.99999999999298,165.9999999999995,,387.0000000000564
2020.01.13,95.00000000000064,-272.99999999998994,-136.99999999998712,-14.000000000002899,208.00000000000819,49.99999999999716,-122.99999999999534,-260.00000000000466,-162.0000000000066,629.0000000000128,430.0000000000068,-194.0000000000053,-269.9999999999925,28.000000000005798,104.00000000001342,-133.99999999998968,141.00000000001333,,118.00000000008407
2020.01.13,97.00000000000264,-412.9999999999967,-137.9999999999937,15.00000000000945,217.0000000000005,15.000000000000568,-112.000000000001,-287.9999999999994,-194.0000000000053,717.9999999999964,415.00000000000625,-226.00000000001506,-288.99999999998374,-24.000000000001798,116.00000000001387,-180.99999999999784,134.99999999999625,,-136.99999999996862
2020.01.13,58.000000000002494,-512.9999999999857,-123.99999999999079,39.00000000001125,165.00000000001512,36.99999999999193,-87.00000000000374,-251.00000000000122,-152.00000000000767,880.0000000000141,407.0000000000107,-232.00000000000998,-282.9999999999888,-2.999999999997449,42.00000000000159,-161.99999999999548,147.99999999999258,,-30.99999999994114
2020.01.13,51.000000000001044,-474.999999999981,-133.00000000000534,35.999999999991594,141.99999999999767,105.99999999999454,-80.99999999999774,-192.00000000000327,-50.0000000000056,798.0000000000098,424.0000000000066,-229.00000000001253,-177.99999999998929,232.00000000000998,29.000000000010573,-50.99999999998994,219.99999999999798,,649.0000000000351
2020.01.13,36.999999999998145,-553.9999999999878,-197.00000000000273,24.000000000001798,136.00000000000279,180.99999999999739,-95.00000000000064,-199.00000000000472,-67.00000000000594,788.0000000000109,543.0000000000064,-276.00000000000955,-210.99999999998343,146.00000000000168,50.00000000001137,-64.99999999999284,208.00000000000819,,449.0000000000511
2020.01.13,51.000000000001044,-713.9999999999924,-52.99999999999194,63.99999999999739,70.0000000000145,265.99999999999113,-73.00000000000084,-173.00000000000094,-31.000000000003247,966.0000000000002,561.000000000007,-160.00000000000458,-210.99999999998343,197.00000000000273,109.00000000000887,-32.999999999994145,205.00000000001074,,1041.000000000062
2020.01.13,26.999999999999247,-753.9999999999881,-31.999999999987594,95.00000000000064,42.0000000000087,323.99999999999807,-53.999999999998494,-114.00000000000298,2.999999999997449,836.9999999999989,549.0000000000066,-173.00000000000094,-173.99999999998528,214.00000000000307,97.00000000000841,10.000000000010001,175.00000000001404,,1072.0000000000819
2020.01.13,70.0000000000034,-604.9999999999889,-24.999999999986144,93.99999999999409,77.00000000001594,340.0000000000034,-53.00000000000304,-71.99999999999429,29.999999999996696,595.0000000000122,609.9999999999994,-158.99999999999804,-11.999999999989797,334.9999999999964,53.00000000001148,40.00000000000669,178.00000000001148,,1496.000000000091
2020.01.13,41.000000000002146,-626.9999999999998,-58.99999999998684,53.999999999998494,73.00000000001194,376.99999999999534,-56.99999999999594,-61.999999999995396,46.999999999997044,746.0000000000023,639.00000000001,-141.00000000001333,-4.999999999988347,340.00000000000693,96.00000000000364,54.00000000000959,181.9999999999933,,1698.000000000051
2020.01.13,-29.000000000001247,-715.9999999999833,-78.00000000000028,62.99999999999084,31.000000000003247,393.99999999999125,-29.000000000001247,-44.99999999999504,60.99999999999994,783.0000000000003,637.0000000000005,-178.00000000001148,-11.999999999989797,327.99999999999494,103.00000000000864,45.000000000006146,191.00000000000784,,1549.0000000000214
2020.01.13,-12.000000000000899,-754.9999999999945,-95.00000000000064,18.999999999991246,28.000000000005798,417.99999999999216,-26.999999999999247,-41.9999999999976,80.99999999999774,933.000000000006,629.0000000000049,-168.0000000000126,-0.9999999999843467,384.9999999999909,87.0000000000033,55.000000000005045,195.00000000001182,,1730.000000000019
2020.01.13,2.000000000002,-678.9999999999852,-99.00000000000463,-82.00000000000429,60.000000000015596,414.99999999999204,-100.99999999999554,-73.99999999999629,25.999999999992696,946.0000000000024,651.0000000000105,-137.00000000000932,-34.000000000000696,286.99999999999284,118.00000000000921,76.0000000000094,168.99999999999693,,1544.0000000000273
2020.01.13,-71.99999999999429,-659.999999999994,-120.99999999999334,-82.99999999998863,14.000000000002899,447.9999999999933,-95.99999999999609,-53.00000000000304,54.999999999993946,832.9999999999949,706.0000000000031,-100.99999999999554,6.000000000017103,266.999999999995,133.00000000000978,58.000000000002494,146.00000000000168,,1480.000000000049
2020.01.13,-80.00000000000229,-554.9999999999944,-85.99999999998609,-73.99999999999629,-36.999999999998145,456.99999999999363,-54.999999999993946,-68.99999999999685,39.00000000000014,800.0000000000007,615.0000000000091,-68.00000000000139,-174.99999999999181,188.9999999999947,157.0000000000107,43.00000000000415,150.00000000000568,,1251.0000000000575
2020.01.13,-66.99999999999484,-556.0000000000009,-63.99999999999739,-154.0000000000097,-36.999999999998145,436.9999999999976,-114.00000000000298,-71.99999999999429,30.999999999992145,805.0000000000113,603.9999999999992,-17.000000000000348,-183.99999999998417,163.00000000000205,158.00000000000125,48.000000000003595,174.00000000000747,,1155.0000000000318
2020.01.13,-152.99999999999204,-495.99999999998533,-104.99999999999955,-109.00000000000354,-80.99999999999774,500.0,-34.000000000000696,-22.999999999995246,66.99999999999484,510.00000000001046,632.000000000005,-140.0000000000068,-129.99999999998568,187.00000000000384,41.00000000001103,18.0000000000069,158.0000000000137,,842.0000000000791
