date,EURCHF,CHFJPY,NZDCHF,EURJPY,EURCAD,empty,sum
2017.06.26,14.000000000002899,-203.00000000000296,23.00000000000635,-120.00000000000455,0.0,,-285.9999999999983
2017.06.26,75.99999999998718,-168.99999999999693,-20.999999999993246,-99.99999999999432,-34.000000000000696,,-247.999999999998
2017.06.26,127.99999999999478,-188.99999999999295,-48.99999999999905,-114.99999999999488,-34.99999999998504,,-259.99999999997715
2017.06.26,126.0000000000039,-170.99999999999227,-29.999999999996696,-96.00000000000364,-36.999999999998145,,-207.99999999998687
2017.06.26,132.99999999998312,-185.99999999999284,-34.000000000000696,-120.00000000000455,-63.99999999999739,,-271.00000000001234
2017.06.26,139.00000000000023,-207.9999999999984,-53.00000000000304,-152.00000000000102,-26.999999999999247,,-301.00000000000153
2017.06.26,139.00000000000023,-277.000000000001,-31.999999999998696,-219.99999999999886,-38.99999999998904,,-428.9999999999874
2017.06.26,133.99999999998968,-239.00000000000432,-12.999999999996348,-170.99999999999227,14.000000000002899,,-275.00000000000034
2017.06.26,154.99999999999403,-192.99999999999784,0.0,-149.99999999999147,52.000000000007596,,-135.9999999999877
2017.06.26,141.99999999999767,-203.99999999999352,-63.00000000000195,-137.99999999999102,125.00000000001954,,-137.99999999996925
2017.06.26,137.9999999999937,-225.9999999999991,-75.9999999999983,-164.00000000000148,58.000000000002494,,-270.0000000000027
2017.06.26,129.99999999998568,-228.9999999999992,-110.99999999999443,-158.99999999999181,-22.999999999995246,,-391.999999999995
2017.06.26,144.99999999999514,-221.00000000000364,-48.99999999999905,-167.99999999999216,18.0000000000069,,-274.99999999999284
2017.06.26,166.99999999998383,-203.00000000000296,-104.99999999999955,-191.99999999999307,37.00000000002035,,-295.99999999999136
2017.06.26,164.99999999999292,-194.99999999999318,-109.99999999999899,-161.00000000000136,64.0000000000196,,-236.99999999998101
2017.06.26,156.99999999998494,-189.99999999999773,-109.00000000000354,-143.99999999999125,69.00000000000794,,-216.9999999999996
2017.06.26,161.99999999999548,-185.99999999999284,-103.99999999999298,-141.9999999999959,84.0000000000174,,-185.99999999996885
2017.06.26,137.9999999999937,-200.9999999999934,-73.00000000000084,-134.00000000000034,90.00000000001229,,-179.99999999998863
2017.06.26,129.99999999998568,-236.99999999999477,-143.9999999999997,-165.99999999999682,194.0000000000053,,-223.00000000000028
2017.06.26,182.99999999999983,-242.999999999995,-124.00000000000189,-230.00000000000398,151.00000000001222,,-262.9999999999888
2017.06.26,181.9999999999933,-420.99999999999227,-102.99999999999754,-423.0000000000018,71.00000000002105,,-693.9999999999774
2017.06.26,154.99999999999403,-424.99999999999716,-42.999999999993044,-399.0000000000009,157.00000000000713,,-554.9999999999899
2017.06.26,195.9999999999962,-462.99999999999386,-7.9999999999968985,-489.0000000000043,188.00000000001037,,-575.9999999999885
2017.06.26,224.99999999998633,-393.0000000000007,-24.000000000001798,-448.99999999999807,201.00000000000674,,-440.0000000000075
2017.06.26,278.9999999999848,-353.9999999999992,-34.99999999999615,-460.9999999999985,218.00000000000708,,-353.00000000000205
2017.06.26,387.99999999998835,-177.99999999999727,-197.00000000000273,-397.99999999999613,377.0000000000051,,-8.000000000002672
2017.06.26,384.9999999999909,-112.99999999999955,-244.99999999999523,-325.00000000000284,508.00000000001955,,210.00000000001285
2017.06.26,400.00000000000034,-153.99999999999636,-232.99999999999432,-388.9999999999958,411.0000000000058,,35.00000000001967
2017.06.26,390.9999999999858,-170.99999999999227,-253.0000000000032,-394.999999999996,560.0000000000049,,131.9999999999992
2017.06.26,407.99999999998613,-171.99999999999704,-283.99999999999534,-415.9999999999968,453.0000000000145,,-10.999999999988574
2017.06.26,391.9999999999924,-259.9999999999909,-226.99999999999943,-512.999999999991,350.00000000000585,,-257.9999999999831
2017.06.26,405.9999999999952,-256.9999999999908,-353.0000000000033,-507.000000000005,238.0000000000049,,-472.999999999999
2017.06.26,365.99999999999966,-310.0000000000023,-332.99999999999443,-516.9999999999959,260.0000000000158,,-533.9999999999771
2017.06.26,334.9999999999964,-346.00000000000364,-383.99999999999545,-513.9999999999958,332.00000000002115,,-576.9999999999773
2017.06.26,336.9999999999873,-378.0000000000001,-361.0000000000002,-554.9999999999926,230.00000000001907,,-726.9999999999866
2017.06.26,312.9999999999855,-266.9999999999959,-378.00000000000057,-408.00000000000125,153.00000000000313,,-587.0000000000091
2017.06.26,313.99999999999204,-299.99999999999716,-331.0000000000035,-445.99999999999795,272.00000000000557,,-491.000000000001
2017.06.26,271.99999999998334,-289.0000000000015,-347.9999999999928,-384.9999999999909,374.0000000000077,,-375.99999999999415
2017.06.26,280.9999999999979,-302.99999999999727,-380.00000000000256,-405.9999999999917,341.00000000001353,,-466.9999999999801
2017.06.26,316.99999999998954,-370.00000000000455,-388.9999999999949,-524.0000000000009,304.9999999999997,,-661.0000000000111
2017.06.26,303.9999999999932,-379.99999999999545,-365.99999999999966,-519.999999999996,243.00000000001543,,-718.9999999999825
2017.06.26,289.9999999999903,-427.99999999999727,-356.00000000000074,-555.9999999999974,296.0000000000074,,-753.9999999999976
2017.06.26,289.9999999999903,-487.99999999999955,-376.99999999999403,-623.0000000000047,417.0000000000007,,-781.0000000000073
2017.06.26,324.9999999999975,-492.00000000000443,-368.00000000000165,-664.0000000000015,347.0000000000084,,-852.0000000000016
2017.06.26,319.0000000000026,-498.9999999999952,-341.99999999999784,-668.9999999999969,313.00000000000773,,-877.9999999999795
2017.06.26,309.99999999998806,-478.9999999999992,-332.99999999999443,-634.9999999999909,367.0000000000062,,-769.9999999999902
2017.06.26,323.99999999999096,-504.99999999999545,-312.9999999999966,-682.0000000000022,304.00000000001535,,-871.9999999999878
2017.06.26,309.99999999998806,-472.999999999999,-290.00000000000136,-641.9999999999959,351.0000000000124,,-743.9999999999958
2017.06.27,275.9999999999874,-456.00000000000307,-237.99999999999378,-634.9999999999909,365.0000000000153,,-687.9999999999852
2017.06.27,259.9999999999936,-468.0000000000035,-241.99999999999778,-652.000000000001,299.00000000000483,,-803.0000000000039
2017.06.27,322.00000000000006,-472.999999999999,-287.9999999999994,-652.9999999999916,290.00000000001245,,-801.9999999999775
2017.06.27,323.99999999999096,-460.9999999999985,-225.99999999999287,-637.999999999991,289.0000000000059,,-711.9999999999856
2017.06.27,324.9999999999975,-486.99999999999477,-280.00000000000244,-661.0000000000014,269.00000000000813,,-833.999999999993
2017.06.27,344.99999999999534,-468.0000000000035,-288.9999999999948,-667.9999999999922,213.00000000001873,,-866.9999999999765
