date,USDJPY,USDCAD,AUDUSD,GBPCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2017.01.02,-1.9999999999953388,-103.00000000000864,-8.999999999992347,-353.99999999998766,-248.99999999999523,-58.99999999999794,-153.99999999999858,-65.00000000002615,-116.99999999998934,-103.99999999999298,-45.99999999999227,-101.00000000001774,-58.9999999999975,-160.99999999998715,-33.999999999991815,-58.000000000002494,-194.99999999998963,,-1869.9999999999625
2017.01.02,-153.99999999999636,-97.9999999999981,-34.99999999999615,-531.9999999999991,-367.999999999995,-72.99999999998974,-199.00000000000472,-415.00000000002046,-290.9999999999968,-289.9999999999903,-203.99999999999352,-232.00000000000998,-123.99999999999523,-128.0000000000001,-86.99999999998909,0.999999999995449,-100.99999999999554,,-3329.9999999999745
2017.01.02,-114.99999999999488,-236.00000000001398,-262.999999999991,-556.9999999999853,-493.9999999999998,-49.99999999999449,-163.00000000000205,-412.00000000000614,-485.0000000000021,-627.9999999999841,-314.9999999999977,-540.0000000000072,-153.99999999999636,-125.99999999999056,-71.99999999998852,-273.9999999999965,-297.9999999999983,,-5181.999999999949
2017.01.02,19.000000000005457,-104.99999999999955,-227.99999999999488,-628.9999999999907,-314.9999999999977,-98.99999999999353,-26.000000000003798,-254.0000000000191,-309.99999999998806,-540.9999999999915,-97.99999999999898,-513.0000000000078,-46.999999999997044,-29.999999999986926,48.00000000000182,-248.00000000000378,-238.0000000000049,,-3613.999999999971
2017.01.02,-10.000000000005116,-133.00000000000534,-202.9999999999976,-712.0000000000015,-161.00000000000136,-98.99999999999353,-185.00000000000182,-403.00000000002,-448.9999999999883,-638.9999999999895,-116.99999999999022,-475.0000000000032,-141.9999999999959,-71.99999999998852,46.00000000000648,-231.99999999999886,-226.99999999999943,,-4212.999999999974
2017.01.02,-4.0000000000048885,-90.00000000001229,-123.99999999999079,-829.9999999999974,-259.00000000000034,-162.99999999999093,-34.000000000000696,-326.0000000000218,-380.00000000000256,-505.99999999998425,-158.99999999999181,-323.0000000000066,-43.00000000000637,97.00000000000841,-9.000000000000341,-175.00000000000293,-119.99999999998678,,-3447.9999999999927
2017.01.02,-4.9999999999954525,-79.00000000000685,-232.99999999999432,-766.0,-259.9999999999909,-79.99999999999119,-26.000000000003798,-339.00000000002706,-360.0000000000048,-566.9999999999842,-332.9999999999984,-414.00000000000324,-79.00000000000773,-14.999999999986358,-63.99999999999295,-163.00000000000205,-143.00000000000423,,-3925.999999999993
2017.01.02,-6.000000000000227,-76.99999999999375,-98.99999999999353,-862.9999999999916,-296.99999999999704,-116.99999999998934,-55.000000000005045,-509.00000000001455,-444.9999999999843,-478.0000000000006,-289.99999999999204,-276.00000000000955,-173.00000000000182,-33.999999999991815,-70.99999999999795,-133.00000000000534,-126.0000000000039,,-4048.9999999999723
2017.01.02,-182.00000000000216,-49.00000000001015,-85.99999999999719,-929.9999999999864,-212.0000000000033,-150.99999999999002,-93.99999999999409,-515.0000000000148,-371.99999999999454,-597.9999999999874,-256.0000000000002,-359.0000000000204,-263.9999999999958,-151.9999999999868,-70.99999999999795,-226.99999999999943,-58.000000000002494,,-4575.999999999984
2017.01.02,-40.99999999999682,43.999999999999595,-56.99999999999594,-875.0000000000035,-128.99999999999068,-118.99999999999133,-85.99999999999719,-441.0000000000025,-268.0000000000016,-451.0000000000014,-97.99999999999898,-222.00000000001108,-219.0000000000083,-54.99999999999261,-31.999999999996476,-116.00000000000499,-29.999999999996696,,-3194.9999999999905
2017.01.02,-34.99999999999659,11.999999999989797,-27.999999999994696,-841.0000000000028,-128.99999999999068,-95.99999999999609,-104.00000000000409,-395.00000000001023,-258.99999999998704,-430.9999999999814,-90.99999999999397,-211.00000000000563,-227.00000000000387,-43.99999999999693,11.00000000000989,-194.0000000000053,-14.000000000002899,,-3075.9999999999723
2017.01.02,-31.999999999996476,-58.000000000002494,-5.999999999994898,-846.9999999999977,-173.99999999999238,-112.99999999999643,-85.00000000000173,-388.00000000000523,-375.9999999999986,-590.0000000000016,-121.99999999999989,-374.0000000000077,-118.99999999999977,-28.999999999996362,13.00000000000523,-165.00000000000404,-49.99999999999449,,-3514.999999999984
2017.01.02,-63.99999999999295,-112.000000000001,-24.999999999997247,-761.999999999996,-212.0000000000033,-112.99999999999643,-39.00000000000014,-348.0000000000132,-343.00000000000443,-575.9999999999987,-114.99999999999488,-378.00000000001165,-102.00000000000387,-23.9999999999867,-10.99999999999568,-148.0000000000037,-79.99999999999119,,-3451.9999999999914
2017.01.02,-58.9999999999975,-104.99999999999955,-23.999999999990695,-855.9999999999901,-161.00000000000136,-150.99999999999002,-46.00000000000159,-360.00000000001364,-363.9999999999866,-525.999999999982,-93.99999999999409,-328.00000000001717,-123.00000000000466,-32.99999999998704,-3.0000000000001137,-167.00000000000603,-72.99999999998974,,-3472.999999999951
