date,EURUSD,EURCHF,EURNZD,CADJPY,AUDCAD,empty,sum
2018.04.02,-24.000000000001798,-18.0000000000069,-140.0000000000068,0.0,-4.999999999999449,,-187.00000000001495
2018.04.02,-33.00000000001635,-62.000000000006494,-130.0000000000079,46.00000000000648,-125.99999999999278,,-305.00000000001705
2018.04.02,-24.000000000001798,-221.00000000000452,-296.0000000000074,94.0000000000083,-71.99999999999429,,-518.9999999999997
2018.04.02,10.999999999983245,-190.00000000000128,-293.99999999999426,191.0000000000025,-36.999999999998145,,-319.0000000000079
2018.04.02,-16.000000000016,-180.0000000000024,-306.9999999999906,174.99999999999716,-23.999999999990695,,-352.0000000000025
2018.04.02,35.999999999991594,-161.00000000001114,-337.99999999999386,131.00000000000023,-29.999999999996696,,-362.0000000000099
2018.04.02,-2.0000000000131024,-188.00000000001037,-334.9999999999964,131.00000000000023,-20.999999999993246,,-415.0000000000129
2018.04.02,-26.0000000000149,-188.00000000001037,-378.999999999996,103.00000000000864,28.000000000005798,,-462.0000000000068
2018.04.02,-79.00000000000685,-190.00000000000128,-584.9999999999911,186.00000000000705,-80.99999999999774,,-748.99999999999
2018.04.02,-89.00000000000574,-212.00000000001216,-587.0000000000042,234.99999999999943,-95.00000000000064,,-748.0000000000233
2018.04.02,-86.0000000000083,-187.00000000000384,-594.99999999999,204.9999999999983,-121.99999999999989,,-785.0000000000038
2018.04.02,-48.000000000003595,-168.0000000000126,-546.000000000002,201.99999999999818,-134.0000000000008,,-694.0000000000208
2018.04.02,-43.00000000001525,-171.00000000001003,-499.000000000005,206.00000000000307,-124.99999999999733,,-632.0000000000246
2018.04.02,-17.000000000000348,-165.9999999999995,-452.00000000000796,204.9999999999983,-124.99999999999733,,-555.0000000000068
2018.04.02,8.999999999992347,-158.99999999999804,-472.9999999999901,186.00000000000705,-108.99999999999244,,-545.9999999999811
2018.04.02,14.999999999987246,-158.0000000000137,-465.0000000000043,177.99999999999727,-132.99999999999423,,-563.0000000000277
2018.04.02,20.999999999982144,-171.00000000001003,-436.9999999999985,188.0000000000024,-124.99999999999733,,-524.0000000000214
2018.04.02,20.999999999982144,-172.0000000000166,-455.99999999998977,177.99999999999727,-142.99999999999312,,-572.00000000002
2018.04.02,7.999999999985796,-182.99999999999983,-472.9999999999901,155.00000000000114,-139.00000000000023,,-632.0000000000032
2018.04.02,-34.000000000000696,-208.00000000000819,-435.0000000000076,195.99999999999795,-127.99999999999478,,-609.0000000000133
2018.04.02,-72.0000000000054,-233.00000000001654,-431.99999999998795,219.99999999999886,-113.99999999999189,,-631.000000000003
2018.04.02,-125.00000000001954,-182.0000000000155,-465.0000000000043,224.00000000000375,-110.99999999999443,,-659.00000000003
2018.04.02,-125.00000000001954,-172.0000000000166,-517.9999999999962,243.99999999999977,-114.99999999999844,,-686.000000000031
2018.04.02,-116.00000000000499,-168.99999999999693,-547.999999999993,240.0000000000091,-140.99999999999113,,-733.9999999999769
