date,USDCHF,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,AUDCHF,GBPCAD,GBPAUD,EURCAD,EURNZD,CADJPY,AUDJPY,empty,sum
2021.07.05,-262.00000000000665,0.0,-72.99999999998974,-68.99999999999685,0.0,0.0,-319.99999999999807,-631.0000000000038,-272.00000000000557,-401.00000000000693,0.0,0.0,-165.00000000000625,,-2193.0000000000136
2021.07.05,-168.00000000000148,4.0000000000048885,-76.99999999999375,-122.99999999999534,103.00000000000864,48.000000000003595,-270.99999999999903,-670.000000000015,-229.99999999999687,-436.9999999999985,106.00000000000608,123.00000000000466,-197.00000000000273,,-1788.9999999999745
2021.07.05,-146.00000000000168,61.99999999999761,-115.99999999999389,-138.99999999998914,134.00000000001188,32.0000000000098,-300.0000000000003,-743.0000000000048,-319.999999999987,-480.99999999999807,110.00000000001009,123.00000000000466,-272.00000000000557,,-2055.9999999999463
2021.07.05,-170.00000000000347,134.00000000000034,-78.99999999999574,-107.99999999999699,205.99999999999508,85.00000000000173,-290.00000000000136,-724.9999999999978,-421.0000000000047,-449.9999999999948,231.0000000000034,246.00000000000932,-260.0000000000051,,-1600.99999999999
2021.07.05,-172.00000000000549,162.00000000000614,-69.9999999999923,-112.99999999999643,246.99999999999721,83.00000000001084,-287.9999999999994,-719.000000000003,-418.9999999999916,-425.99999999999307,228.99999999999034,281.0000000000059,-266.9999999999959,,-1471.9999999999663
2021.07.05,-185.00000000000182,185.00000000000227,-52.99999999999194,-93.99999999999409,260.0000000000158,86.99999999999264,-292.00000000000335,-763.0000000000026,-465.0000000000043,-456.9999999999963,239.99999999999577,255.00000000000966,-263.9999999999958,,-1545.999999999974
2021.07.05,-230.000000000008,186.00000000000705,-15.999999999993797,-75.9999999999983,253.99999999999866,87.99999999999919,-263.99999999999756,-825.0000000000091,-523.9999999999911,-554.00000000001,302.0000000000023,209.00000000000318,-221.00000000000364,,-1671.0000000000011
2021.07.05,-214.99999999999852,162.9999999999967,4.000000000004,-60.99999999999994,195.00000000001182,117.99999999999588,-263.0000000000021,-794.0000000000058,-466.9999999999952,-577.0000000000052,333.9999999999899,171.00000000000648,-219.99999999999886,,-1612.0000000000011
2021.07.05,-213.00000000000762,141.9999999999959,-23.999999999990695,-93.99999999999409,209.9999999999991,96.99999999999153,-261.0000000000001,-788.0000000000109,-526.9999999999886,-550.000000000006,280.9999999999979,172.00000000001125,-204.00000000000773,,-1759.00000000001
2021.07.05,-179.00000000000693,105.00000000000398,-35.999999999991594,-87.99999999999919,205.99999999999508,109.00000000000354,-275.99999999999847,-802.9999999999982,-485.0000000000021,-548.9999999999995,299.00000000000483,163.0000000000109,-194.00000000000261,,-1727.9999999999804
2021.07.05,-236.00000000000287,109.00000000000887,-17.999999999995797,-45.99999999999049,256.99999999999613,114.99999999999844,-289.0000000000059,-846.0000000000134,-499.9999999999893,-547.0000000000086,371.00000000001023,137.00000000000045,-185.00000000000227,,-1677.9999999999945
