date,GBPUSD,EURCHF,GBPJPY,GBPCAD,NZDCAD,empty,sum
2017.11.13,-137.9999999999937,-304.9999999999997,0.0,-46.999999999997044,0.0,,-489.99999999999045
2017.11.13,-137.9999999999937,-295.99999999998516,127.9999999999859,103.00000000000864,139.00000000000023,,-63.999999999984084
2017.11.13,-78.00000000000028,-337.99999999999386,103.999999999985,-29.00000000001235,143.9999999999997,,-197.0000000000218
2017.11.13,84.0000000000174,-353.99999999998766,-308.9999999999975,-451.0000000000014,184.00000000000637,,-845.9999999999627
2017.11.13,357.00000000000733,-348.9999999999993,-425.00000000001137,-581.0000000000093,154.0000000000097,,-844.0000000000031
2017.11.13,377.0000000000051,-269.9999999999925,-341.0000000000082,-425.99999999999307,162.0000000000066,,-497.99999999998204
2017.11.13,436.00000000001415,-268.9999999999859,-413.0000000000109,-544.0000000000111,194.0000000000053,,-595.9999999999886
2017.11.13,446.9999999999974,-261.0000000000001,-374.00000000002365,-492.0000000000035,158.0000000000026,,-522.0000000000273
2017.11.13,441.0000000000025,-275.000000000003,-365.0000000000091,-537.0000000000097,193.00000000000983,,-543.0000000000095
2017.11.13,423.0000000000178,-282.9999999999888,-296.99999999999704,-489.0000000000061,173.00000000000094,,-472.99999999997317
2017.11.13,426.00000000001523,-285.00000000000193,-294.00000000001114,-500.00000000001154,182.00000000000438,,-471.00000000000495
2017.11.13,417.0000000000007,-282.9999999999888,-302.0000000000209,-502.00000000000244,138.00000000000477,,-532.0000000000067
2017.11.13,434.000000000001,-269.9999999999925,-307.00000000001637,-520.0000000000093,160.00000000000458,,-503.0000000000126
2017.11.13,394.00000000000546,-295.99999999998516,-319.0000000000168,-510.00000000001046,173.00000000000094,,-558.0000000000061
2017.11.13,368.00000000001273,-305.9999999999841,-256.0000000000002,-483.0000000000112,236.00000000000287,,-440.9999999999799
2017.11.13,303.0000000000088,-295.0000000000008,-354.0000000000134,-463.0000000000134,252.0000000000078,,-557.0000000000111
2017.11.13,320.00000000000915,-272.99999999998994,-630.0000000000239,-601.9999999999915,220.00000000000907,,-964.999999999987
2017.11.13,435.0000000000076,-242.99999999999324,-754.0000000000191,-649.999999999995,277.000000000005,,-934.9999999999948
2017.11.13,482.00000000000466,-230.9999999999812,-873.0000000000189,-933.000000000006,231.99999999999886,,-1323.0000000000025
2017.11.13,626.9999999999998,-197.00000000000273,-939.0000000000214,-903.0000000000093,225.00000000000853,,-1187.000000000025
2017.11.13,623.000000000018,-203.99999999998198,-944.0000000000168,-814.0000000000036,185.00000000000182,,-1153.9999999999827
2017.11.13,686.0000000000089,-195.9999999999962,-1199.0000000000123,-966.0000000000002,217.0000000000005,,-1457.9999999999993
2017.11.13,894.000000000017,-237.99999999998266,-1237.9999999999995,-1019.9999999999986,157.00000000000713,,-1444.9999999999568
2017.11.13,809.9999999999997,-255.99999999998957,-1350.999999999999,-1061.000000000001,113.00000000000753,,-1744.9999999999825
