names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,20,"['AUDNZD', 'NZDCHF']",100.0,0.47292857142857153,B
GBPUSD,50,"['EURCAD', 'NZDUSD', 'AUDNZD', 'NZDJPY', 'AUDUSD', 'CADCHF', 'AUDCAD']",80.0,0.864142857142857,B
USDJPY,10,"['EURUSD', 'NZDJPY', 'GBPUSD', 'EURCHF']",100.0,0.86,B
USDCAD,20,"['EURUSD', 'GBPUSD', 'EURJPY', 'CHFJPY', 'AUDJPY', 'EURNZD']",80.0,-0.6800000000000002,S
AUDUSD,15,"['USDCAD', 'AUDJPY', 'EURJPY', 'CHFJPY', 'AUDUSD', 'NZDJPY', 'GBPUSD', 'EURUSD']",100.0,1.0,B
NZDUSD,15,['GBPAUD'],100.0,-0.6677907647907648,S
GBPCHF,20,"['AUDNZD', 'EURCAD', 'CADCHF']",100.0,0.7520832500832502,B
CHFJPY,10,"['EURUSD', 'NZDJPY', 'GBPUSD', 'EURCHF']",100.0,0.92,B
CADCHF,15,"['USDCHF', 'EURUSD']",80.0,1.0,B
NZDCHF,10,['USDCHF'],80.0,0.41460317460317475,B
EURGBP,10,['EURCAD'],100.0,-1.0,S
GBPJPY,10,"['NZDCAD', 'EURCAD']",100.0,1.0,B
GBPAUD,10,['EURCAD'],100.0,0.98,B
EURJPY,30,"['EURUSD', 'NZDJPY', 'GBPUSD', 'EURCHF', 'EURCAD']",100.0,-0.3883333333333333,S
EURCAD,10,['CADCHF'],80.0,0.45111111111111135,B
EURAUD,10,['EURCAD'],100.0,0.98,B
EURNZD,10,"['EURGBP', 'GBPAUD', 'EURAUD']",80.0,1.0,B
CADJPY,15,"['EURUSD', 'GBPUSD', 'GBPCHF', 'GBPJPY']",100.0,1.0,B
AUDJPY,10,"['EURUSD', 'NZDJPY', 'GBPUSD', 'EURCHF']",80.0,0.88,B
AUDCAD,10,['EURNZD'],80.0,1.0,B
NZDCAD,10,"['EURGBP', 'EURAUD', 'GBPAUD']",100.0,-0.6035238095238098,S
