date,GBPJPY,EURJPY,EURCAD,EURNZD,empty,sum
2021.07.26,-274.0000000000009,-175.00000000001137,-38.99999999998904,0.0,,-488.0000000000013
2021.07.26,-280.00000000000114,-165.99999999999682,4.000000000004,158.99999999999804,,-282.9999999999959
2021.07.26,-395.9999999999866,-210.00000000000796,46.0000000000127,231.0000000000034,,-328.9999999999784
2021.07.26,-371.9999999999857,-219.99999999999886,121.00000000001555,303.0000000000088,,-167.99999999996015
2021.07.26,-359.9999999999852,-210.00000000000796,172.0000000000166,285.00000000000193,,-112.99999999997465
2021.07.26,-364.9999999999807,-213.99999999999864,168.99999999999693,232.00000000000998,,-177.9999999999724
2021.07.26,-334.0000000000032,-199.00000000001228,195.00000000001182,275.000000000003,,-63.000000000000625
2021.07.26,-244.99999999997613,-146.000000000015,225.00000000000853,451.0000000000014,,285.0000000000188
2021.07.26,-87.99999999999386,-13.00000000000523,236.00000000001398,520.0000000000093,,655.0000000000242
2021.07.26,-85.99999999998431,-27.999999999991587,236.99999999999832,529.0000000000017,,652.0000000000241
2021.07.26,-112.99999999999955,-26.00000000001046,296.0000000000074,547.999999999993,,704.9999999999903
2021.07.26,-28.999999999996362,-12.000000000000455,347.0000000000084,611.000000000006,,917.0000000000176
2021.07.26,15.00000000001478,-6.000000000000227,375.0000000000142,714.999999999999,,1099.0000000000277
2021.07.26,28.999999999996362,-14.000000000010004,372.00000000001677,777.0000000000055,,1164.0000000000086
2021.07.26,22.999999999996135,-38.000000000010914,336.00000000000296,737.9999999999942,,1058.9999999999823
2021.07.26,-32.99999999998704,-40.99999999999682,324.0000000000132,713.9999999999924,,964.0000000000217
2021.07.26,-2.999999999985903,-15.00000000001478,348.00000000001495,713.0000000000081,,1043.0000000000223
2021.07.26,-49.99999999998295,-51.9999999999925,415.0000000000098,775.9999999999989,,1089.0000000000332
2021.07.26,-33.999999999991815,-42.00000000000159,434.000000000001,783.0000000000003,,1141.000000000008
2021.07.26,81.00000000001728,-8.000000000009777,394.00000000000546,754.9999999999945,,1222.0000000000075
2021.07.26,52.00000000002092,-30.000000000001137,334.9999999999964,855.0000000000058,,1212.000000000022
2021.07.26,51.00000000001614,-20.000000000010232,375.0000000000142,886.9999999999934,,1293.0000000000136
2021.07.26,135.00000000001933,90.00000000000341,355.0000000000164,931.9999999999995,,1512.0000000000387
2021.07.26,-50.99999999998772,49.000000000006594,290.9999999999968,856.0000000000123,,1145.000000000028
2021.07.26,-423.0000000000018,-161.00000000000136,246.99999999999721,770.000000000004,,432.999999999998
2021.07.26,-475.9999999999991,-192.00000000000728,194.0000000000053,734.0000000000124,,260.0000000000113
2021.07.26,-471.00000000000364,-203.00000000000296,246.00000000001288,655.0000000000056,,227.00000000001182
2021.07.26,-388.9999999999816,-159.9999999999966,323.0000000000066,710.999999999995,,485.0000000000234
2021.07.26,-316.0000000000025,-112.99999999999955,312.00000000000114,805.0000000000113,,688.0000000000103
2021.07.26,-417.0000000000016,-155.00000000000114,304.9999999999997,648.0000000000041,,381.0000000000011
2021.07.26,-481.9999999999993,-173.00000000000182,241.00000000000233,574.9999999999922,,160.99999999999335
2021.07.26,-418.9999999999827,-151.00000000001046,290.00000000001245,675.0000000000034,,395.0000000000227
2021.07.26,-423.0000000000018,-122.99999999999045,367.0000000000062,581.0000000000093,,402.00000000002325
2021.07.26,-810.9999999999786,-368.9999999999998,347.0000000000084,446.0000000000131,,-386.9999999999569
2021.07.26,-771.9999999999914,-365.0000000000091,299.00000000000483,374.999999999992,,-463.0000000000037
2021.07.26,-750.0,-311.00000000000705,215.00000000000963,182.99999999999983,,-662.9999999999975
2021.07.26,-750.0,-331.99999999999363,262.00000000000665,185.00000000001293,,-634.9999999999741
2021.07.26,-800.9999999999877,-329.00000000000773,289.0000000000059,232.00000000000998,,-608.9999999999795
