date,AUDUSD,EURGBP,empty,sum
2016.07.18,50.99999999998994,-4.000000000004,,46.99999999998594
2016.07.18,39.00000000000014,-92.00000000000318,,-53.00000000000304
2016.07.18,75.9999999999983,-285.00000000000193,,-209.00000000000364
2016.07.18,56.0000000000005,-189.00000000000583,,-133.00000000000534
2016.07.18,65.99999999999939,-282.99999999999994,,-217.00000000000057
2016.07.18,5.999999999994898,-179.00000000000693,,-173.00000000001205
2016.07.18,-103.00000000000864,-197.99999999999818,,-301.0000000000068
2016.07.18,3.999999999992898,-223.00000000000654,,-219.00000000001364
2016.07.18,4.999999999999449,-275.99999999999847,,-270.99999999999903
2016.07.18,7.9999999999968985,-224.000000000002,,-216.0000000000051
2016.07.18,52.99999999999194,-206.00000000000617,,-153.0000000000142
2016.07.18,-20.0000000000089,-108.00000000000809,,-128.000000000017
2016.07.18,37.99999999999359,-116.00000000000499,,-78.0000000000114
2016.07.18,57.99999999999139,-67.00000000000594,,-9.000000000014552
2016.07.18,27.999999999994696,-35.00000000000725,,-7.000000000012552
2016.07.18,75.9999999999983,-184.00000000000637,,-108.00000000000807
2016.07.18,45.99999999999049,-89.00000000000574,,-43.00000000001525
2016.07.18,88.99999999999464,-125.00000000000844,,-36.0000000000138
2016.07.18,6.999999999990347,-87.99999999999919,,-81.00000000000884
2016.07.18,15.999999999993797,-109.00000000000354,,-93.00000000000975
2016.07.18,89.99999999999008,-311.00000000000574,,-221.00000000001566
2016.07.18,126.99999999999933,-341.0000000000024,,-214.00000000000307
2016.07.18,109.99999999999899,-351.0000000000013,,-241.00000000000233
2016.07.18,178.99999999999582,-462.0000000000068,,-283.000000000011
2016.07.18,93.99999999999409,-409.0000000000038,,-315.0000000000097
2016.07.18,13.999999999991797,-236.99999999999832,,-223.00000000000654
2016.07.18,7.9999999999968985,-263.0000000000021,,-255.0000000000052
2016.07.18,37.99999999999359,-217.0000000000005,,-179.00000000000693
2016.07.18,12.999999999996348,-250.00000000000577,,-237.00000000000944
2016.07.18,56.99999999999594,-331.0000000000035,,-274.00000000000756
2016.07.18,14.999999999998348,-333.0000000000055,,-318.00000000000716
2016.07.18,-51.000000000001044,-281.00000000000904,,-332.00000000001006
2016.07.18,-90.0000000000012,-228.00000000000597,,-318.00000000000716
2016.07.18,-28.000000000005798,-212.00000000000108,,-240.00000000000688
2016.07.18,-52.000000000007596,-140.0000000000068,,-192.00000000001438
2016.07.18,-62.000000000006494,-423.0000000000067,,-485.0000000000132
2016.07.18,48.99999999999905,-419.00000000000273,,-370.0000000000037
2016.07.18,66.99999999999484,-308.00000000000824,,-241.00000000001342
2016.07.18,31.999999999998696,-252.0000000000078,,-220.0000000000091
2016.07.18,7.9999999999968985,-216.0000000000051,,-208.00000000000819
2016.07.18,57.99999999999139,-245.0000000000063,,-187.00000000001492
2016.07.18,65.99999999999939,-231.0000000000034,,-165.00000000000404
2016.07.18,74.99999999999174,-239.0000000000003,,-164.00000000000858
2016.07.18,37.99999999999359,-246.00000000000176,,-208.00000000000819
2016.07.18,135.99999999999167,-233.00000000000543,,-97.00000000001376
2016.07.18,137.9999999999937,-167.00000000000603,,-29.000000000012335
2016.07.18,86.99999999999264,-192.99999999999872,,-106.00000000000608
2016.07.18,22.999999999995246,-172.00000000000549,,-149.00000000001023
2016.07.19,-110.00000000001009,-187.9999999999993,,-298.0000000000094
2016.07.19,-82.00000000000429,-169.00000000000804,,-251.00000000001234
2016.07.19,-43.999999999999595,-236.00000000000287,,-280.00000000000244
2016.07.19,-77.00000000000485,-285.00000000000193,,-362.00000000000676
2016.07.19,-158.0000000000026,-291.0000000000079,,-449.00000000001046
2016.07.19,-118.00000000000699,-287.0000000000039,,-405.0000000000109
2016.07.19,-400.00000000000034,-231.99999999999886,,-631.9999999999992
2016.07.19,-418.0000000000073,-228.00000000000597,,-646.0000000000132
2016.07.19,-454.00000000000995,-111.00000000000554,,-565.0000000000155
2016.07.19,-722.0000000000005,24.999999999997247,,-697.0000000000032
2016.07.19,-650.0000000000061,70.99999999999883,,-579.0000000000073
2016.07.19,-628.0000000000064,31.999999999998696,,-596.0000000000076
2016.07.19,-616.0000000000055,24.999999999997247,,-591.0000000000082
2016.07.19,-565.0000000000044,12.000000000000899,,-553.0000000000035
2016.07.19,-687.0000000000043,103.99999999999298,,-583.0000000000114
2016.07.19,-659.0000000000095,73.99999999999629,,-585.0000000000133
2016.07.19,-677.0000000000053,31.999999999998696,,-645.0000000000066
2016.07.19,-574.0000000000078,-9.00000000000345,,-583.0000000000113
2016.07.19,-716.0000000000056,34.99999999999615,,-681.0000000000094
2016.07.19,-743.0000000000048,29.000000000001247,,-714.0000000000035
2016.07.19,-806.0000000000067,85.99999999999719,,-720.0000000000095
2016.07.19,-931.9999999999995,156.00000000000057,,-775.999999999999
2016.07.19,-900.0000000000008,90.0000000000012,,-809.9999999999995
2016.07.19,-862.0000000000072,168.00000000000148,,-694.0000000000057
2016.07.19,-900.0000000000008,136.99999999999824,,-763.0000000000025
2016.07.19,-969.0000000000088,107.99999999999699,,-861.0000000000118
