date,USDJPY,GBPCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,CADJPY,AUDCAD,AUDNZD,empty,sum
2016.11.14,-10.000000000005116,9.000000000014552,62.99999999999084,-28.999999999996362,-126.0000000000039,-57.00000000000216,-6.000000000000227,131.00000000001444,-100.99999999999554,,-125.99999999998346
2016.11.14,54.99999999999261,-34.99999999998504,49.99999999999449,-26.999999999986812,-262.00000000000665,-31.00000000000591,60.000000000002274,117.00000000001154,-276.9999999999939,,-349.99999999997743
2016.11.14,-7.999999999995566,-114.99999999999844,-10.000000000010001,-44.00000000001114,-323.99999999999096,24.999999999991473,51.00000000000193,202.9999999999976,-646.9999999999976,,-869.0000000000127
2016.11.14,-36.000000000001364,-212.99999999999653,-64.0000000000085,-133.99999999998613,-438.00000000000506,33.999999999991815,37.9999999999967,241.00000000000233,-505.99999999998425,,-1077.999999999991
2016.11.14,-99.99999999999432,-194.0000000000053,-42.0000000000087,-27.999999999991587,-405.9999999999952,113.99999999999011,99.00000000000375,117.00000000001154,-570.9999999999882,,-1010.999999999978
2016.11.14,-409.9999999999966,-170.00000000000347,-20.0000000000089,-342.00000000001296,-391.9999999999924,-192.00000000000728,-102.00000000000387,249.00000000001032,-754.9999999999945,,-2134.0000000000095
2016.11.14,-573.0000000000075,-90.99999999999665,-7.0000000000014495,-284.9999999999966,-164.99999999999292,-162.00000000000614,-170.0000000000017,345.0000000000175,-742.9999999999826,,-1850.9999999999677
2016.11.14,-530.0000000000011,-68.00000000000139,-30.000000000007798,-388.00000000000523,-387.000000000004,-221.00000000000364,-129.0000000000049,372.00000000001677,-748.9999999999997,,-2130.000000000011
2016.11.14,-567.9999999999978,-119.00000000000244,-65.00000000000395,-556.0000000000116,-517.9999999999962,-320.0000000000074,-170.99999999999227,476.0000000000098,-758.9999999999985,,-2600.0000000000005
2016.11.14,-608.9999999999947,-249.99999999999466,-126.0000000000039,-746.0000000000093,-645.0000000000067,-395.00000000001023,-227.00000000000387,492.0000000000035,-763.0000000000026,,-3269.000000000022
2016.11.14,-585.9999999999985,-279.99999999999136,-146.00000000000168,-715.0000000000034,-605.0000000000111,-350.0000000000085,-224.00000000000375,440.00000000001813,-648.0000000000041,,-3114.0000000000045
2016.11.14,-558.0000000000069,-275.000000000003,-145.00000000000622,-623.9999999999952,-526.0000000000042,-264.00000000001,-203.99999999999352,461.0000000000003,-732.9999999999836,,-2868.0000000000023
2016.11.14,-531.0000000000059,-256.99999999999613,-135.00000000000733,-560.0000000000023,-514.9999999999987,-220.00000000001307,-174.99999999999716,384.00000000000654,-644.9999999999844,,-2653.9999999999986
2016.11.14,-603.9999999999992,-302.0000000000023,-179.00000000000693,-730.9999999999945,-675.0000000000034,-309.0000000000117,-201.99999999999818,419.0000000000138,-703.9999999999935,,-3286.9999999999964
2016.11.14,-750.0,-346.9999999999862,-224.000000000002,-824.9999999999886,-612.9999999999969,-331.00000000000307,-286.00000000000136,422.00000000001125,-819.9999999999985,,-3773.9999999999654
