names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,['GBPCAD'],80.0,-1.0,B
GBPUSD,20,['NZDCHF'],80.0,-0.3710067710067711,B
EURUSD,20,"['EURNZD', 'EURJPY', 'GBPJPY', 'USDCHF', 'NZDCHF']",80.0,-1.0,B
USDCAD,15,"['NZDUSD', 'AUDCAD', 'AUDCHF', 'EURCHF', 'EURAUD', 'EURUSD', 'AUDUSD']",100.0,0.965,S
AUDUSD,20,"['USDCAD', 'NZDUSD']",80.0,-1.0,B
EURCHF,15,"['EURJPY', 'AUDCHF', 'AUDCAD', 'NZDUSD']",100.0,-1.0,B
CHFJPY,15,"['CADCHF', 'USDCHF', 'GBPJPY']",80.0,-0.6624206349206352,B
CADCHF,10,"['AUDCAD', 'AUDCHF', 'NZDUSD']",100.0,-1.0,B
AUDCHF,50,"['USDCAD', 'NZDUSD', 'EURUSD', 'USDCHF']",80.0,0.8845238095238095,S
EURGBP,10,"['AUDUSD', 'EURAUD', 'AUDCAD', 'AUDCHF']",80.0,-1.0,B
GBPJPY,15,"['EURJPY', 'USDCHF', 'GBPJPY', 'EURUSD', 'NZDJPY', 'CHFJPY']",100.0,-0.96,B
GBPCAD,10,['EURJPY'],80.0,-0.19290476190476183,B
EURJPY,10,"['EURJPY', 'GBPJPY', 'USDJPY', 'CADJPY']",80.0,-0.2990714285714286,B
EURAUD,10,"['USDCAD', 'NZDUSD']",80.0,1.0,S
EURNZD,15,"['CADCHF', 'NZDCAD', 'EURCAD', 'AUDNZD', 'GBPCAD']",100.0,-0.26457142857142857,B
NZDJPY,15,['CADCHF'],80.0,-0.49685353535353544,B
NZDCAD,10,"['NZDCAD', 'EURCAD']",100.0,-0.39121428571428557,B
AUDNZD,10,['GBPCAD'],100.0,0.692198412698413,S
