date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,empty,sum
2021.06.21,234.99999999999633,193.99999999998306,39.00000000001125,153.0000000000058,2.000000000002,62.000000000006494,60.99999999999994,94.99999999999886,4.999999999999449,5.999999999994898,225.00000000002274,-612.0000000000125,-426.9999999999996,60.99999999999994,206.99999999999363,-146.0000000000008,134.0000000000008,,294.0000000000024
2021.06.21,211.00000000000563,32.999999999994145,110.00000000001009,141.9999999999959,41.000000000002146,-48.99999999998794,43.999999999999595,138.9999999999958,29.000000000001247,17.999999999995797,17.00000000002433,-419.0000000000138,-330.0000000000081,327.99999999999494,226.99999999998965,-169.00000000001114,160.00000000000458,,531.9999999999928
2021.06.21,222.99999999999542,137.9999999999937,124.99999999999733,85.00000000000796,78.00000000000028,155.00000000001623,120.99999999999334,125.99999999999056,-173.9999999999964,-78.00000000000028,123.00000000001887,-358.00000000001387,-441.0000000000025,356.00000000000074,341.99999999999875,-190.00000000001194,87.00000000000374,,717.9999999999918
2021.06.21,209.00000000000364,210.99999999998343,171.00000000001003,79.00000000000773,197.00000000000273,209.00000000001472,146.00000000000168,140.99999999999113,-173.00000000000094,-182.99999999999983,192.00000000000728,-435.0000000000076,-259.0000000000092,249.99999999999466,351.99999999998965,-316.0000000000025,222.99999999999542,,1013.999999999982
2021.06.21,204.00000000000418,275.9999999999874,191.00000000000784,96.9999999999942,221.99999999999997,251.00000000000122,164.99999999999292,174.99999999999716,-175.99999999999838,-193.99999999999417,280.00000000000114,-483.0000000000112,-280.9999999999979,222.99999999999542,378.0000000000001,-353.00000000000864,241.00000000000233,,1215.9999999999736
2021.06.21,234.00000000000088,222.99999999999542,156.00000000000057,108.00000000000409,197.99999999999818,243.99999999999977,170.00000000000347,142.99999999998647,-165.9999999999995,-199.00000000000472,233.0000000000041,-493.99999999999443,-251.00000000000122,217.0000000000005,344.99999999999886,-341.0000000000082,261.0000000000001,,1080.999999999984
2021.06.21,190.99999999999673,266.999999999995,174.99999999999181,103.9999999999992,243.99999999999977,223.00000000001762,133.99999999998968,194.99999999999318,-181.9999999999933,-205.99999999999508,277.00000000001523,-431.0000000000036,-204.00000000000418,147.00000000000824,401.9999999999868,-386.0000000000099,248.99999999999923,,1198.9999999999864
2021.06.21,182.00000000000438,336.9999999999873,174.99999999999181,135.99999999999568,260.00000000000466,274.00000000001864,121.99999999999989,242.999999999995,-201.99999999999108,-214.00000000000307,392.00000000002433,-452.99999999999227,-261.0000000000001,12.000000000012001,459.99999999999375,-426.00000000000193,234.99999999999633,,1272.0000000000355
2021.06.21,183.99999999999528,282.9999999999888,144.99999999999514,75.00000000000284,248.99999999999923,228.00000000000597,92.99999999998754,171.99999999999704,-168.00000000000148,-207.00000000000162,252.00000000000955,-469.0000000000083,-215.00000000000963,-46.999999999997044,368.9999999999998,-371.0000000000093,265.0000000000041,,837.9999999999579
2021.06.21,239.99999999999577,179.99999999998016,63.99999999999739,30.000000000001137,210.99999999999451,209.00000000001472,87.99999999999919,53.999999999987836,-149.99999999999457,-210.99999999999451,77.0000000000266,-490.999999999997,-175.00000000001404,29.999999999996696,256.0000000000002,-290.00000000000625,297.9999999999983,,419.99999999998613
