date,USDCHF,USDCAD,GBPCAD,NZDJPY,empty,sum
2015.09.28,0.0,-49.99999999999449,-148.99999999999915,-69.00000000000261,,-267.99999999999625
2015.09.28,123.00000000000644,-45.99999999999049,-140.99999999999113,-108.00000000000409,,-171.99999999997928
2015.09.28,192.00000000000327,-64.99999999998174,-34.000000000000696,-170.0000000000017,,-76.99999999998087
2015.09.28,280.00000000000244,-92.00000000000318,-78.99999999998464,-192.99999999999784,,-83.99999999998322
2015.09.28,279.00000000000705,-51.99999999998539,-44.0000000000218,-135.99999999999568,,47.00000000000418
2015.09.28,280.00000000000244,11.00000000000545,26.999999999999247,-91.00000000000819,,226.99999999999898
2015.09.28,129.9999999999968,-4.999999999988347,29.00000000001235,-97.99999999999898,,56.00000000002183
2015.09.28,197.00000000000273,-54.99999999998284,-10.999999999983245,-170.0000000000017,,-38.99999999996504
2015.09.28,197.00000000000273,-58.99999999998684,-19.999999999997797,-185.00000000000227,,-66.99999999998418
2015.09.28,219.00000000000253,4.000000000004,24.999999999986144,-165.00000000000625,,82.99999999998641
2015.09.28,275.99999999999847,-17.999999999984695,14.000000000002899,-218.00000000000352,,54.00000000001313
2015.09.28,253.0000000000032,-60.99999999999994,-16.000000000016,-271.0000000000008,,-95.00000000001353
2015.09.28,253.99999999999866,-68.99999999998573,8.000000000008,-313.0000000000024,,-119.99999999998147
2015.09.28,296.0000000000074,-87.99999999999919,-21.00000000000435,-346.00000000000364,,-158.9999999999998
2015.09.28,322.00000000000006,-92.00000000000318,-7.0000000000014495,-320.99999999999795,,-98.00000000000253
2015.09.28,312.00000000000114,-131.99999999999878,-49.00000000001015,-179.00000000000205,,-48.000000000009834
2015.09.28,312.9999999999966,-130.99999999999224,-112.00000000002319,-171.00000000000648,,-101.00000000002532
2015.09.28,333.0000000000055,-60.99999999999994,-172.0000000000166,-144.99999999999602,,-45.00000000000705
2015.09.28,309.0000000000037,-78.99999999998464,-243.99999999999977,-245.00000000000455,,-258.9999999999853
2015.09.28,324.00000000000205,-93.99999999999409,-273.0000000000121,-293.99999999999693,,-337.0000000000011
2015.09.28,326.9999999999995,-73.99999999999629,-167.9999999999904,-272.00000000000557,,-186.99999999999278
2015.09.28,192.00000000000327,-143.99999999998857,-270.99999999999903,-329.00000000000773,,-551.999999999992
2015.09.28,158.0000000000026,-53.999999999998494,-10.000000000021103,-99.00000000000375,,-5.000000000020762
2015.09.28,148.99999999999915,-28.999999999990145,245.0000000000063,-28.999999999996362,,336.000000000019
2015.09.28,156.00000000000057,-89.99999999999008,328.9999999999793,-9.000000000000341,,385.9999999999894
2015.09.28,104.00000000000409,-92.99999999998754,228.99999999999034,18.000000000000682,,258.00000000000756
2015.09.28,207.99999999999707,-93.99999999999409,231.0000000000034,36.99999999999193,,381.9999999999983
2015.09.28,292.00000000000335,124.00000000001299,355.0000000000164,295.0000000000017,,1066.0000000000346
2015.09.28,307.99999999999716,164.00000000000858,222.99999999999542,256.0000000000002,,951.0000000000014
2015.09.28,319.0000000000026,273.0000000000121,348.00000000001495,352.00000000000387,,1292.0000000000337
2015.09.28,277.000000000005,214.00000000000307,218.00000000000708,402.9999999999916,,1112.0000000000068
2015.09.28,297.9999999999983,202.9999999999976,195.9999999999962,381.0000000000002,,1077.9999999999923
2015.09.28,214.99999999999852,136.00000000000279,-124.00000000001299,478.9999999999992,,705.9999999999875
2015.09.28,158.0000000000026,-3.999999999981796,-247.00000000001944,522.9999999999961,,429.9999999999975
2015.09.28,-36.999999999998145,-17.000000000000348,-200.99999999998454,566.0000000000025,,311.00000000001944
2015.09.28,-298.9999999999937,19.999999999997797,63.000000000013046,548.9999999999924,,333.00000000000955
2015.09.28,-210.99999999999451,253.99999999999866,217.0000000000005,667.9999999999922,,927.9999999999968
2015.09.28,-415.99999999999415,226.99999999999943,504.0000000000156,656.9999999999965,,972.0000000000173
2015.09.28,-341.99999999999784,177.00000000000495,304.9999999999997,664.0000000000015,,804.0000000000083
2015.09.28,-424.00000000000216,153.00000000000313,317.9999999999961,653.9999999999964,,700.9999999999934
2015.09.28,-364.9999999999931,165.00000000001512,253.99999999997647,647.9999999999961,,701.9999999999945
2015.09.28,-390.0000000000015,324.9999999999975,201.99999999999108,742.999999999995,,879.999999999982
2015.09.28,-370.9999999999991,361.0000000000113,226.00000000001506,810.0000000000023,,1026.0000000000296
2015.09.28,-268.99999999999704,343.00000000000443,314.00000000001427,774.0000000000009,,1162.0000000000225
2015.09.28,-221.99999999999997,489.0000000000061,456.00000000001194,780.0000000000011,,1503.000000000019
2015.09.28,-210.99999999999451,514.0000000000144,461.0000000000003,733.0000000000041,,1497.0000000000243
2015.09.28,-258.9999999999981,545.0000000000177,522.0000000000002,780.0000000000011,,1588.000000000021
2015.09.28,-312.00000000000114,510.00000000001046,462.0000000000068,706.0000000000031,,1366.000000000019
2015.09.29,-315.9999999999941,578.0000000000118,572.9999999999791,816.0000000000025,,1650.9999999999993
2015.09.29,-297.00000000000284,591.0000000000082,591.0000000000082,867.0000000000044,,1752.000000000018
2015.09.29,-297.9999999999983,573.0000000000013,492.9999999999879,831.0000000000031,,1598.999999999994
2015.09.29,-256.0000000000007,573.0000000000013,492.9999999999879,914.0000000000015,,1723.99999999999
2015.09.29,-222.99999999999542,575.0000000000144,497.99999999997624,950.9999999999934,,1800.9999999999886
2015.09.29,-207.99999999999707,651.0000000000016,585.0000000000133,989.0000000000043,,2017.000000000022
2015.09.29,-363.99999999999767,623.000000000018,584.0000000000067,1155.0000000000011,,1998.0000000000282
