date,EURUSD,USDCAD,AUDUSD,NZDUSD,CADCHF,AUDCHF,GBPAUD,EURCAD,EURAUD,AUDJPY,NZDCAD,empty,sum
2015.09.14,-52.99999999999194,73.99999999999629,-31.999999999998696,-87.99999999999919,38.0000000000047,-12.000000000000899,-84.0000000000174,181.00000000000892,56.99999999999594,-86.99999999998909,122.99999999999534,,117.00000000000398
2015.09.14,-78.99999999998464,97.9999999999981,-53.00000000000304,-181.9999999999933,39.00000000000014,-5.999999999994898,-141.99999999999767,196.0000000000184,29.00000000001235,-112.99999999999955,261.0000000000001,,48.00000000005599
2015.09.14,-262.999999999991,78.00000000000028,-41.9999999999976,-156.99999999999602,36.0000000000027,33.000000000005244,159.00000000002024,428.00000000000614,365.99999999999966,-76.99999999999818,185.99999999999727,,747.0000000000487
2015.09.14,-139.00000000000023,21.999999999988695,-43.00000000000415,-64.99999999999284,-29.000000000001247,-8.999999999992347,111.99999999997878,200.00000000000017,178.00000000001148,-156.99999999999648,69.9999999999923,,139.99999999998417
2015.09.14,-136.99999999998712,15.999999999993797,-119.00000000000244,-107.00000000000153,-67.00000000000594,-112.000000000001,-62.000000000006494,190.00000000000128,12.999999999996348,-285.99999999998715,122.99999999999534,,-548.0000000000049
2015.09.14,-120.99999999999334,-15.00000000000945,-182.00000000000438,-158.99999999999804,-82.99999999999974,-168.99999999999693,-240.9999999999801,133.00000000000534,-147.99999999999258,-452.99999999998875,172.99999999998983,,-1264.9999999999684
2015.09.14,-143.99999999998857,-14.000000000002899,-300.0000000000003,-290.9999999999968,-82.99999999999974,-280.9999999999979,-620.0000000000206,160.00000000000458,-373.00000000000114,-504.99999999999545,343.9999999999999,,-2106.999999999999
2015.09.14,-179.99999999998016,-106.99999999999044,-397.0000000000029,-310.9999999999946,-99.00000000000463,-347.9999999999928,-807.0000000000022,110.00000000001009,-551.9999999999969,-596.9999999999942,313.99999999999204,,-2973.9999999999563
2015.09.14,-110.99999999999443,-147.99999999999258,-436.00000000000307,-266.999999999995,-131.99999999999878,-395.99999999999636,-932.0000000000217,-30.999999999981043,-733.9999999999902,-663.9999999999873,220.99999999999343,,-3629.9999999999663
2015.09.14,-141.99999999999767,-197.00000000000273,-421.0000000000047,-254.99999999999412,-158.0000000000026,-378.00000000000057,-890.000000000013,-42.999999999993044,-652.9999999999925,-604.9999999999898,179.99999999999127,,-3561.9999999999995
