date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.12.16,0.0,-59.99999999999339,-26.999999999999247,-57.999999999992724,-48.000000000003595,-80.99999999999774,-87.00000000001484,-51.99999999998539,-123.00000000000466,-6.0000000000060005,-92.99999999999864,-61.999999999995396,-1.999999999990898,-91.00000000000819,-80.99999999999774,-312.00000000000114,-46.999999999997044,-8.999999999992347,-139.00000000000023,-54.99999999999261,-63.99999999999295,-48.00000000000182,-46.999999999997044,-43.999999999999595,-28.000000000005798,,-1663.999999999969
2019.12.16,12.000000000000899,-89.99999999999008,-49.99999999999449,-79.9999999999983,-112.99999999998533,-87.00000000000374,-130.0000000000079,-54.99999999998284,-147.00000000000557,-11.00000000000545,-109.99999999999899,-68.00000000000139,-4.999999999999449,-162.9999999999825,-228.00000000000597,-600.0000000000006,-123.00000000000644,171.99999999999437,-349.99999999998363,-60.000000000002274,-102.99999999999443,-75.9999999999934,2.000000000002,-8.000000000008,-43.999999999999595,,-2514.999999999953
2019.12.16,43.999999999999595,-146.99999999998602,-38.0000000000047,-103.9999999999992,-117.99999999999588,-124.99999999999733,-230.00000000001907,-5.999999999994898,-147.99999999999613,2.999999999997449,-108.99999999999244,-100.99999999999554,-53.999999999998494,-272.99999999999613,-324.9999999999975,-633.0000000000168,-109.00000000000354,236.99999999999832,-462.9999999999912,-51.00000000000193,-100.99999999999909,-122.99999999999045,-1.0000000000065512,24.999999999997247,-120.99999999999334,,-3070.999999999983
2019.12.16,87.00000000000374,-192.99999999999872,-17.000000000000348,-140.99999999999113,-146.99999999998602,-112.99999999999643,-313.00000000000773,9.000000000014552,-174.99999999999716,24.999999999997247,-62.99999999999084,-65.99999999999939,-65.99999999999939,-382.000000000005,-407.0000000000018,-719.000000000003,-120.00000000000898,170.99999999998784,-391.9999999999924,-75.9999999999934,-66.0000000000025,-87.0000000000033,-40.00000000000669,-4.000000000004,-117.99999999999588,,-3412.999999999981
2019.12.16,112.000000000001,-230.9999999999812,-7.0000000000014495,-113.99999999999011,-144.99999999999514,-102.99999999999754,-367.0000000000062,35.00000000000725,-124.00000000000944,34.99999999999615,-62.99999999999084,-51.000000000001044,-95.00000000000064,-379.99999999999545,-439.0000000000116,-751.9999999999972,-121.99999999999989,214.00000000000307,-383.99999999998437,-69.00000000000261,-93.99999999999409,-90.99999999999397,-16.0000000000049,-1.0000000000065512,-87.99999999999919,,-3339.999999999956
2019.12.16,109.00000000000354,-225.99999999999287,-15.00000000000945,-110.99999999999,-99.99999999998899,-78.99999999999574,-378.00000000001165,34.000000000000696,-115.0000000000091,46.00000000000159,-40.99999999999105,-32.999999999994145,-88.99999999999464,-376.9999999999811,-397.0000000000029,-700.0000000000117,-60.99999999999994,158.99999999999804,-317.9999999999961,-93.00000000000352,-57.999999999992724,-60.99999999999284,-4.000000000004,-31.000000000003247,-116.99999999998934,,-3055.9999999999513
2019.12.16,123.00000000000644,-239.99999999999577,-17.000000000000348,-107.99999999998988,-75.99999999998718,-80.99999999999774,-386.00000000001967,60.000000000015596,-102.00000000000387,78.99999999999574,-5.999999999994898,-20.999999999993246,-92.99999999999864,-371.9999999999857,-363.0000000000022,-660.0000000000161,-56.000000000011596,168.99999999999693,-325.99999999998187,-87.0000000000033,-24.00000000000091,-54.99999999999261,2.000000000002,-11.00000000000545,-90.99999999999665,,-2741.9999999999613
2019.12.16,112.000000000001,-266.999999999995,-32.0000000000098,-89.9999999999892,-66.99999999999484,-95.00000000000064,-400.00000000000034,83.00000000001084,-85.00000000000796,73.99999999999629,-3.999999999992898,-41.000000000002146,-91.99999999999208,-381.0000000000002,-367.0000000000062,-650.0000000000173,-65.00000000000395,211.00000000000563,-385.99999999999744,-78.99999999999352,-36.000000000001364,-87.0000000000033,10.999999999994348,-4.999999999999449,-121.99999999999989,,-2860.0
2019.12.16,97.00000000000264,-480.99999999999807,-62.000000000006494,-98.99999999998954,-34.99999999998504,-43.999999999999595,-582.0000000000158,90.00000000001229,-125.0,80.00000000000229,9.00000000000345,-4.999999999999449,-195.9999999999962,-620.9999999999809,-633.0000000000168,-897.0000000000144,-79.00000000000685,76.0000000000094,-313.99999999999204,-99.99999999999432,-1.9999999999953388,-28.999999999996362,-63.00000000000195,-36.999999999998145,-99.99999999998899,,-4151.999999999946
2019.12.16,123.00000000000644,-548.9999999999995,-53.00000000001415,-97.99999999999898,-22.999999999995246,-59.99999999999339,-710.0000000000106,115.00000000002063,-97.99999999999898,117.99999999999588,29.000000000001247,16.0000000000049,-250.9999999999901,-705.9999999999889,-721.000000000016,-1053.9999999999993,-56.99999999999594,200.00000000000017,-325.99999999998187,-112.99999999999955,-4.0000000000048885,-28.999999999996362,2.999999999997449,-13.00000000000745,-80.99999999999774,,-4341.999999999964
