date,USDCHF,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,CADJPY,NZDJPY,AUDCAD,empty,sum
2018.05.21,-107.00000000000153,-32.0000000000098,-39.99999999999204,-66.99999999999484,-75.00000000000284,-40.99999999997994,-60.000000000002274,-9.999999999998899,-126.0000000000039,-14.999999999986358,-283.000000000011,-414.00000000000324,-45.000000000015916,-15.000000000000568,-31.00000000000591,-108.99999999999244,,-1470.0000000000016
2018.05.21,-92.99999999999864,-17.000000000000348,-40.99999999999682,-117.99999999999588,-167.00000000000603,163.00000000000205,-58.9999999999975,41.000000000002146,-226.99999999999943,112.99999999999955,-228.00000000000597,-156.99999999998494,-40.000000000020464,-1.0000000000047748,37.9999999999967,-171.99999999999437,,-965.0000000000048
2018.05.21,-114.99999999999844,-22.0000000000109,-31.999999999996476,-68.99999999999685,-162.0000000000066,182.99999999999983,-94.99999999999886,46.00000000000159,-221.00000000000452,132.000000000005,-428.00000000000614,-336.00000000000296,-64.00000000002137,-54.000000000002046,85.99999999999852,-119.99999999999788,,-1271.000000000038
2018.05.21,-144.99999999999514,-56.000000000011596,-36.000000000001364,-46.00000000000159,-106.00000000000608,257.0000000000183,-96.00000000000364,45.000000000006146,-173.00000000000094,151.9999999999868,-405.0000000000109,-357.99999999999164,-64.99999999999773,-49.99999999999716,-103.9999999999992,-113.99999999999189,,-1299.9999999999973
2018.05.21,-185.00000000000182,-92.00000000000318,-19.99999999999602,-57.99999999999139,32.999999999994145,260.0000000000158,-121.99999999999989,80.00000000000229,-65.00000000000395,121.00000000000932,-341.00000000001353,-329.99999999998585,-109.00000000000887,-36.99999999999193,-109.99999999999943,-97.9999999999981,,-1072.9999999999725
2018.05.21,-161.99999999999548,-92.00000000000318,-33.999999999991815,-68.00000000000139,2.999999999997449,282.0000000000045,-88.00000000000807,90.0000000000012,-89.00000000000574,144.00000000000546,-343.00000000000443,-313.99999999999204,-97.00000000000841,-16.000000000005343,-79.00000000000773,-115.99999999999389,,-979.0000000000089
2018.05.21,-248.00000000000378,-161.99999999999548,-185.00000000000227,-48.99999999999905,2.999999999997449,233.00000000001654,-67.99999999999784,95.00000000000064,-87.99999999999919,168.00000000000637,-307.99999999999716,-270.99999999999903,-45.000000000015916,21.000000000000796,-89.00000000001285,-83.9999999999952,,-1076.9999999999961
2018.05.21,-312.00000000000114,-255.99999999998957,-202.99999999998875,9.999999999998899,105.99999999999498,243.99999999999977,-126.00000000000477,124.00000000000189,-79.00000000000685,86.99999999998909,-219.00000000001364,-278.9999999999848,-123.99999999999523,37.00000000000614,-145.00000000001023,-75.9999999999983,,-1211.0000000000027
2018.05.21,-305.99999999999517,-248.00000000000378,-205.99999999998886,-54.999999999993946,41.000000000002146,260.0000000000158,-102.99999999999443,180.0000000000024,-117.00000000000044,161.00000000000136,-173.00000000000094,-275.000000000003,-100.99999999999909,76.99999999999818,-83.00000000001262,-53.999999999998494,,-1001.9999999999709
2018.05.21,-234.00000000000088,-167.9999999999904,-152.00000000000102,-100.00000000000009,46.999999999997044,163.00000000000205,-55.999999999997385,192.00000000000327,-111.00000000000554,50.99999999998772,-58.000000000002494,-79.99999999999119,-42.00000000000159,120.99999999999511,-68.00000000001205,-85.99999999999719,,-581.0000000000146
