date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.06.11,-5.999999999994898,-80.00000000001339,-4.999999999988347,0.0,-31.000000000003247,-0.999999999995449,-11.999999999989797,-4.999999999988347,-5.999999999994898,0.0,0.0,-55.000000000005045,0.0,-278.00000000000045,-66.99999999999484,-14.000000000010004,-200.99999999998454,-113.99999999999189,-121.99999999999989,-70.99999999999883,-31.000000000003247,,-1098.999999999957
2018.06.11,14.999999999998348,-6.000000000017103,-10.999999999983245,6.000000000000227,-131.00000000000333,70.0000000000034,19.999999999997797,8.000000000008,92.99999999999864,29.999999999996696,82.00000000000429,-67.00000000000594,19.000000000005457,-279.00000000000705,-39.999999999995595,6.000000000000227,-184.99999999999073,-90.99999999999665,-119.99999999999788,-61.999999999995396,-87.00000000001484,,-729.9999999999945
2018.06.11,21.999999999999797,14.999999999987246,-19.999999999997797,10.99999999999568,-88.00000000001029,60.99999999999994,39.00000000001125,14.000000000002899,129.00000000000134,54.999999999993946,90.99999999999665,-73.00000000000084,24.00000000000091,-354.0000000000099,-93.99999999999409,18.000000000000682,-334.9999999999964,-170.99999999998784,-139.99999999999568,-73.99999999999629,21.999999999988695,,-848.00000000001
2018.06.11,45.000000000006146,1.999999999990898,-21.999999999988695,115.99999999999966,-82.00000000000429,74.00000000000739,66.99999999999484,29.999999999996696,157.00000000000713,82.99999999999974,100.00000000000009,-85.00000000000173,154.00000000002478,-326.0000000000041,-90.99999999999665,97.00000000000841,-317.9999999999961,-148.99999999999915,-141.99999999999767,-97.00000000000264,66.99999999999484,,-319.99999999996027
2018.06.11,40.00000000000669,7.999999999985796,-18.999999999991246,78.00000000000296,-93.00000000000975,80.99999999999774,69.9999999999923,29.999999999996696,184.00000000000637,88.99999999999464,122.99999999999534,-75.00000000000284,154.00000000002478,-290.00000000001245,-52.000000000007596,88.99999999999864,-276.9999999999939,-142.99999999998204,-110.99999999999443,-68.00000000000139,91.99999999998099,,-90.00000000001279
2018.06.11,50.0000000000056,44.99999999998394,8.000000000008,84.00000000000318,-156.00000000000057,102.99999999999754,130.99999999999224,76.0000000000094,175.00000000000293,124.99999999999733,146.00000000000168,-126.99999999999933,166.00000000002524,-252.0000000000078,-41.000000000002146,103.00000000000864,-180.99999999998673,-129.99999999998568,-44.99999999999504,-12.999999999996348,82.99999999998863,,350.00000000005065
2018.06.11,60.99999999999994,41.000000000002146,67.00000000001705,97.99999999999898,-152.00000000000767,160.00000000000458,148.99999999999915,161.99999999999548,228.00000000000597,148.99999999999915,207.00000000000162,-131.00000000000333,197.00000000000273,-317.0000000000117,-60.99999999999994,201.99999999999818,-218.99999999999142,-83.9999999999952,-87.99999999999919,1.0000000000065512,3.999999999981796,,674.0000000000049
2018.06.11,31.999999999998696,47.99999999998139,87.99999999999919,97.99999999999898,-193.00000000000983,175.00000000000293,114.99999999999844,205.00000000001074,231.0000000000034,159.9999999999935,243.00000000000432,-229.00000000000142,202.0000000000266,-344.00000000001097,-36.0000000000138,224.99999999999432,-163.9999999999864,-116.99999999998934,-81.9999999999932,36.0000000000027,12.999999999996348,,706.0000000000069
2018.06.11,14.000000000002899,112.000000000001,225.00000000000853,120.99999999999511,-237.00000000000944,218.00000000000708,137.9999999999937,236.00000000001398,185.00000000000182,179.99999999999127,236.99999999999832,-211.00000000000563,301.00000000001614,-324.9999999999975,65.99999999998829,383.0000000000098,-89.99999999999008,-129.99999999998568,-25.999999999992696,63.00000000000195,22.999999999995246,,1483.000000000044
2018.06.11,-34.000000000000696,127.99999999999478,231.0000000000034,105.00000000000398,-243.00000000000432,245.0000000000063,126.0000000000039,235.00000000000742,168.99999999999693,173.00000000000094,243.00000000000432,-226.00000000000398,294.00000000001114,-297.9999999999983,68.99999999998573,379.99999999999545,-36.999999999998145,-165.9999999999995,-5.999999999994898,51.000000000001044,0.0,,1439.0000000000155
2018.06.11,0.0,103.99999999999298,253.99999999999866,123.00000000000466,-255.00000000000523,253.0000000000032,144.99999999999514,273.0000000000121,236.99999999999832,210.99999999999451,246.00000000000176,-217.99999999999596,297.00000000002547,-306.00000000000625,114.99999999999844,426.9999999999925,-39.999999999995595,-153.9999999999875,-12.999999999996348,46.999999999997044,13.999999999980695,,1760.0000000000086
