date,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPCAD,EURJPY,EURCAD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.08.21,-124.99999999999733,-32.999999999994145,-151.9999999999966,-9.999999999998899,-83.9999999999952,-126.0000000000039,-25.99999999999625,-102.99999999999754,-109.99999999999899,-218.00000000000708,-102.99999999998022,-247.00000000001944,-120.99999999999511,-22.00000000000557,-79.00000000000773,-214.00000000000307,-52.99999999999194,,-1825.9999999999889
2017.08.21,-168.99999999999693,-28.999999999990145,-99.99999999998899,-11.00000000000545,-36.0000000000027,-170.00000000000347,-99.99999999999432,-68.00000000000139,-112.000000000001,-314.99999999999864,-109.99999999998522,-168.0000000000126,-129.99999999999545,-28.000000000005798,-70.00000000000739,-139.99999999999568,-46.999999999997044,,-1802.9999999999823
2017.08.21,-266.999999999995,-27.999999999983594,-217.0000000000005,-2.000000000002,-22.999999999995246,-251.00000000000122,-165.00000000000625,21.999999999999797,-136.99999999999824,-636.0000000000143,-69.99999999999318,-323.0000000000066,-31.00000000000591,-9.000000000000341,-55.00000000000682,-172.00000000000549,-7.0000000000014495,,-2371.0000000000164
2017.08.21,-265.99999999998846,-58.000000000002494,-282.9999999999888,4.999999999999449,-58.99999999999794,-259.0000000000092,-195.99999999999795,-10.999999999994348,-136.99999999999824,-644.0000000000001,-36.99999999997772,-376.00000000002075,-40.99999999999682,48.00000000000182,-48.00000000000182,-200.99999999999562,83.9999999999952,,-2478.999999999974
2017.08.21,-177.00000000000495,-92.99999999998754,-306.9999999999906,-26.999999999999247,-63.99999999999739,-246.99999999999721,-177.99999999999727,17.000000000000348,-109.99999999999899,-633.0000000000168,13.00000000000523,-377.0000000000051,-22.999999999996135,61.99999999999761,-37.9999999999967,-200.99999999999562,83.00000000001084,,-2299.999999999969
2017.08.21,-225.99999999999287,-86.99999999999264,-290.9999999999968,-29.000000000001247,-63.00000000000195,-299.00000000000483,-135.00000000000512,34.000000000000696,-115.99999999999389,-643.0000000000158,-73.99999999998386,-369.0000000000193,-69.00000000000261,9.999999999990905,-75.00000000000284,-224.000000000002,59.000000000009045,,-2597.000000000015
2017.08.21,-187.00000000000384,-86.99999999999264,-306.00000000000625,-60.99999999999994,-46.999999999997044,-307.00000000001285,-87.99999999999386,-31.000000000003247,-95.00000000000064,-632.0000000000103,-173.99999999997817,-383.0,-150.99999999999625,-102.00000000000387,-88.99999999999864,-292.9999999999988,-55.000000000005045,,-3088.0000000000014
2017.08.21,-231.0000000000034,-83.9999999999952,-313.00000000000773,-43.00000000000415,-9.00000000000345,-280.9999999999979,-144.99999999999602,-29.000000000001247,-121.99999999999989,-645.0000000000067,-140.99999999999113,-376.00000000002075,-128.0000000000001,-64.99999999999773,-61.99999999999761,-331.999999999999,-66.99999999999484,,-3073.000000000017
2017.08.21,-150.99999999999002,-82.99999999998863,-306.9999999999906,-53.00000000000304,-2.000000000002,-232.99999999999432,-109.99999999999943,7.0000000000014495,-90.0000000000012,-605.0000000000111,-113.9999999999759,-364.00000000000875,-111.99999999999477,-64.00000000000716,-25.000000000005684,-331.0000000000035,-92.99999999998754,,-2729.9999999999623
2017.08.21,-202.9999999999976,-65.00000000000395,-282.0000000000045,15.999999999993797,0.0,-246.99999999999721,-66.99999999999307,33.000000000005244,-78.99999999999574,-575.0000000000144,-98.99999999998954,-381.0000000000091,-100.99999999999909,-8.000000000009777,-39.00000000000148,-299.00000000000483,12.000000000012001,,-2384.00000000001
