date,GBPUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDJPY,NZDCAD,empty,sum
2016.03.07,-21.00000000000435,-165.99999999999682,-29.00000000001235,-126.99999999999933,0.0,-191.99999999999218,-174.99999999999716,-83.9999999999952,-201.00000000000674,-195.9999999999962,-56.0000000000005,-118.99999999999977,-160.99999999998892,-300.99999999999574,-122.99999999999045,-106.99999999999044,-22.999999999996135,-78.99999999999352,-3.999999999992898,,-2163.999999999948
2016.03.07,28.999999999990145,-173.00000000000182,-79.00000000000685,-188.9999999999947,191.99999999999218,-232.99999999999432,-196.99999999998852,-173.9999999999964,-311.00000000000574,-307.0000000000017,-45.000000000006146,-131.00000000000023,-65.99999999998829,-419.9999999999982,-134.9999999999909,-259.9999999999936,-30.000000000001137,-137.00000000000045,168.00000000000148,,-2497.9999999999854
2016.03.07,-5.000000000010552,-125.0,-117.99999999999588,-220.99999999999343,306.9999999999906,-279.99999999999136,-247.99999999999045,-222.99999999999542,-350.00000000000585,-324.9999999999975,-64.0000000000085,-117.999999999995,-143.99999999998857,-466.9999999999952,-97.99999999999898,-282.0000000000045,-69.00000000000261,-149.0000000000009,113.00000000000753,,-2865.999999999977
2016.03.07,-58.000000000002494,-137.00000000000045,-35.00000000000725,-146.00000000000168,221.99999999998886,-261.9999999999845,-230.99999999999454,-202.9999999999976,-296.0000000000074,-243.99999999999977,-96.00000000000719,-191.0000000000025,-97.9999999999981,-348.9999999999993,-93.99999999999409,-191.99999999999218,-22.999999999996135,-81.99999999999363,85.00000000000173,,-2429.999999999988
2016.03.07,-119.00000000000244,-304.9999999999926,10.999999999983245,-112.99999999999643,139.00000000000023,-268.0000000000016,-341.99999999999875,-148.99999999999915,-239.0000000000003,-175.99999999999838,-137.00000000000932,-519.0000000000055,-82.00000000000429,-302.0000000000023,-289.99999999999204,-76.0000000000094,39.00000000000148,16.000000000005343,48.99999999999905,,-2863.0000000000227
2016.03.07,-106.00000000000608,-299.99999999999716,-2.999999999997449,-151.00000000000114,139.00000000000023,-225.99999999999287,-334.99999999999375,-124.99999999999733,-239.0000000000003,-180.0000000000024,-133.00000000000534,-508.0000000000098,-126.99999999998823,-346.0000000000019,-286.00000000000136,-130.99999999999224,131.00000000000023,39.00000000000148,80.99999999999774,,-2805.999999999988
2016.03.07,-43.00000000001525,-427.99999999999727,-31.000000000003247,-168.99999999999693,73.99999999999629,-181.9999999999933,-341.99999999999875,-109.99999999999899,-243.99999999999977,-187.9999999999993,-108.00000000000809,-587.0000000000175,-85.00000000000173,-388.0000000000106,-370.9999999999951,-156.00000000000057,141.00000000000534,51.00000000000193,109.00000000000354,,-3057.0000000000296
2016.03.07,-99.00000000000463,-310.0000000000023,48.000000000003595,-136.99999999999824,90.99999999999665,-160.99999999998892,-281.9999999999965,-92.00000000000318,-237.00000000000944,-247.99999999999267,-103.00000000000864,-479.0000000000134,-69.9999999999923,-424.00000000000216,-301.00000000000193,-182.99999999999983,111.0000000000042,15.000000000000568,170.00000000000347,,-2691.000000000006
2016.03.07,-101.00000000001774,-215.99999999999397,102.00000000000209,-139.00000000000023,130.99999999999224,-169.99999999998127,-242.999999999995,-78.99999999999574,-259.0000000000092,-270.99999999999903,-92.99999999999864,-384.00000000001455,-7.0000000000014495,-449.9999999999948,-236.0000000000042,-191.99999999999218,143.00000000000068,24.00000000000091,192.99999999999872,,-2247.000000000003
2016.03.07,-188.00000000001037,-319.0000000000026,103.99999999999298,-139.99999999999568,58.000000000002494,-218.99999999999142,-344.99999999999886,-75.00000000000284,-261.0000000000001,-314.99999999999864,-165.9999999999995,-560.0000000000023,-38.99999999998904,-466.9999999999952,-310.0000000000023,-185.99999999999727,180.00000000000682,25.000000000005684,270.0000000000036,,-2952.9999999999745
