date,USDJPY,AUDUSD,GBPCHF,CHFJPY,GBPJPY,EURJPY,CADJPY,AUDNZD,empty,sum
2016.10.03,-114.00000000000432,48.99999999999905,-2021.0000000000061,-142.00000000001012,-274.0000000000009,-189.99999999999773,-91.00000000000819,3.999999999981796,,-2779.0000000000464
2016.10.03,-108.00000000000409,55.000000000005045,-1985.9999999999989,-225.9999999999991,-400.0000000000057,-266.00000000000534,-117.00000000000443,117.99999999999588,,-2930.000000000017
2016.10.03,-171.00000000000648,56.0000000000005,-2194.0000000000073,-160.0000000000108,-433.9999999999975,-307.00000000000216,-174.0000000000066,100.99999999999554,,-3283.0000000000355
2016.10.03,-260.0000000000051,9.999999999998899,-2151.999999999998,-256.0000000000002,-522.0000000000198,-381.0000000000002,-202.0000000000124,80.99999999999774,,-3682.000000000039
2016.10.03,-246.9999999999999,-17.999999999995797,-2087.000000000017,-286.00000000000136,-463.99999999999864,-358.99999999999466,-160.0000000000108,15.999999999993797,,-3605.0000000000246
2016.10.03,-323.0000000000075,-107.99999999999699,-2133.0000000000073,-313.0000000000024,-555.0000000000068,-427.99999999999727,-231.00000000000875,0.9999999999843467,,-4090.0000000000423
2016.10.03,-248.00000000000466,-15.999999999993797,-2185.0000000000146,-240.0000000000091,-509.00000000001455,-314.9999999999977,-319.0000000000026,-134.00000000001188,,-3966.000000000049
2016.10.03,-97.99999999999898,1.0000000000065512,-2126.0000000000055,-79.00000000000773,-248.00000000001887,-153.0000000000058,-155.00000000000114,-97.00000000001374,,-2955.0000000000455
2016.10.03,-67.00000000000728,-37.99999999999359,-2197.0000000000045,-42.00000000000159,-274.0000000000009,-117.00000000000443,-138.00000000000523,-103.00000000000864,,-2976.000000000027
2016.10.03,-177.99999999999727,1.0000000000065512,-2141.000000000015,-198.99999999999807,-415.9999999999968,-308.9999999999975,-226.0000000000133,-114.0000000000141,,-3582.0000000000255
2016.10.03,-233.99999999999466,25.00000000000835,-2208.00000000001,-204.9999999999983,-492.00000000001864,-358.0000000000041,-273.00000000001035,-129.00000000000134,,-3874.000000000029
2016.10.03,-209.00000000000318,31.000000000003247,-2243.0000000000173,-140.00000000000057,-450.00000000001705,-289.0000000000015,-248.00000000000466,-102.00000000000209,,-3650.0000000000427
2016.10.03,-250.0,43.999999999999595,-2323.000000000008,-212.0000000000033,-621.0000000000093,-352.99999999999443,-305.0000000000068,-102.00000000000209,,-4122.000000000025
2016.10.03,-216.00000000000819,4.000000000004,-2296.000000000009,-198.99999999999807,-579.0000000000077,-319.0000000000026,-267.0000000000101,-52.000000000007596,,-3924.0000000000396
2016.10.03,-209.00000000000318,-76.99999999999375,-2248.0000000000055,-174.0000000000066,-493.9999999999998,-305.9999999999974,-229.00000000001342,-70.99999999999883,,-3808.0000000000186
2016.10.03,-135.00000000000512,-44.99999999999504,-2266.0000000000123,-102.00000000000387,-432.00000000001637,-230.00000000000398,-174.0000000000066,-101.00000000001774,,-3485.0000000000614
2016.10.03,-189.99999999999773,-4.999999999999449,-2337.0000000000114,-132.000000000005,-537.0000000000061,-280.00000000000114,-232.00000000001353,-184.00000000000637,,-3897.000000000041
2016.10.03,-265.00000000000057,-36.999999999998145,-2271.000000000001,-218.00000000000352,-574.0000000000123,-320.99999999999795,-283.00000000000125,-168.0000000000126,,-4137.000000000027
2016.10.03,-120.00000000000455,13.00000000000745,-2195.999999999998,-82.99999999999841,-335.00000000000796,-218.9999999999941,-152.00000000000102,-141.00000000001333,,-3233.00000000001
2016.10.03,-114.99999999999488,24.000000000001798,-1905.0000000000011,-81.00000000000307,-27.000000000015234,-161.00000000000136,-118.99999999999977,-86.0000000000083,,-2470.000000000022
2016.10.03,-69.00000000000261,24.000000000001798,-1465.0000000000052,-27.000000000001023,500.0,-84.00000000000318,-128.0000000000001,-87.99999999999919,,-1337.0000000000095
2016.10.03,-177.99999999999727,152.00000000000767,-1514.9999999999998,-103.00000000000864,360.99999999999,-230.99999999999454,-245.00000000000455,-106.00000000000608,,-1865.0000000000132
2016.10.03,-159.9999999999966,217.0000000000005,-1327.0000000000116,-219.99999999999886,432.9999999999927,-296.0000000000065,-303.0000000000115,-87.00000000001484,,-1743.0000000000466
2016.10.03,-195.0000000000074,159.00000000000912,-1601.000000000008,-209.00000000000318,139.99999999998636,-293.00000000000637,-301.00000000000193,-34.000000000000696,,-2334.0000000000323
2016.10.03,-179.00000000000205,194.0000000000053,-1636.9999999999995,-174.0000000000066,141.9999999999959,-236.99999999999477,-365.0000000000091,-95.00000000000064,,-2351.0000000000114
2016.10.03,-177.0000000000067,224.000000000002,-1526.0000000000052,-257.000000000005,156.0000000000059,-298.0000000000018,-405.00000000000114,-157.00000000000713,,-2440.000000000019
2016.10.03,-108.00000000000409,245.0000000000063,-1503.0000000000098,-191.0000000000025,263.9999999999816,-228.9999999999992,-420.0000000000017,-228.00000000000597,,-2170.0000000000355
2016.10.03,-128.0000000000001,233.00000000000543,-1505.0000000000007,-277.000000000001,150.99999999998204,-275.99999999999625,-415.00000000000625,-174.00000000000747,,-2391.000000000024
